cik,company,first_10_12b,n
0001790982,Arconic Rolled Products Corp,2019-12-17,4
0001795250,"MSG ENTERTAINMENT SPINCO, INC.",2020-03-06,4
0001795815,Southern California Bancorp \ CA,2023-04-06,2
0001800044,"White Cap Supply Holdings, Inc.",2020-07-17,1
0001802896,Blackout Entertainment Group Inc.,2020-02-25,1
0001803599,Concentrix Corp,2020-09-08,4
0001803737,"Enhabit, Inc.",2022-05-25,3
0001804425,GLOBAL INFRASTRUCTURE FINANCE & DEVELOPMENT AUTHORITY INC,2024-11-12,1
0001808997,"American Outdoor Brands, Inc.",2020-07-02,2
0001809766,Nielsen SpinCo B.V.,2020-05-07,2
0001811074,Texas Pacific Land Corp,2020-12-14,2
0001820877,Apartment Income REIT Corp.,2020-11-05,2
0001821393,"Aaron's SpinCo, Inc.",2020-11-02,3
0001821825,Organon & Co.,2021-03-17,3
0001822993,Jackson Financial Inc.,2021-03-22,7
0001826474,"Worldwide Diversified Holdings, Inc",2023-06-30,1
0001834488,"N-able, LLC",2021-03-29,5
0001842022,"DT Midstream, Inc.",2021-05-07,3
0001852244,"GXO Logistics, Inc.",2021-06-09,5
0001856437,Victoria's Secret & Co.,2021-06-21,3
0001856485,Sylvamo Corp,2021-08-09,2
0001860782,"2seventy bio, Inc.",2021-09-09,2
0001866633,"Consensus Cloud Solutions, Inc.",2021-08-18,4
0001867072,"Kyndryl Holdings, Inc.",2021-09-28,2
0001868275,Constellation Energy Corp,2021-12-08,3
0001870997,Loyalty Ventures Inc.,2021-09-01,4
0001872789,Embecta Corp.,2021-12-21,2
0001873923,Orion Office REIT Inc.,2021-10-04,1
0001876588,ZimVie Inc.,2022-01-21,2
0001876945,TPCO Holding Corp.,2021-08-09,1
0001877322,ESAB Corp,2022-02-22,3
0001878897,Douglas Elliman Inc.,2021-11-10,1
0001880863,Meredith Holdings Corp,2021-10-28,1
0001888654,"5E Advanced Materials, Inc.",2022-02-10,2
0001891791,"TRANS GLOBAL GROUP, INC.",2021-11-03,1
0001892492,"Cryptyde, Inc.",2021-11-08,5
0001899883,FTAI Infrastructure LLC,2022-04-29,4
0001902314,"M-tron Industries, Inc.",2022-05-11,5
0001903382,"Bluerock Homes Trust, Inc.",2022-03-09,5
0001929561,"RXO, LLC",2022-09-28,2
0001932393,GE Healthcare Holding LLC,2022-10-11,4
0001934850,"F&G Annuities & Life, Inc.",2022-08-31,4
0001935979,Biohaven Research Ltd.,2022-08-10,5
0001941365,"MasterBrand, Inc.",2022-10-28,3
0001943705,Outdoor Products Spinco Inc.,2023-09-05,2
0001943953,"Probation Tracker, Inc.",2022-08-25,1
0001944013,Crane Co,2022-12-15,2
0001944558,"Vitesse Energy, Inc.",2022-10-31,4
0001952073,"MSGE Spinco, Inc.",2023-02-16,4
0001952976,Net Lease Office Properties,2023-09-21,2
0001953366,Star Holdings,2022-12-16,4
0001955520,Knife River Holding Co,2023-03-10,4
0001958489,"Cortigent, Inc.",2025-05-28,4
0001959023,Safe & Green Development Corp,2022-12-23,9
0001959348,WK Kellogg Co,2023-07-24,5
0001963328,ReElement Technologies LLC,2023-01-24,5
0001964333,Burke & Herbert Financial Services Corp.,2023-02-28,4
0001964738,Solventum Corp,2024-02-20,3
0001965040,Fortrea Holdings Inc.,2023-05-15,3
0001967649,"Epic NewCo, Inc.",2023-08-15,2
0001967680,Veralto Corp,2023-08-03,3
0001968487,"Worthington Steel, Inc.",2023-10-04,4
0001968915,PHINIA INC.,2023-05-18,3
0001971543,Mural Oncology plc,2023-10-10,2
0001971601,LG ORION HOLDINGS INC.,2023-07-12,1
0001974138,"NCR ATMCo, LLC",2023-06-26,3
0001988175,American Carbon Corp,2023-08-14,6
0001996810,GE Vernova LLC,2024-02-15,2
0002000640,Grafiti Holding Inc.,2024-07-25,2
0002007691,Ionic Digital Inc.,2024-01-26,3
0002007919,"Inhibrx Biosciences, Inc.",2024-04-25,3
0002009684,Seaport Entertainment Group Inc.,2024-05-24,6
0002011134,Kioni Holdings Ltd,2026-05-05,1
0002011286,Amazon Holdco Inc.,2024-07-15,5
0002011954,Twin Hospitality Group Inc.,2024-11-01,4
0002012706,"Sunrise Realty Trust, Inc.",2024-02-22,6
0002015845,"Everus Construction Group, Inc.",2024-09-12,2
0002023554,Sandisk Corp,2024-11-25,4
0002027317,Curbline Properties Corp.,2024-09-03,1
0002035989,Amrize Ltd,2025-02-28,2
0002039497,"Resolute Holdings Management, Inc.",2024-12-30,4
0002041385,Ralliant Corp,2025-05-05,3
0002049860,Electrified Materials Corp / IN,2024-12-27,6
0002053365,"Biointra, Corp",2026-03-02,1
0002058873,"Novus SpinCo 1, Inc.",2025-04-24,5
0002064953,"Solstice Advanced Materials, LLC",2025-08-21,2
0002067876,"Versant Media Group, Inc.",2025-09-18,4
0002078008,Cyprium Holdings Ltd,2025-11-14,3
0002082247,"FedEx Freight Holding Company, Inc.",2026-01-16,2
0002083632,Octave Intelligence Ltd,2026-02-11,4
0002083785,"Sunbelt Rentals Holdings, Inc.",2026-01-27,2
0002088281,"Middleby Food Processing, Inc.",2026-05-04,2
0002089271,Honeywell Aerospace Inc.,2026-03-03,3
0002090312,Mobility Global Inc.,2026-05-07,2
0002091349,"First Tracks Biotherapeutics, Inc.",2026-03-03,2
0002093101,"Atrium Therapeutics, Inc.",2025-12-10,3
0002104052,Enviri II Corp,2026-03-20,4
0002105139,ADI GLOBAL DISTRIBUTION INC.,2026-05-11,4
0002105965,West Coast Community Bancorp,2026-08-31,1
0002128626,Vylor Inc.,2026-06-29,4
0002130999,"Archer SpinCo, Inc.",2026-09-15,1
0002132873,"MSGS Spinco, Inc.",2026-08-14,3
