strategy,alloc_key,ticker,entry_date,exit_date,days_held,exit_type,contracts,risk_per_pos,mlpc,net_pnl_1ct,pnl_dollars,roc_pct,is_win,vix_on_entry
TLT Bear Call Spread,TLT calls,TLT,2025-03-07,2025-03-24,17,early,23,821.5159240455176,35.0,13.0,299.0,37.142857142857146,True,23.37
TLT Bear Call Spread,TLT calls,TLT,2025-03-14,2025-03-27,13,early,23,821.5159240455176,34.5,12.500000000000004,287.50000000000006,36.23188405797102,True,21.77
TLT Bear Call Spread,TLT calls,TLT,2025-03-28,2025-04-10,13,early,22,821.5159240455176,36.0,10.500000000000004,231.00000000000009,29.166666666666675,True,21.65
TLT Bear Call Spread,TLT calls,TLT,2025-04-04,2025-04-09,5,early,21,821.5159240455176,38.5,9.499999999999996,199.49999999999991,24.675324675324667,True,45.31
TLT Bear Call Spread,TLT calls,TLT,2025-04-11,2025-04-30,19,expiry,11,821.5159240455176,70.0,-41.99999999999999,-461.99999999999994,-59.999999999999986,False,37.56
TLT Bear Call Spread,TLT calls,TLT,2025-04-25,2025-05-08,13,early,24,821.5159240455176,33.5,14.500000000000002,348.00000000000006,43.28358208955224,True,24.84
TLT Bear Call Spread,TLT calls,TLT,2025-05-02,2025-05-12,10,early,23,821.5159240455176,35.0,13.000000000000004,299.00000000000006,37.14285714285715,True,22.68
TLT Bear Call Spread,TLT calls,TLT,2025-05-09,2025-05-20,11,early,12,821.5159240455176,67.0,25.999999999999996,311.99999999999994,38.805970149253724,True,21.9
TLT Bear Call Spread,TLT calls,TLT,2025-05-23,2025-06-13,21,expiry,25,821.5159240455176,31.999999999999996,-29.999999999999993,-749.9999999999998,-93.74999999999999,False,22.29
TLT Bear Call Spread,TLT calls,TLT,2025-06-13,2025-07-03,20,early,23,821.5159240455176,34.50000000000001,15.499999999999991,356.4999999999998,44.92753623188403,True,20.82
TLT Bear Call Spread,TLT calls,TLT,2025-06-20,2025-07-08,18,early,23,821.5159240455176,34.50000000000001,14.499999999999991,333.4999999999998,42.02898550724634,True,20.62
TLT Bear Call Spread,TLT calls,TLT,2025-08-01,2025-08-12,11,early,24,821.5159240455176,33.5,12.500000000000005,300.0000000000001,37.31343283582091,True,20.38
TLT Bear Call Spread,TLT calls,TLT,2025-10-17,2025-10-30,13,early,23,821.5159240455176,35.50000000000001,10.499999999999996,241.49999999999991,29.577464788732378,True,20.78
GLD Bull Put Spread,GLD puts,GLD,2025-01-03,2025-01-10,7,early,3,580.6928735755366,149.5,37.999999999999986,113.99999999999996,25.418060200668886,True,16.13
GLD Bull Put Spread,GLD puts,GLD,2025-01-10,2025-01-16,6,early,5,580.6928735755366,111.50000000000003,19.499999999999986,97.49999999999993,17.488789237668144,True,19.54
GLD Bull Put Spread,GLD puts,GLD,2025-01-17,2025-01-21,4,early,7,580.6928735755366,75.50000000000001,13.49999999999999,94.49999999999993,17.880794701986737,True,15.97
GLD Bull Put Spread,GLD puts,GLD,2025-01-24,2025-02-03,10,early,7,580.6928735755366,77.0,14.000000000000002,98.00000000000001,18.181818181818183,True,14.85
GLD Bull Put Spread,GLD puts,GLD,2025-01-31,2025-02-05,5,early,7,580.6928735755366,76.0,15.000000000000002,105.00000000000001,19.73684210526316,True,16.43
GLD Bull Put Spread,GLD puts,GLD,2025-02-07,2025-02-10,3,early,7,580.6928735755366,75.0,12.5,87.5,16.666666666666664,True,16.54
GLD Bull Put Spread,GLD puts,GLD,2025-02-14,2025-02-18,4,early,3,580.6928735755366,152.5,25.99999999999998,77.99999999999994,17.049180327868836,True,14.77
GLD Bull Put Spread,GLD puts,GLD,2025-02-21,2025-03-11,18,early,7,580.6928735755366,76.0,12.0,84.0,15.789473684210526,True,18.21
GLD Bull Put Spread,GLD puts,GLD,2025-02-28,2025-03-04,4,early,3,580.6928735755366,152.5,28.500000000000004,85.50000000000001,18.688524590163937,True,19.63
GLD Bull Put Spread,GLD puts,GLD,2025-03-07,2025-03-13,6,early,7,580.6928735755366,76.0,16.499999999999996,115.49999999999997,21.71052631578947,True,23.37
GLD Bull Put Spread,GLD puts,GLD,2025-03-14,2025-03-18,4,early,3,580.6928735755366,147.5,28.999999999999993,86.99999999999997,19.661016949152536,True,21.77
GLD Bull Put Spread,GLD puts,GLD,2025-03-21,2025-03-27,6,early,7,580.6928735755366,76.0,13.5,94.5,17.763157894736842,True,19.28
GLD Bull Put Spread,GLD puts,GLD,2025-03-28,2025-04-10,13,early,3,580.6928735755366,154.0,31.999999999999996,95.99999999999999,20.77922077922078,True,21.65
GLD Bull Put Spread,GLD puts,GLD,2025-04-25,2025-05-06,11,early,2,580.6928735755366,223.99999999999997,58.00000000000003,116.00000000000006,25.892857142857157,True,24.84
GLD Bull Put Spread,GLD puts,GLD,2025-05-02,2025-05-05,3,early,3,580.6928735755366,146.0,31.999999999999996,95.99999999999999,21.91780821917808,True,22.68
GLD Bull Put Spread,GLD puts,GLD,2025-05-09,2025-05-23,14,early,3,580.6928735755366,147.5,36.499999999999986,109.49999999999996,24.745762711864398,True,21.9
GLD Bull Put Spread,GLD puts,GLD,2025-05-16,2025-05-20,4,early,3,580.6928735755366,185.5,42.99999999999999,128.99999999999997,23.18059299191374,True,17.24
GLD Bull Put Spread,GLD puts,GLD,2025-05-23,2025-06-04,12,early,3,580.6928735755366,146.0,27.500000000000004,82.50000000000001,18.83561643835617,True,22.29
GLD Bull Put Spread,GLD puts,GLD,2025-05-30,2025-06-02,3,early,3,580.6928735755366,149.0,30.000000000000004,90.00000000000001,20.134228187919465,True,18.57
GLD Bull Put Spread,GLD puts,GLD,2025-06-06,2025-06-12,6,early,3,580.6928735755366,147.00000000000003,34.49999999999997,103.49999999999991,23.469387755102016,True,16.77
GLD Bull Put Spread,GLD puts,GLD,2025-06-13,2025-07-03,20,expiry,4,580.6928735755366,143.0,-121.0,-484.0,-84.61538461538461,False,20.82
GLD Bull Put Spread,GLD puts,GLD,2025-06-20,2025-07-10,20,early,4,580.6928735755366,145.00000000000003,37.999999999999986,151.99999999999994,26.206896551724125,True,20.62
GLD Bull Put Spread,GLD puts,GLD,2025-07-11,2025-07-21,10,early,4,580.6928735755366,143.49999999999997,32.500000000000014,130.00000000000006,22.648083623693395,True,16.4
GLD Bull Put Spread,GLD puts,GLD,2025-07-18,2025-07-22,4,early,3,580.6928735755366,146.0,33.5,100.5,22.945205479452056,True,16.41
GLD Bull Put Spread,GLD puts,GLD,2025-07-25,2025-08-04,10,early,3,580.6928735755366,145.49999999999997,35.00000000000002,105.00000000000006,24.054982817869437,True,14.93
GLD Bull Put Spread,GLD puts,GLD,2025-08-01,2025-08-07,6,early,7,580.6928735755366,73.0,15.000000000000002,105.00000000000001,20.547945205479454,True,20.38
GLD Bull Put Spread,GLD puts,GLD,2025-08-08,2025-08-26,18,early,3,580.6928735755366,149.0,41.0,123.0,27.516778523489933,True,15.15
GLD Bull Put Spread,GLD puts,GLD,2025-08-15,2025-08-22,7,early,7,580.6928735755366,74.49999999999999,14.500000000000007,101.50000000000006,19.46308724832216,True,15.09
GLD Bull Put Spread,GLD puts,GLD,2025-08-22,2025-08-28,6,early,7,580.6928735755366,75.0,15.000000000000002,105.00000000000001,20.0,True,14.22
GLD Bull Put Spread,GLD puts,GLD,2025-08-29,2025-09-02,4,early,4,580.6928735755366,143.00000000000003,36.49999999999998,145.99999999999991,25.524475524475505,True,15.36
GLD Bull Put Spread,GLD puts,GLD,2025-09-05,2025-09-10,5,early,4,580.6928735755366,141.0,32.50000000000001,130.00000000000003,23.04964539007093,True,15.18
GLD Bull Put Spread,GLD puts,GLD,2025-09-12,2025-09-19,7,early,4,580.6928735755366,145.0,29.500000000000004,118.00000000000001,20.344827586206897,True,14.76
GLD Bull Put Spread,GLD puts,GLD,2025-09-19,2025-09-22,3,early,4,580.6928735755366,140.0,30.500000000000014,122.00000000000006,21.7857142857143,True,15.45
GLD Bull Put Spread,GLD puts,GLD,2025-09-26,2025-09-29,3,early,4,580.6928735755366,144.0,28.499999999999993,113.99999999999997,19.791666666666664,True,15.29
GLD Bull Put Spread,GLD puts,GLD,2025-10-03,2025-10-07,4,early,3,580.6928735755366,145.5,30.999999999999982,92.99999999999994,21.305841924398614,True,16.65
GLD Bull Put Spread,GLD puts,GLD,2025-10-10,2025-10-14,4,early,2,580.6928735755366,215.00000000000003,46.499999999999964,92.99999999999993,21.627906976744164,True,21.66
GLD Bull Put Spread,GLD puts,GLD,2025-10-17,2025-11-07,21,expiry,2,580.6928735755366,280.0,-280.0,-560.0,-100.0,False,20.78
GLD Bull Put Spread,GLD puts,GLD,2025-10-24,2025-11-10,17,early,2,580.6928735755366,210.0,60.5,121.0,28.809523809523807,True,16.37
GLD Bull Put Spread,GLD puts,GLD,2025-11-07,2025-11-11,4,early,4,580.6928735755366,144.49999999999997,31.000000000000018,124.00000000000007,21.45328719723185,True,19.08
GLD Bull Put Spread,GLD puts,GLD,2025-11-14,2025-11-24,10,early,2,580.6928735755366,212.5,54.0,108.0,25.41176470588235,True,19.83
GLD Bull Put Spread,GLD puts,GLD,2025-11-21,2025-11-26,5,early,4,580.6928735755366,142.50000000000003,35.999999999999964,143.99999999999986,25.26315789473681,True,23.43
GLD Bull Put Spread,GLD puts,GLD,2025-11-28,2025-12-10,12,early,4,580.6928735755366,142.49999999999997,32.000000000000014,128.00000000000006,22.456140350877206,True,16.35
GLD Bull Put Spread,GLD puts,GLD,2025-12-05,2025-12-11,6,early,2,580.6928735755366,214.0,48.499999999999986,96.99999999999997,22.663551401869153,True,15.41
GLD Bull Put Spread,GLD puts,GLD,2025-12-12,2025-12-19,7,early,3,580.6928735755366,146.50000000000003,38.499999999999964,115.49999999999989,26.279863481228638,True,15.74
GLD Bull Put Spread,GLD puts,GLD,2025-12-19,2025-12-23,4,early,4,580.6928735755366,144.99999999999997,33.50000000000004,134.00000000000017,23.103448275862103,True,14.91
GLD Bull Put Spread,GLD puts,GLD,2025-12-26,2026-01-12,17,early,2,580.6928735755366,280.0,95.99999999999997,191.99999999999994,34.28571428571428,True,13.6
GLD Put Calendar,GLD calendar,GLD,2025-01-17,2025-02-07,21,expiry,14,622.4283562207651,42.50000000000003,-0.39500000000000046,-5.5300000000000065,-92.94117647058829,False,15.97
GLD Put Calendar,GLD calendar,GLD,2025-01-24,2025-01-31,7,profit_take,16,622.4283562207651,37.5,0.13000000000000012,2.080000000000002,34.66666666666669,True,14.85
GLD Put Calendar,GLD calendar,GLD,2025-01-31,2025-02-21,21,expiry,14,622.4283562207651,42.50000000000003,-0.3600000000000003,-5.0400000000000045,-84.7058823529412,False,16.43
GLD Put Calendar,GLD calendar,GLD,2025-02-21,2025-03-07,14,profit_take,10,622.4283562207651,60.00000000000001,0.19999999999999973,1.9999999999999973,33.33333333333328,True,18.21
GLD Put Calendar,GLD calendar,GLD,2025-02-28,2025-03-10,10,profit_take,14,622.4283562207651,42.50000000000003,0.11499999999999977,1.6099999999999968,27.05882352941169,True,19.63
GLD Put Calendar,GLD calendar,GLD,2025-03-14,2025-04-04,21,profit_take,10,622.4283562207651,57.500000000000014,1.3049999999999997,13.049999999999997,226.95652173913032,True,21.77
GLD Put Calendar,GLD calendar,GLD,2025-03-21,2025-04-04,14,profit_take,13,622.4283562207651,44.99999999999997,0.4250000000000007,5.525000000000009,94.44444444444466,True,19.28
GLD Put Calendar,GLD calendar,GLD,2025-04-04,2025-04-09,5,profit_take,11,622.4283562207651,52.49999999999994,0.1500000000000008,1.6500000000000088,28.571428571428754,True,45.31
GLD Put Calendar,GLD calendar,GLD,2025-04-11,2025-04-23,12,profit_take,7,622.4283562207651,82.50000000000001,0.21999999999999886,1.539999999999992,26.666666666666522,True,37.56
GLD Put Calendar,GLD calendar,GLD,2025-04-25,2025-05-05,10,profit_take,9,622.4283562207651,67.49999999999999,0.22499999999999964,2.024999999999997,33.333333333333286,True,24.84
GLD Put Calendar,GLD calendar,GLD,2025-05-02,2025-05-12,10,profit_take,11,622.4283562207651,54.999999999999986,0.22499999999999964,2.474999999999996,40.90909090909086,True,22.68
