delta_target,vix_threshold,entry_date,expiry,actual_dte,strike,put_entry_delta,put_entry_mid,put_entry_bid,vix_on_entry,exit_date,exit_price,exit_type,days_held,short_pnl,short_pnl_worst,pnl_pct,pnl_pct_worst,margin_reg_t,roc,annualized_roc,breakeven_pct,is_win,is_open,split_flag,missing_exit_data
0.15,30.0,2019-03-29,2019-04-26,28,32.5,-0.1667,0.78,0.74,13.71,2019-04-26,1.04,expiry,28,-26.0,-30.000000000000004,-0.3333333333333333,-0.40540540540540543,728.0,-0.03571428571428571,-0.46556122448979587,0.024,False,False,False,False
0.15,30.0,2019-04-05,2019-05-03,28,30.0,-0.1291,0.47,0.44,12.82,2019-05-01,0.1,early,26,37.0,34.0,0.7872340425531915,0.7727272727272727,647.0,0.0571870170015456,0.8028177386755438,0.015666666666666666,True,False,False,False
0.15,30.0,2019-04-12,2019-05-17,35,27.0,-0.1525,0.61,0.58,12.01,2019-05-01,0.265,early,19,34.5,31.499999999999993,0.5655737704918032,0.543103448275862,601.0,0.05740432612312812,1.1027673176285138,0.02259259259259259,True,False,False,False
0.15,30.0,2019-04-26,2019-05-24,28,26.0,-0.1418,0.46,0.42,12.73,2019-05-06,0.165,early,10,29.500000000000004,25.5,0.641304347826087,0.6071428571428571,566.0,0.05212014134275619,1.902385159010601,0.017692307692307695,True,False,False,False
0.15,30.0,2019-05-03,2019-05-31,28,26.0,-0.1602,0.565,0.54,12.87,2019-05-06,0.265,early,3,29.999999999999993,27.500000000000004,0.5309734513274336,0.5092592592592593,576.5,0.05203816131830007,6.331309627059842,0.021730769230769227,True,False,False,False
0.15,30.0,2019-05-17,2019-06-14,28,30.0,-0.1942,1.165,1.06,15.96,2019-05-28,0.34,early,11,82.5,72.0,0.7081545064377682,0.6792452830188679,716.5,0.1151430565247732,3.820655966503838,0.03883333333333334,True,False,False,False
0.15,30.0,2019-05-24,2019-06-21,28,29.0,-0.155,0.745,0.7,15.85,2019-05-29,0.33,early,5,41.5,36.99999999999999,0.5570469798657718,0.5285714285714285,654.5000000000001,0.06340718105423987,4.62872421695951,0.025689655172413794,True,False,False,False
0.15,30.0,2019-05-31,2019-06-28,28,30.0,-0.1068,0.585,0.55,18.71,2019-06-24,0.215,early,24,37.0,33.50000000000001,0.6324786324786325,0.6090909090909091,658.5,0.05618830675778284,0.8545304986079473,0.0195,True,False,False,False
0.15,30.0,2019-06-07,2019-07-05,28,28.5,-0.1441,0.62,0.56,16.3,2019-06-25,0.265,early,18,35.5,29.500000000000004,0.5725806451612904,0.5267857142857143,632.0,0.05617088607594937,1.1390207454289731,0.02175438596491228,True,False,False,False
0.15,30.0,2019-06-14,2019-07-12,28,29.0,-0.187,0.775,0.72,15.28,2019-07-12,3.16,expiry,28,-238.50000000000003,-244.00000000000003,-3.07741935483871,-3.3888888888888893,657.5000000000001,-0.3627376425855513,-4.728544269418793,0.026724137931034484,False,False,False,False
0.15,30.0,2019-06-21,2019-07-19,28,26.0,-0.1332,0.475,0.42,15.4,2019-07-19,0.05,early,28,42.5,37.0,0.8947368421052632,0.8809523809523809,567.5,0.07488986784140969,0.9762429200755192,0.018269230769230767,True,False,False,False
0.15,30.0,2019-06-28,2019-07-26,28,26.0,-0.1689,0.72,0.68,15.08,2019-07-26,2.31,expiry,28,-159.0,-163.0,-2.2083333333333335,-2.3970588235294117,592.0,-0.2685810810810811,-3.5011462355212357,0.02769230769230769,False,False,False,False
