date,ticker,dir,conf,action,r1,b_uni1,b_liq1,b_scr1,n_scr1,r3,b_uni3,b_liq3,b_scr3,n_scr3,r5,b_uni5,b_liq5,b_scr5,n_scr5,r10,b_uni10,b_liq10,b_scr10,n_scr10,r20,b_uni20,b_liq20,b_scr20,n_scr20
2026-05-12,NVTS,long,stated,hold,0.0997402597402599,-0.00034288029428769686,-0.004923320643435077,0.003923343634672755,718,0.10753246753246759,-0.012725855381244575,-0.01736414559351884,-0.013124964005778672,718,0.009350649350649443,-0.024871326255205536,-0.025704111714027717,-0.030736500876946193,718,0.5002597402597402,0.023550059341385456,0.0218227911351057,0.014526689660501624,718,0.06493506493506485,0.0009034531043923509,0.001653937174287219,-0.022090429747615572,718
2026-05-12,MU,long,inferred,hold,0.04833155052310256,-0.00034288029428769686,-0.004923320643435077,0.003923343634672755,718,-0.054684442589162385,-0.012725855381244575,-0.01736414559351884,-0.013124964005778672,718,-0.08849696052597256,-0.024871326255205536,-0.025704111714027717,-0.030736500876946193,718,0.21110647290563267,0.023550059341385456,0.0218227911351057,0.014526689660501624,718,0.1634532599337315,0.0009034531043923509,0.001653937174287219,-0.022090429747615572,718
2026-05-12,FLY,long,stated,hold,0.0012716174974567451,-0.00034288029428769686,-0.004923320643435077,0.003923343634672755,718,0.02822990844354023,-0.012725855381244575,-0.01736414559351884,-0.013124964005778672,718,0.08265513733468977,-0.024871326255205536,-0.025704111714027717,-0.030736500876946193,718,0.45676500508647,0.023550059341385456,0.0218227911351057,0.014526689660501624,718,-0.15005086469989826,0.0009034531043923509,0.001653937174287219,-0.022090429747615572,718
2026-05-12,EMP,long,stated,stopped_out,0.00023752969121138,-0.00034288029428769686,-0.004923320643435077,0.003923343634672755,718,-0.018052256532066435,-0.012725855381244575,-0.01736414559351884,-0.013124964005778672,718,-0.01995249406175781,-0.024871326255205536,-0.025704111714027717,-0.030736500876946193,718,-0.01163895486935873,0.023550059341385456,0.0218227911351057,0.014526689660501624,718,-0.02375296912114011,0.0009034531043923509,0.001653937174287219,-0.022090429747615572,718
2026-05-11,TSLA,long,inferred,hold,-0.025955056179775338,-0.006451249242898813,-0.006335936830784083,-0.004944392233258151,724,-0.0038202247191011507,-0.001283484682472622,-0.007272650243502833,0.00326929241079756,724,-0.0786741573033708,-0.022532985807312857,-0.02382444466566557,-0.027276929962269502,724,-0.025640449438202317,0.012799634176132526,0.013198238788535944,0.014674322939465132,724,-0.10858426966292134,-0.004376701501099182,0.0056615350892731025,-0.015281262129814165,724
2026-05-08,QBTS,long,stated,hold,0.0646876384581303,-0.005826433260497549,-0.003671754500677359,0.007563064472892535,697,-0.05006645990252545,-0.010785731426332816,-0.014977638845552319,0.005590570230856101,697,-0.09836065573770492,-0.02530048079664886,-0.027515249030614888,-0.011862996371622869,697,0.3026140894993352,-0.0034275554736119223,-0.0020307606803885206,0.0036726344753207304,697,0.14443952148870176,-0.007363983859409748,-0.003231097065255282,-0.005336221141447026,697
2026-05-08,TSLA,long,stated,hold,0.03887008287615257,-0.005826433260497549,-0.003671754500677359,0.007563064472892535,697,0.03950040854441461,-0.010785731426332816,-0.014977638845552319,0.005590570230856101,697,-0.014264036418816461,-0.02530048079664886,-0.027515249030614888,-0.011862996371622869,697,-0.005462822458270233,-0.0034275554736119223,-0.0020307606803885206,0.0036726344753207304,697,-0.04529006653437617,-0.007363983859409748,-0.003231097065255282,-0.005336221141447026,697
2026-05-07,MSTR,long,stated,exit,0.0430938612099645,0.0018706191811339295,0.004143475280201179,0.01095979596527017,690,0.025467081850533813,-0.009516843628650807,-0.005377432593344596,0.013055356930982689,690,0.039646352313167155,-0.002596147261968582,-0.005168882163507941,0.02214340042642854,690,-0.08335186832740216,-0.007237941504366194,-0.005323232221558498,0.0086432556131474,690,-0.3302935943060499,-0.010925381112709267,-0.00022920602820889984,-0.0007270427540224307,690
2026-05-08,MRVL,long,inferred,hold,0.004173279257038809,-0.005826433260497549,-0.003671754500677359,0.007563064472892535,697,0.04596485040851106,-0.010785731426332816,-0.014977638845552319,0.005590570230856101,697,0.03973432081349548,-0.02530048079664886,-0.027515249030614888,-0.011862996371622869,697,0.1539998824428379,-0.0034275554736119223,-0.0020307606803885206,0.0036726344753207304,697,0.6978193146417446,-0.007363983859409748,-0.003231097065255282,-0.005336221141447026,697
2026-05-07,CRCL,long,stated,exit,0.0037086092715232777,0.0018706191811339295,0.004143475280201179,0.01095979596527017,690,0.09183222958057402,-0.009516843628650807,-0.005377432593344596,0.013055356930982689,690,0.09386313465783669,-0.002596147261968582,-0.005168882163507941,0.02214340042642854,690,0.014392935982339816,-0.007237941504366194,-0.005323232221558498,0.0086432556131474,690,-0.2911258278145695,-0.010925381112709267,-0.00022920602820889984,-0.0007270427540224307,690
2026-05-01,QBTS,long,stated,entry,0.020985846754514537,-0.003948413537154714,-0.0061678925880264916,-0.004755330040879369,729,0.1630063445583212,0.012330550719311415,0.014080153543660483,0.018993045322546982,729,0.10151293313811616,0.007705460953977825,0.009348002224777358,0.008617137855766122,729,-0.006832601268911498,-0.016834798934819803,-0.018647433584587456,0.0007832610702424666,729,0.4241093216203027,0.033906698054123954,0.0348835005372465,0.014496277683489241,728
2026-04-30,MSTR,long,stated,entry,0.0708371109096404,0.0078047978166670305,0.0036453145903917795,0.0020733886961088344,758,0.12964641885766093,0.011187786607831731,0.006527942846173862,0.01391221671475158,758,0.08697491689332137,0.0139360730391661,0.007880378848146762,0.0017653659733112765,758,0.13006950740404966,0.010633433293306507,0.003699579279843615,0.02230831337871158,758,-0.03844061650045327,0.039290188208455125,0.037213368960505304,0.018695669780332193,758
2026-04-30,MRVL,long,stated,entry,-0.0012110202845898588,0.0078047978166670305,0.0036453145903917795,0.0020733886961088344,758,0.02179836512261568,0.011187786607831731,0.006527942846173862,0.01391221671475158,758,-0.03112322131395706,0.0139360730391661,0.007880378848146762,0.0017653659733112765,758,0.1055404178019983,0.010633433293306507,0.003699579279843615,0.02230831337871158,758,0.2412957917045111,0.039290188208455125,0.037213368960505304,0.018695669780332193,758
2026-05-01,IONQ,long,stated,entry,-0.009740259740259827,-0.003948413537154714,-0.0061678925880264916,-0.004755330040879369,729,0.1378787878787877,0.012330550719311415,0.014080153543660483,0.018993045322546982,729,0.06580086580086575,0.007705460953977825,0.009348002224777358,0.008617137855766122,729,0.12445887445887438,-0.016834798934819803,-0.018647433584587456,0.0007832610702424666,729,0.49956709956709955,0.033906698054123954,0.0348835005372465,0.014496277683489241,728
2026-05-05,INTC,long,stated,stopped_out,0.04493758668515957,0.009283281195454964,0.011308695052522015,0.006940593380303407,719,0.15506241331484039,0.004565203649705908,0.006119848873534773,-0.003283885807095089,719,0.11521035598705498,-0.006938937396694335,-0.003960596011256129,0.00096589222811129,719,0.024503005085529272,-0.03239767258291145,-0.031052072925281622,-0.025313389390691058,719,0.04216366158113716,0.011172299923846081,0.01866807446143488,0.014375395639269574,719
2026-05-05,CRCL,long,stated,entry,0.06664331377528687,0.009283281195454964,0.011308695052522015,0.006940593380303407,719,-0.004553813819073493,0.004565203649705908,0.006119848873534773,-0.003283885807095089,719,0.08284438217006751,-0.006938937396694335,-0.003960596011256129,0.00096589222811129,719,-0.027673176285138767,-0.03239767258291145,-0.031052072925281622,-0.025313389390691058,719,-0.2107014624748227,0.011172299923846081,0.01866807446143488,0.014375395639269574,719
