entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
CONFIRMED,20EMA,close<20EMA,768,97,88.78612716763006,7.13974517222194,1.3092321845252286,1.4338346114598943,-7.9374796648233765,0.3123148467126371,0.18064104375778578
CONFIRMED,20EMA,close<50EMA,653,212,75.49132947976878,11.456256422799239,1.3164999736354277,1.455865912205545,-9.6154530572508,0.27481280569247557,0.15140897714722956
CONFIRMED,20EMA,hold 20d,805,60,93.0635838150289,6.725629111238188,1.2742682686659195,1.2966086402444343,-7.147161583182982,0.33148219047257654,0.18141588449536508
CONFIRMED,20EMA,target 2R,677,188,78.26589595375722,12.210401519124611,1.5060805062160447,2.162637588630334,-9.661486247586847,0.4444615734983073,0.22384108751078508
CONFIRMED,20EMA,target 4R,552,313,63.8150289017341,15.42224111270508,1.9730400641989425,3.5676067828271485,-9.902634491105433,0.6423539853732044,0.3602684503837419
CONFIRMED,20d low,close<10EMA,533,4,99.25512104283054,1.7735804295747732,1.0081207806183798,0.043042997681919104,-3.587908101655324,0.03936795206678673,0.011996683432906408
CONFIRMED,20d low,close<20EMA,521,16,97.02048417132217,2.7678410144417405,1.0666679562428647,0.3439365818791895,-4.418069945638892,0.16075164768334346,0.07784769958626205
CONFIRMED,20d low,close<50EMA,474,63,88.26815642458101,5.321904075693652,1.073122293714949,0.37780069360642266,-5.496997427063166,0.14851500879733429,0.06872855565593143
CONFIRMED,20d low,hold 20d,521,16,97.02048417132217,3.184754727266534,1.0943982959731784,0.4825866480883789,-2.8391857709153423,0.27789256601013007,0.1699736075856688
CONFIRMED,20d low,target 2R,355,182,66.10800744878958,9.769485382434743,1.4530767502395168,1.9596826334028927,-6.055226916979284,0.5186321810674082,0.32363487946385694
CONFIRMED,20d low,target 4R,289,248,53.81750465549348,10.80856813598758,1.7162611282609574,2.839248316576315,-6.848426580468292,0.6869757415876261,0.4145840337507376
CONFIRMED,3.0%,close<10EMA,884,0,100.0,10.573065902578842,1.5716844340268372,2.434914837032931,-21.98987592289463,0.2565612457563988,0.11072890295382858
