universe,slots,entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
BROAD,10,LEADER,3.0%,close<50EMA,2105,1370,60.57553956834533,43.420301671422024,0.5464472624523791,-3.09282167165974,-67.9601645275298,-0.09519512972819466,-0.04550933172633621
BROAD,10,LEADER,3.0%,hold 20d,2807,668,80.77697841726619,31.18222584590266,0.23445664565768137,-7.427302317405027,-80.9337935162832,-0.45917208735591325,-0.09177009991395887
BROAD,10,LEADER,3.0%,target 4R,3087,388,88.83453237410072,27.019975540154835,0.18157298191230303,-8.66814840669572,-82.87749324274264,-0.6899727471008702,-0.10458989609286674
BROAD,10,POTENT,2.0ATR,close<50EMA,1381,2876,32.44068592905802,27.157077485208987,0.9230445745852561,-0.42099900119855205,-34.23476900772299,-0.01780772337133194,-0.012297410305399731
BROAD,10,POTENT,2.0ATR,hold 20d,2262,1995,53.13601127554616,22.213238661829198,0.7892437763863832,-1.2503206549700274,-33.70990404407307,-0.13852235525099824,-0.037090602611485654
BROAD,10,POTENT,2.0ATR,target 4R,1207,3050,28.3533004463237,27.93323741499609,1.445900571349588,1.9318047760965351,-25.917024096994577,0.2670961614861197,0.07453806304561617
BROAD,10,POTENT,20EMA,close<50EMA,1284,2952,30.311614730878187,22.44688305153588,0.8476956692296418,-0.8560477193662375,-32.03900576660364,-0.08407179167630525,-0.02671892272820002
BROAD,10,POTENT,20EMA,hold 20d,2130,2106,50.28328611898017,18.68085251392792,0.9346434234922443,-0.35861593113175605,-22.136086203114857,-0.03255999496805452,-0.016200512043601175
BROAD,10,POTENT,20EMA,target 4R,813,3423,19.192634560906516,21.875000470137557,1.1859947708899448,0.8775636912932594,-16.491360720459237,0.17130020768436086,0.05321354048150502
BROAD,10,POTENT,3.0%,close<50EMA,2420,1838,56.83419445749178,54.495001020198785,0.2415800523000806,-7.197943898140946,-80.77541773410545,-0.29750684418416173,-0.08911057472751131
BROAD,10,POTENT,3.0%,hold 20d,3175,1083,74.56552372005636,39.89389920424321,0.09915461751350067,-11.540531250341113,-90.58115130995489,-0.8271625409095528,-0.12740543792439968
BROAD,10,POTENT,3.0%,target 4R,3503,755,82.26867073743541,38.404407263822726,0.1369676581296652,-10.022156216555622,-87.03331828671213,-0.7362318805146522,-0.11515309784627345
BROAD,10,REQ-only,2.0ATR,close<50EMA,1853,108121,1.6849437139687562,62.52994113024417,1.496579777178383,2.1475038161219207,-38.18540391420245,0.2715730982140308,0.05623886605853581
BROAD,10,REQ-only,2.0ATR,hold 20d,3573,106401,3.2489497517595067,66.49073522390474,1.5886901438484793,2.492115821234475,-36.502207789040455,0.2998505257146781,0.06827301613199178
BROAD,10,REQ-only,2.0ATR,target 4R,1277,108697,1.1611835524760399,59.455768205798016,2.048261783385615,3.8434865651659544,-36.394097273993964,0.5192742168909877,0.10560741584631596
BROAD,10,REQ-only,20EMA,close<50EMA,1937,107091,1.776607843856624,69.38693526315012,1.1986056887382133,0.9570575337321641,-42.832681098307255,0.12621687063209555,0.02234409589106919
BROAD,10,REQ-only,20EMA,hold 20d,3909,105119,3.5853175331107607,74.66356734474837,1.2163081157330047,1.0445916058847038,-38.7294957076588,0.1341525939594521,0.02697147450019946
