tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_iv30,ib_pctile,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
EXPE,282.21500000000003,1.1897045019325383,0.4388,70.67669172932331,11.0,18.1,15.55555555555554,0.0,46.0,False,False,False,,,,,athena,70.67669172932331,False,41.412287180838696,True,False
FAS,162.39499999999998,1.1090527224662972,0.4216,13.043478260869565,11.0,9.75,53.76344086021506,1.0,,False,False,False,,,,,athena,13.043478260869565,True,37.427313493690356,True,False
FCX,71.27000000000001,1.0112277312363376,0.4749,63.96396396396396,11.0,4.855,22.22222222222222,122.0,32.0,False,False,True,,,,,athena,63.96396396396396,False,,True,False
FDX,296.54499999999996,1.3025266149645414,0.2786,31.137724550898206,11.0,12.525,25.0,1.0,37.0,False,True,True,27.304154000000004,17.670682730923694,2026-09-21,250.0,ib,17.670682730923694,True,33.10942640202015,True,True
FEZ,68.64500000000001,0.43875815100163595,0.2621,88.54166666666666,,,,,,False,False,False,,,,,athena,88.54166666666666,False,,True,False
FFIV,438.905,1.2399859810289777,0.362,,,,,,36.0,False,True,False,,,,,none,,False,64.21831468289037,True,False
FIVE,237.985,1.1674787441207626,0.3686,,,,,,73.0,False,False,False,,,,,none,,False,48.65814435931524,True,False
FLEX,108.745,1.0974908747566348,0.584,,,,,,38.0,False,False,False,,,,,none,,False,,True,False
FLR,54.655,1.1193143105339216,0.4657,,,,,,46.0,False,False,False,,,,,none,,False,52.77219117600343,True,False
FOXA,64.71000000000001,1.1195577492614177,0.3359,63.095238095238095,,,,,39.0,False,False,False,,,,,athena,63.095238095238095,False,47.90860983343293,True,False
FSLR,195.655,1.1121524701600574,0.495,15.942028985507244,11.0,14.0,27.160493827160487,23.0,39.0,False,False,False,,,,,athena,15.942028985507244,True,41.12077671078655,True,False
FTNT,172.36,1.2678283827108066,0.4659,83.84279475982532,11.0,11.475000000000001,26.54867256637168,1.0,45.0,False,True,False,,,,,athena,83.84279475982532,False,59.917585515262125,True,False
FUTU,112.86,1.097140308428748,0.4521,9.90566037735849,11.0,6.755,61.728395061728406,10.0,58.0,False,False,False,,,,,athena,9.90566037735849,True,,True,False
GAP,20.855,1.1287554260630244,0.4241,48.421052631578945,11.0,1.1,71.64179104477611,34.0,60.0,False,False,False,,,,,athena,48.421052631578945,False,48.89647186782325,True,False
GBTC,65.92,1.0342172989662053,0.388,43.037974683544306,11.0,3.975,34.28571428571428,0.0,,False,False,False,,,,,athena,43.037974683544306,False,,True,False
GD,351.595,1.0449791362649934,0.2149,57.14285714285714,11.0,10.7,71.26436781609196,8.0,32.0,False,False,False,,,,,athena,57.14285714285714,False,,True,False
GDXJ,122.92500000000001,1.043778226513981,0.4773,62.5,11.0,8.435,46.11032531824609,3.0,,False,False,False,,,,,athena,62.5,False,,True,False
GE,314.1,0.9100111165694317,0.3643,78.9237668161435,,,,,30.0,False,False,False,,,,,athena,78.9237668161435,False,,True,False
GEV,952.6600000000001,1.0763551385816985,0.4692,30.59360730593607,11.0,60.300000000000004,19.847328244274802,0.0,31.0,False,False,False,,,,,athena,30.59360730593607,False,,True,False
GILD,150.95999999999998,1.0216977476821902,0.303,49.760765550239235,11.0,7.109999999999999,71.78729689807976,13.0,39.0,False,False,False,,,,,athena,49.760765550239235,False,,True,False
GLW,155.63,0.9927809117362283,0.6103,91.04477611940298,,,,,37.0,False,False,False,,,,,athena,91.04477611940298,False,,True,False
GM,83.17500000000001,0.7138664908746387,0.4297,70.24793388429752,,,,,30.0,False,False,False,,,,,athena,70.24793388429752,False,,True,False
GME,22.855,1.1039687002857843,0.4693,37.755102040816325,11.0,1.545,13.496932515337424,122.0,79.0,False,False,True,,,,,athena,37.755102040816325,False,76.0195771592939,False,False
GOOG,351.39,1.200079676326758,0.2899,34.63203463203463,11.0,15.049999999999999,3.030303030303033,228.0,38.0,False,True,True,31.27278,45.2,2026-09-21,251.0,ib,45.2,False,59.07687784983818,True,False
GOOGL,355.615,1.1883867008362594,0.3003,38.095238095238095,11.0,15.4,7.719298245614045,101.0,,False,False,True,,,,,athena,38.095238095238095,False,59.45728772441922,True,False
GS,946.355,1.0009548197986873,0.3291,67.96536796536796,11.0,42.65,21.24863088718511,62.0,22.0,False,False,True,,,,,athena,67.96536796536796,False,,True,False
GSK,51.015,1.359905927882646,0.2123,14.285714285714285,11.0,2.775,130.66666666666669,8.0,37.0,False,True,False,,,,,athena,14.285714285714285,True,53.700663376015555,True,False
HAL,32.905,1.4882948066469444,0.2714,6.392694063926941,11.0,1.7449999999999999,27.027027027027035,1.0,30.0,False,True,False,,,,,athena,6.392694063926941,True,36.72751511621751,True,False
HCA,428.69500000000005,1.1439038189516975,0.284,,,,,,32.0,False,False,False,,,,,none,,False,59.65471567991942,True,False
HD,296.405,1.1320872150154502,0.2549,55.940594059405946,11.0,10.975,49.12280701754386,11.0,58.0,False,False,False,,,,,athena,55.940594059405946,False,27.671779903714793,True,False
HE,9.785,0.9285399146263653,0.3596,,,,,,46.0,False,False,False,,,,,none,,False,,True,False
HIG,131.935,1.3825813251600212,0.1506,,,,,,37.0,False,True,False,,,,,none,,False,35.82713175262545,True,False
HL,18.525,0.9933520914507002,0.639,32.55813953488372,,,,,45.0,False,False,False,,,,,athena,32.55813953488372,False,,True,False
HOOD,122.05000000000001,1.0700487639301253,0.6383,33.76623376623377,11.0,11.05,4.878048780487805,567.0,45.0,False,False,True,,,,,athena,33.76623376623377,False,,True,False
HPE,60.64,1.1557498485010524,0.6069,79.16666666666666,11.0,5.585,22.22222222222223,97.0,74.0,False,False,True,,,,,athena,79.16666666666666,False,58.90002202219888,True,False
HSBC,102.93,0.9680517162416327,0.2474,58.71559633027523,,,,,36.0,False,False,False,,,,,athena,58.71559633027523,False,,True,False
HSY,169.015,1.1920496224900174,0.2476,40.25974025974026,11.0,6.3,51.85185185185185,27.0,39.0,False,False,False,,,,,athena,40.25974025974026,False,36.39343786075238,True,False
HUT,100.94999999999999,1.016749068742922,0.9354,23.497267759562842,11.0,14.125,31.83673469387754,1.0,44.0,False,False,False,,,,,athena,23.497267759562842,True,,True,False
