tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_pctile,ib_iv30,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
DIA,517.625,1.036820022713859,0.1435,64.14141414141415,,,,,,False,False,False,,,,,athena,64.14141414141415,False,,True,False
DJT,8.594999999999999,1.2558609039452284,0.6594,64.91228070175438,,,,,51.0,False,True,False,,,,,athena,64.91228070175438,False,43.12819815349808,True,False
DKS,123.86500000000001,1.190084191997476,0.4529,81.5126050420168,,,,,70.0,False,False,False,,,,,athena,81.5126050420168,False,25.983456757432705,True,False
DVN,49.2,1.0,0.369,52.752293577981646,,,,,50.0,False,False,False,,,,,athena,52.752293577981646,False,,True,False
EBAY,109.775,1.170111813438101,0.321,57.07070707070707,,,,,43.0,False,False,False,,,,,athena,57.07070707070707,False,56.27641474652044,True,False
ED,105.735,0.9564094296799214,0.1808,,,,,,51.0,False,False,False,,,,,none,,False,,True,False
ELF,92.95,1.287303850845806,0.5021,11.219512195121952,,,,,50.0,False,True,False,,,,,athena,11.219512195121952,True,42.99668068975942,True,False
EOG,146.08499999999998,1.0048579113118612,0.334,58.95522388059702,,,,,51.0,False,False,False,,,,,athena,58.95522388059702,False,,True,False
EOSE,3.9699999999999998,1.1599427280365977,1.0481,39.25925925925926,,,,,50.0,False,False,False,,,,,athena,39.25925925925926,False,51.34932381047681,True,False
EPD,38.215,1.1852554279983845,0.1537,43.87755102040816,,,,,44.0,False,False,False,,,,,athena,43.87755102040816,False,43.11840101815686,True,False
EQT,50.86,1.0771578037783942,0.3101,18.947368421052634,,,,,35.0,False,False,False,,,,,athena,18.947368421052634,True,,True,False
ERX,108.745,0.9371735559895519,0.542,,,,,,,False,False,False,,,,,none,,False,,True,False
ET,21.165,1.3677154026442417,0.1702,23.52941176470588,,,,,50.0,False,True,False,,,,,athena,23.52941176470588,True,48.9640957496428,True,False
ETHA,18.235,1.1097765227887928,0.4961,1.935483870967742,,,,,,False,False,False,,,,,athena,1.935483870967742,True,56.74959388393463,True,False
ETN,403.54499999999996,0.9751477377437692,0.3996,68.83116883116884,,,,,49.0,False,False,False,,,,,athena,68.83116883116884,False,,True,False
EW,89.445,1.516568863519566,0.213,,,,,,44.0,False,True,False,,,,,none,,False,52.48296701671269,True,False
EWJ,97.005,0.8586639061377295,0.255,,,,,,,False,False,False,,,,,none,,False,,True,False
EWU,49.7,2.1407325556311934,0.1412,,,,,,,False,True,False,,,,,none,,False,39.692602033756465,True,False
EWW,73.07,1.2574868046626921,0.242,32.35294117647059,,,,,,False,True,False,,,,,athena,32.35294117647059,False,31.774132586047884,True,False
EWY,178.34,1.0105176486821237,0.4764,,,,,,,False,False,False,,,,,none,,False,,True,False
EWZ,37.754999999999995,1.113090655742519,0.43,89.2156862745098,,,,,,False,False,False,,,,,athena,89.2156862745098,False,57.31100940454159,True,False
EXPE,291.0,1.1950585703069228,0.4293,67.66917293233082,,,,,51.0,False,False,False,,,,,athena,67.66917293233082,False,43.52856249719386,True,False
FAS,163.125,1.0117058035039157,0.4909,36.231884057971016,,,,,,False,False,False,,,,,athena,36.231884057971016,False,,True,False
FCX,69.625,1.1529742700874845,0.4729,63.06306306306306,,,,,37.0,False,False,False,,,,,athena,63.06306306306306,False,44.682449496588546,True,False
FDX,302.75,1.3134752142639614,0.2767,29.94011976047904,,,,,42.0,False,True,False,,,,,athena,29.94011976047904,True,34.64445656716752,True,False
FEZ,68.605,0.9062900534793726,0.1886,60.416666666666664,,,,,,False,False,False,,,,,athena,60.416666666666664,False,,True,False
FFIV,426.45,1.2576087223859116,0.3631,,,,,,41.0,False,True,False,,,,,none,,False,59.5371582071912,True,False
FIVE,242.59,0.955399592888437,0.404,,,,,,78.0,False,False,False,,,,,none,,False,,True,False
FLEX,108.95,1.2606273007525195,0.591,,,,,,43.0,False,True,False,,,,,none,,False,43.78671433699505,True,False
FLR,52.625,1.099019969896761,0.4759,,,,,,51.0,False,False,False,,,,,none,,False,,True,False
FOXA,66.825,1.0605079855280324,0.3553,65.47619047619048,,,,,44.0,False,False,False,,,,,athena,65.47619047619048,False,,True,False
FSLR,192.7,1.1700016139403533,0.4797,10.628019323671497,,,,,44.0,False,False,False,,,,,athena,10.628019323671497,True,35.6350619462503,True,False
FTNT,172.6,1.204444541958686,0.4786,84.71615720524017,,,,,50.0,False,True,False,,,,,athena,84.71615720524017,False,60.7246933436107,True,False
FUTU,110.25,1.330526154269935,0.4244,6.132075471698113,,,,,63.0,False,True,False,,,,,athena,6.132075471698113,True,43.833076720725586,True,False
GAP,20.19,1.8803879134740011,0.3079,6.315789473684211,,,,,65.0,False,True,False,,,,,athena,6.315789473684211,True,43.03413241861574,True,False
GBTC,59.010000000000005,1.0270188447697128,0.3917,44.303797468354425,,,,,,False,False,False,,,,,athena,44.303797468354425,False,,True,False
GD,362.375,1.2014962695714118,0.203,48.701298701298704,,,,,37.0,False,True,False,,,,,athena,48.701298701298704,False,38.22423112101725,True,False
GDXJ,120.85,1.1039947250218014,0.4654,59.55882352941176,,,,,,False,False,False,,,,,athena,59.55882352941176,False,44.648557821615654,True,False
GE,314.2,1.0554419941520807,0.3247,68.16143497757847,,,,,35.0,False,False,False,,,,,athena,68.16143497757847,False,,True,False
GEV,936.915,1.0584163041909402,0.4633,27.397260273972602,,,,,36.0,False,False,False,,,,,athena,27.397260273972602,True,,True,False
GILD,148.03,1.168332067870565,0.2731,35.88516746411483,,,,,44.0,False,False,False,,,,,athena,35.88516746411483,False,59.53733390399746,True,False
GLW,146.065,1.0276498918152543,0.5794,88.05970149253731,,,,,42.0,False,False,False,,,,,athena,88.05970149253731,False,,True,False
GM,84.405,1.0943428487249,0.3255,47.93388429752066,,,,,35.0,False,False,False,,,,,athena,47.93388429752066,False,,True,False
GME,21.939999999999998,1.1213748561696486,0.4671,36.734693877551024,,,,,84.0,False,False,False,,,,,athena,36.734693877551024,False,72.96168663496007,False,False
GOOG,341.85,1.1767408343574715,0.2973,38.961038961038966,,,,,43.0,False,False,False,,,,,athena,38.961038961038966,False,49.45699548988413,True,False
GOOGL,345.325,1.2007247458481651,0.2939,33.76623376623377,,,,,,False,True,False,,,,,athena,33.76623376623377,False,50.06305182898453,True,False
GRRR,12.785,1.185898231735646,0.9135,13.186813186813188,,,,,63.0,False,False,False,,,,,athena,13.186813186813188,True,40.49307583129623,True,False
GS,942.2049999999999,0.9088989544458689,0.3638,83.11688311688312,,,,,27.0,False,False,False,,,,,athena,83.11688311688312,False,,True,False
GSK,50.05,1.2049546490271332,0.2538,29.591836734693878,,,,,42.0,False,True,False,,,,,athena,29.591836734693878,True,50.01789301795856,True,False
HAL,34.525000000000006,1.066680612999531,0.3769,33.33333333333333,,,,,35.0,False,False,False,,,,,athena,33.33333333333333,False,,True,False
HCA,427.46000000000004,1.1980440054007284,0.2929,,,,,,37.0,False,False,False,,,,,none,,False,61.32988548216002,True,False
HD,304.085,1.1212451989865317,0.2643,64.35643564356435,,,,,63.0,False,False,False,,,,,athena,64.35643564356435,False,31.24587367418532,True,False
HE,10.239999999999998,1.215763530482449,0.338,,,,,,51.0,False,True,False,,,,,none,,False,22.131583327132745,True,False
HIG,140.675,1.3293688602010112,0.1727,,,,,,42.0,False,True,False,,,,,none,,False,42.637545660519535,True,False
