date,sym,ret
2022-02-11,EXPE,0.6417493487868242
2022-02-15,ANET,-3.287357703657945
2022-02-17,DASH,-8.580622269795946
2022-02-25,CVNA,-9.331416511183333
2022-03-09,MDB,1.120557272865108
2022-03-10,CRWD,10.353878400910821
2022-03-17,SIG,-8.494470133155541
2022-04-28,META,-2.751440452762055
2022-05-04,LITE,-2.753348232339514
2022-05-17,TTWO,-2.891843000830263
2022-05-18,TJX,-4.046552904063305
2022-05-20,PANW,4.301510705200751
2022-05-26,M,-7.602079133540219
2022-05-27,DELL,-4.889900131240332
2022-05-27,ULTA,-4.369484808325408
2022-06-02,MDB,-6.462121751981242
2022-07-15,C,3.345223930361052
2022-07-26,FFIV,4.035027090386301
2022-07-27,CMG,6.574713981668556
2022-07-27,SPOT,-3.272290649532361
2022-07-28,FSLR,44.58061340597632
2022-08-02,UBER,-1.0186728531196843
2022-08-05,NET,-11.572505254145515
2022-08-23,PANW,-4.468620645479405
2022-09-07,ASO,-3.9128647645334635
2022-10-19,ISRG,25.107114845683974
2022-10-19,NFLX,-4.446384657856783
2022-10-19,UAL,9.244210792851138
2022-10-27,NOW,-5.71957864446121
2022-11-01,UBER,-3.353152842194962
2022-11-04,DASH,4.406067233362276
2022-11-10,CELH,19.858681741839646
2022-11-15,WMT,-1.2707863095861138
2022-11-17,M,-2.8411908618357296
2022-11-18,PANW,-0.6705518704960278
2022-11-18,ROST,7.649812822125734
2022-12-01,FIVE,-10.654653559255445
2022-12-07,MDB,4.787413095091919
2022-12-08,CIEN,-6.6261100017089625
2023-01-26,STX,-2.990904240206682
2023-01-27,AXP,0.37362247877414934
2023-01-31,GM,-0.3774839445387701
2023-01-31,SPOT,3.7135842537145303
2023-02-02,META,-5.936084464310931
2023-02-08,FTNT,-3.245345723586446
2023-02-08,UBER,-7.055481758923499
2023-02-10,NET,-1.6943085804339564
2023-02-14,BTU,-13.573360281557045
2023-02-14,PLTR,-11.565334450414323
2023-02-22,PANW,2.2028486922869517
2023-03-02,M,-4.728155795567812
2023-03-06,CIEN,-2.945330814292013
2023-03-08,CRWD,-5.8044638952676415
2023-03-17,FDX,-2.043493124033413
2023-03-22,GME,-5.593279235647774
2023-04-19,ISRG,0.7595261862888281
2023-04-26,VRT,89.31927324058758
2023-05-02,UBER,15.076298516480623
2023-05-04,RCL,35.732698057369916
2023-05-09,PLTR,46.82647101814219
2023-05-11,HOOD,-9.611009544874937
2023-05-11,TPR,1.5375584789347752
2023-05-19,DE,-1.0370687704726378
2023-05-25,BURL,-1.1010831304469781
2023-05-26,GAP,-4.029074222123718
2023-06-01,NTAP,-3.320297622419288
2023-06-02,FIVE,1.1013416026055545
2023-06-02,MDB,-2.252557565998148
2023-07-18,SCHW,-6.236089079822127
2023-07-25,FFIV,-2.767308456644746
2023-07-28,FSLR,-6.961692594927227
2023-08-04,NET,-2.6833146934549967
2023-08-21,PANW,-2.790021764830841
2023-08-31,ASO,-1.8091805476835976
2023-08-31,CIEN,-6.369920956810526
2023-10-24,RTX,1.5491629679188712
2023-10-24,SPOT,-5.352701163442452
2023-10-26,FLEX,-1.787618580227246
2023-10-27,COF,31.1447599406389
2023-10-30,WDC,-4.139281770860714
2023-11-02,DASH,12.418744668027282
2023-11-02,ELF,-2.093774574819207
2023-11-02,PLTR,2.188297630498459
2023-11-03,EXPE,28.3828670635355
2023-11-08,TTWO,6.123357554335662
2023-11-21,BURL,15.381513342450637
2023-11-21,DKS,-0.3393440362903011
2023-12-01,ULTA,0.17865712471150097
2024-01-23,UAL,-1.3829177335348275
2024-02-06,COHR,2.7769980755349755
2024-02-07,FTNT,-6.8835527183586205
2024-02-14,HOOD,34.036584943420166
2024-02-28,EBAY,7.498879788091761
2024-02-28,FSLR,-0.10618568014311158
2024-03-06,CRWD,-2.2347470990305984
2024-03-08,GAP,17.78523183067946
2024-04-17,UAL,7.33537362798502
2024-04-23,SPOT,-7.464931877736891
2024-05-07,COHR,-1.282620605283502
2024-05-07,LITE,2.668849470014023
2024-05-07,SYM,-10.308592666233075
2024-05-08,BROS,23.957058105226146
2024-05-09,HOOD,-6.372412225172386
2024-05-23,ELF,-4.0563426535713205
2024-05-24,ROST,-3.3525657498254535
2024-05-31,ULTA,-1.5082724688991522
2024-06-05,CRWD,9.212072106324399
2024-06-05,HPE,7.2578368112111935
2024-07-23,SPOT,-2.887971313584814
2024-07-26,NOV,-6.031940741119534
2024-07-29,ON,-5.682621468450588
2024-08-01,CVNA,-6.547998363276875
2024-08-01,META,-2.1246595858361306
2024-08-02,DASH,5.189047944614944
2024-08-02,NET,-2.4103283506733075
2024-08-06,UBER,9.61559942494219
2024-08-07,FTNT,13.272445269316279
2024-08-08,LLY,7.912976554891449
2024-08-15,LITE,1.2324644816800845
2024-08-19,ZIM,-4.7749098913954064
2024-08-29,NTNX,-4.673437676554004
2024-08-30,MDB,-6.425519905066279
2024-09-12,SIG,10.889119868531584
2024-09-26,MU,-2.361466817901814
2024-10-25,WDC,-1.852352960301118
2024-10-29,THC,-4.945761111034908
2024-10-30,GOOG,-2.1545318255370316
2024-11-06,DJT,-23.127065435923157
2024-11-07,ELF,9.370079636395934
2024-11-19,SYM,-38.62875833244668
2024-11-22,GAP,-2.968682721471161
2024-11-22,NTAP,-0.12638568582429288
2024-11-26,DKS,-2.541728489130768
2024-11-27,URBN,14.78388321389479
2024-12-05,FIVE,-2.9880422516481153
2024-12-06,ULTA,-2.5679492145616156
2025-01-10,DAL,-1.3326948965879937
2025-01-14,APLD,-2.186456131412595
2025-01-22,STX,-4.5357195246711335
2025-01-29,GLW,3.1869995585611655
2025-01-30,CLS,4.259077241236109
2025-01-30,LVS,-5.185677787085696
2025-02-05,NOV,-7.185234179517108
2025-02-06,COHR,-4.739785136957176
2025-02-13,TAP,2.004771367013314
2025-02-21,CELH,-17.761208623108015
2025-02-27,WBD,-2.9216255612036
2025-03-06,BURL,-6.95127232387045
2025-03-07,GAP,-6.795663048197054
2025-03-14,QBTS,-25.46940538891338
2025-03-14,ULTA,-4.010573171531872
2025-03-19,SIG,-3.5998801751949694
2025-03-26,GME,-22.26423196866826
2025-04-24,NOW,6.79260035324587
2025-05-08,QBTS,45.294532389451916
2025-05-13,LUNR,-6.635754551787576
2025-05-16,QUBT,35.16064712059015
2025-05-28,ANF,-6.325211162775002
2025-05-29,ELF,4.395793488358035
2025-06-05,MDB,-2.520119588575742
2025-07-10,DAL,-3.8381715858947674
2025-07-22,DHI,10.802595324582033
2025-07-22,THC,1.2974883827828299
2025-07-24,LVS,6.024068464659504
2025-07-24,MBLY,-4.083078906324444
2025-07-24,NOW,-2.943808303378126
2025-07-25,EW,-2.782129988922799
2025-08-01,RDDT,25.623182859763105
2025-08-07,APA,11.082854185603663
2025-08-07,BROS,-6.150594840144475
2025-08-07,HL,70.93802047600013
2025-08-08,EXPE,11.546308954765628
2025-08-14,WULF,44.60143565340853
2025-08-19,PANW,13.619196252070287
2025-08-27,MDB,4.754769098907463
2025-09-03,M,7.080212611200509
2025-09-05,IOT,-9.28117217862371
2025-09-10,GME,3.936352070026783
2025-10-09,DAL,-3.70127403206274
2025-10-21,HAL,4.6241468789711915
2025-10-22,ISRG,5.689397008561414
2025-10-23,AA,-8.603509029878097
2025-10-30,SIRI,-6.655182172073015
2025-11-25,ANF,13.668712948367556
2025-11-25,SYM,-13.551261574444895
2025-11-26,URBN,-0.6115592828936811
2026-01-08,APLD,5.861954267141534
2026-01-29,META,-4.511857755875138
2026-01-29,RCL,-7.806396809774685
2026-02-05,ELF,6.591178390073682
2026-02-05,SIRI,-4.262453705264512
2026-02-06,RDDT,1.1634175975358874
2026-02-10,SPOT,-6.537681298004938
2026-02-11,NET,-2.433860635840235
2026-02-26,CELH,-9.180341146236115
2026-02-26,NTNX,-4.419529400804256
2026-02-27,DELL,106.24833536271181
2026-03-06,IOT,-16.03348719437635
2026-03-06,MRVL,-2.160814174809811
2026-05-01,RDDT,-6.602163428184893
2026-05-07,FTNT,43.31778372361352
2026-05-12,QUBT,-6.5538028778011626
2026-05-21,ELF,-0.6131244753346032
2026-05-27,ANF,-5.347927736293723
2026-05-28,MDB,2.561194626511698
2026-07-23,CLF,1.7124302465658214
2026-07-24,THC,10.640419683391954
2026-08-04,PLTR,3.9723481337085698
2026-08-10,ACHR,-5.9391107332206765
2026-08-12,CRWV,-2.48798926182201
2026-08-12,NBIS,-15.25069056945324
2026-08-28,GAP,-5.172808873430823
