i,j,date,sym,ret,held,R,ext,stop_adr,adr,ext_terc,adr_terc,gate
565,1005,2021-03-31,MKSI,-2.557298629790794,False,-1.278649314895397,0.07014438671325052,0.28823821672199906,5.613233650117729,low ext,2,True
565,1042,2021-03-31,MT,-1.7393924705674135,False,-0.8696962352837068,0.09140991620433778,0.2659200040190024,4.1253625829936125,low ext,1,False
565,1098,2021-03-31,NTLA,-11.596834077334684,False,-1.3007743477439133,0.7817772715457625,0.7503178771549316,11.882072163775081,high ext,2,False
565,1420,2021-03-31,SNPS,0.952143596099253,True,0.3932035651319804,0.2066992197617292,0.7127536800560198,3.3973910284143005,mid ext,0,False
565,1530,2021-03-31,TRMB,4.175033086966118,True,2.087516543483059,0.05690006741980675,0.36036516428701065,3.3889028520875866,low ext,0,False
565,1556,2021-03-31,TXN,-1.2189744873345676,False,-0.6094872436672838,0.020802381699954096,0.4266417905488759,3.050942771626767,low ext,0,False
566,32,2021-04-01,ADSK,0.6649678312026452,True,0.31152547735282865,0.4533844701973312,0.6479988468428978,3.294070069580894,mid ext,0,True
566,84,2021-04-01,AMAT,-4.797724164654693,False,-1.5716962804057448,0.9040896831505533,0.648783085130714,4.705081294222611,high ext,2,False
566,121,2021-04-01,AR,-6.908281090446044,False,-1.389332140191768,0.21663049944447293,0.6881200525695529,7.226029059861097,mid ext,2,False
566,206,2021-04-01,BFAM,-10.232887488356447,False,-4.888558454325949,0.5608840512413934,0.6871777574407926,3.046129009826899,high ext,0,False
566,317,2021-04-01,CDNS,-1.2084585646688129,False,-0.5551451535816166,0.672001776957225,0.6087532735875238,3.5758879484111517,high ext,1,False
566,418,2021-04-01,CRUS,-3.2299211346060286,False,-1.4972142008302871,0.4648105384250111,0.5595489201823003,3.8554042217136026,mid ext,1,False
566,422,2021-04-01,CSGP,-0.10942536031373074,False,-0.0296125847201813,0.4964788069550826,1.2174779066799566,3.0351529422532018,mid ext,0,True
566,470,2021-04-01,DHI,1.424963034862814,False,0.712481517431407,5.907499993387064e-07,0.44970703783009547,4.176266135496641,low ext,1,False
566,516,2021-04-01,EBAY,-2.28719617801475,False,-0.8392142427172059,0.20087279692165366,0.7852169870949334,3.4708902733294424,mid ext,1,False
