sym,entry,exit,how,pct,R,stop10,trail,hot
RF,2010-04-06,2010-05-06,ema,-4.168471781685246,-0.8717960274133875,False,1.9682812181780904,True
LVS,2010-04-08,2010-05-04,ema,-1.6825959942873947,-0.220859436613317,False,2.4518548967803246,True
UAL,2010-04-15,2010-04-19,stop,-8.170253680060224,-1.2450336312249344,True,2.4518548967803246,True
FFIV,2010-05-12,2010-05-14,stop,-4.104129961023018,-1.0326073435629797,True,3.5101350285867894,True
AKAM,2010-05-17,2010-05-20,stop,-8.469857742852472,-1.5740731256324716,True,1.5197318984024932,True
NTAP,2010-06-02,2010-06-07,stop,-5.119367674451514,-1.2075519270247468,True,1.198295300393797,True
AKAM,2010-06-03,2010-06-07,stop,-4.508723706107176,-1.100590487197082,True,1.198295300393797,True
CRM,2010-06-03,2010-06-07,stop,-7.852540970887301,-1.2310276573720769,True,1.198295300393797,True
DECK,2010-06-11,2010-06-24,ema,-3.9796837193937007,-0.6380946152882001,False,-0.12975286508067504,False
CRM,2010-06-11,2010-06-24,ema,-5.982913034321946,-0.910567090695052,False,-0.12975286508067504,False
NTAP,2010-06-11,2010-06-29,ema,-5.191051458080875,-0.9615363943558027,False,-0.12975286508067504,False
LULU,2010-06-16,2010-06-22,stop,-9.19889773411764,-1.911626834158372,True,-0.12975286508067504,False
FFIV,2010-06-16,2010-06-24,stop,-3.8208798791174003,-1.011193573089876,True,-0.12975286508067504,False
SWKS,2010-06-17,2010-06-30,stop,-5.3307618635008325,-1.2297248219659322,True,-0.12975286508067504,False
CRUS,2010-06-18,2010-06-21,stop,-3.504072597039465,-1.0535727058150346,True,-0.12975286508067504,False
WYNN,2010-06-25,2010-06-28,stop,-4.615918565898736,-1.0883925248642379,True,-0.32378985544202815,False
AAL,2010-07-22,2010-08-05,ema,-2.3275243993958195,-0.5250003065850685,False,-2.7938490279558454,False
SWKS,2010-07-22,2010-07-30,ema,-3.074908148865163,-0.9629571682054383,False,-2.7938490279558454,False
CRUS,2010-07-23,2010-08-11,stop,-6.040779933526485,-1.0841123161279742,False,-2.7938490279558454,False
MELI,2010-07-26,2010-07-28,stop,-4.397097717290432,-1.096005580014918,True,-2.7938490279558454,False
LVS,2010-07-28,2010-08-24,ema,2.791604161768624,0.5673789622297466,False,-2.7938490279558454,False
KEY,2010-08-02,2010-08-03,stop,-4.680191526102496,-1.000006116836654,True,-2.379655365044768,False
MELI,2010-08-17,2010-08-19,stop,-2.4054654289391575,-1.1087200867745912,True,-4.3802637517899985,False
SIRI,2010-10-29,2010-11-11,stop,-4.191789631420106,-1.1999944207361992,True,-4.590658094957149,False
HAL,2010-11-18,2011-01-04,ema,5.338324957686802,1.0421421446906403,False,-4.595041078477005,False
FFIV,2010-11-22,2010-12-15,ema,-1.3723091061434323,-0.15816209356911806,False,-4.595041078477005,False
HL,2010-12-03,2011-01-04,ema,-0.3899130161228781,-0.027399756043255383,False,-4.595041078477005,False
CDE,2010-12-06,2010-12-08,stop,-5.538303122067112,-1.5483888659408926,True,-4.595041078477005,False
WPM,2010-12-06,2010-12-07,stop,-4.011929539860315,-1.4181751421651443,True,-4.595041078477005,False
CRUS,2011-02-02,2011-02-23,ema,-1.4417612874186192,-0.28282904179791735,False,-3.421019435235455,False
VIAV,2011-02-02,2011-03-09,ema,17.733038062283658,6.851036431152505,False,-3.421019435235455,False
SWKS,2011-02-04,2011-02-22,ema,-1.9431363893284037,-0.5700858917138678,False,-3.421019435235455,False
VECO,2011-02-11,2011-02-22,stop,-10.527894401518356,-1.2867295579291442,True,-3.421019435235455,False
GT,2011-02-16,2011-02-22,stop,-7.328388447473799,-2.018869601513848,True,-3.421019435235455,False
AMD,2011-02-17,2011-02-22,stop,-6.437304495445684,-1.1799983978271484,True,-3.421019435235455,False
WPM,2011-02-28,2011-03-10,stop,-4.445090950351038,-1.2066583604620362,True,-3.4250290396522267,False
CDE,2011-03-01,2011-03-10,stop,-3.72288102117293,-1.2083342368748926,True,-3.4250290396522267,False
TEX,2011-03-17,2011-04-06,ema,-1.808587883977275,-0.5130402204031371,False,-2.2008301831706354,False
LULU,2011-03-29,2011-05-03,ema,4.422553965774245,1.3496758751371298,False,-2.2008301831706354,False
CDE,2011-04-05,2011-04-13,stop,-8.219708288056681,-1.3785061390794027,True,-2.2008301831706354,False
CF,2011-05-25,2011-06-15,ema,-2.1760794427891916,-0.6810836180166724,False,-1.9769860897654468,False
LYB,2011-05-31,2011-06-01,stop,-3.6851465951593276,-1.5773044286342262,True,-1.9769860897654468,False
CROX,2011-06-23,2011-08-04,ema,8.786574550641358,1.9075656112658719,False,-1.8477351235395907,False
FTNT,2011-06-28,2011-07-20,stop,-19.255622316475918,-6.799995549522686,False,-1.8477351235395907,False
DINO,2011-06-30,2011-08-03,ema,3.3234229142243388,3.310836616921453,False,-1.8477351235395907,False
LULU,2011-07-05,2011-08-02,ema,-0.3426705259173324,-0.051671161592386376,False,-1.8477351235395907,False
EGO,2011-08-10,2011-08-24,ema,-4.608003243469327,-0.656485490603696,False,-1.674628985837024,False
KGC,2011-08-22,2011-08-24,stop,-5.345285209801753,-1.123452912307422,True,-1.674628985837024,False
CF,2011-08-23,2011-09-15,ema,-2.1907918226541367,-0.45019006342074963,False,-1.674628985837024,False
RRC,2011-08-30,2011-09-14,ema,-4.800593117692742,-0.9177835931541752,False,-2.370594201077745,False
EGO,2011-09-01,2011-09-15,ema,-1.523284810016834,-0.5000008877136688,False,-2.370594201077745,False
IAG,2011-09-06,2011-09-15,stop,-2.4409706504159745,-1.2894828775229499,True,-2.370594201077745,False
DINO,2011-09-07,2011-09-09,stop,-5.769699131897021,-1.3354918891902723,True,-2.370594201077745,False
LVS,2011-09-07,2011-09-09,stop,-3.0488571607726223,-1.3838357807047874,True,-2.370594201077745,False
RL,2011-09-14,2011-09-29,ema,-2.451821187638037,-0.4291901934003098,False,-2.6948695454386637,False
ULTA,2011-09-19,2011-09-21,stop,-6.774627447533465,-1.2868646867783287,True,-1.9558841338848254,False
LVS,2011-09-19,2011-09-22,stop,-9.102955381135548,-1.6259305922817013,True,-1.9558841338848254,False
VRTX,2011-09-20,2011-09-22,stop,-5.4534474287057595,-1.3431356049471366,True,-1.9558841338848254,False
IAG,2011-09-20,2011-09-22,stop,-9.600332403354317,-1.7950824532863836,True,-1.9558841338848254,False
SGI,2011-10-21,2011-11-09,ema,-3.201157828601875,-0.46666045981518667,False,-3.6018818222394677,False
USB,2011-10-21,2011-10-25,stop,-2.3617015764959337,-1.3095370448647616,True,-3.6018818222394677,False
STX,2011-10-24,2011-11-18,ema,2.6563091690993357,0.93844175194102,False,-3.6018818222394677,False
DHI,2011-10-24,2011-11-21,ema,-2.472041440959416,-0.45615717558673596,False,-3.6018818222394677,False
TNL,2011-10-26,2011-11-23,ema,-0.0011461665159084866,0.06796785006320828,False,-3.9410945993529767,False
FTI,2011-10-27,2011-10-31,stop,-5.171809625774049,-1.3428539322729796,True,-3.9410945993529767,False
