edate,pair,regime,credit,width,max_loss,pnl,pnl_gross,cost,exit,days,iv_pct,iv30,vix,vix_pct,roc,roc_gross,win,year,iv_b,vix_b
2018-11-30,0.30/0.15,Bearish_LowIV,0.9400000000000001,4.5,3.56,-0.9909999999999997,-0.9449999999999997,0.04599999999999996,stop_loss,4,0.8787878787878788,0.21382499757026005,18.07,0.7048458149779736,-0.2783707865168538,-0.2654494382022471,False,2018,>=80,60-80
2018-12-07,0.30/0.15,Bearish_HighIV,1.075,5.0,3.925,-3.9555,-3.925,0.030500000000000013,expiry_loss,21,0.8297872340425532,0.2026437966876261,23.23,0.9307359307359307,-1.0077707006369427,-1.0,False,2018,>=80,>=80
2018-12-14,0.30/0.15,Bearish_HighIV,1.03,5.0,3.9699999999999998,0.997,1.03,0.033000000000000015,expiry_win,21,0.9791666666666666,0.26267272151245313,21.63,0.8940677966101694,0.25113350125944583,0.2594458438287154,True,2018,>=80,>=80
2018-12-21,0.30/0.15,Bearish_HighIV,0.8250000000000002,4.0,3.175,0.3440000000000004,0.4350000000000002,0.09099999999999983,profit_take,7,0.9877551020408163,0.2909485932707055,30.11,0.991701244813278,0.10834645669291353,0.1370078740157481,True,2018,>=80,>=80
2018-12-28,0.30/0.15,Bearish_HighIV,1.1400000000000001,6.0,4.859999999999999,1.112,1.1400000000000001,0.027999999999999983,expiry_win,21,0.9839357429718876,0.2935557866921123,28.34,0.963265306122449,0.22880658436213996,0.23456790123456794,True,2018,>=80,>=80
2019-01-04,0.30/0.15,Bearish_HighIV,0.82,4.5,3.68,0.7919999999999999,0.82,0.02800000000000001,expiry_win,21,0.9083665338645418,0.24357645653207072,21.38,0.8353413654618473,0.2152173913043478,0.22282608695652173,True,2019,>=80,>=80
2019-01-11,0.30/0.15,Bearish_LowIV,0.6849999999999999,4.0,3.315,0.6595,0.6849999999999999,0.02550000000000001,expiry_win,21,0.7450199203187251,0.20141542524483774,18.19,0.6374501992031872,0.1989441930618401,0.2066365007541478,True,2019,60-80,60-80
2019-01-18,0.30/0.15,Bullish_LowIV,0.715,4.5,3.785,0.6895,0.715,0.02550000000000001,expiry_win,21,0.7051792828685259,0.19303625568370378,17.8,0.5936254980079682,0.1821664464993395,0.1889035667107001,True,2019,60-80,30-60
2019-01-25,0.30/0.15,Bullish_LowIV,0.755,4.5,3.745,0.7345,0.755,0.020500000000000004,expiry_win,21,0.6573705179282868,0.18696078717649256,17.42,0.5697211155378487,0.19612817089452603,0.20160213618157544,True,2019,60-80,30-60
2019-02-01,0.30/0.15,Bullish_LowIV,0.6349999999999999,4.0,3.365,0.2989999999999998,0.33999999999999986,0.04100000000000001,profit_take,4,0.5338645418326693,0.17001021887580614,16.14,0.4701195219123506,0.08885586924219906,0.10104011887072803,True,2019,30-60,30-60
2019-02-08,0.30/0.15,Bullish_LowIV,0.625,4.0,3.375,0.5995,0.625,0.02549999999999998,expiry_win,21,0.5577689243027888,0.17239868295424796,15.72,0.4342629482071713,0.17762962962962964,0.18518518518518517,True,2019,30-60,30-60
2019-02-15,0.30/0.15,Bullish_LowIV,0.565,3.5,2.935,0.2589999999999999,0.29999999999999993,0.04100000000000001,profit_take,11,0.5219123505976095,0.16363129703094711,14.91,0.3904382470119522,0.08824531516183982,0.10221465076660986,True,2019,30-60,30-60
2019-02-22,0.30/0.15,Bullish_LowIV,0.545,3.5,2.955,0.2844999999999909,0.30499999999999095,0.020500000000000004,expiry_win,21,0.46613545816733065,0.156860457285344,13.51,0.3147410358565737,0.09627749576987849,0.1032148900169174,True,2019,30-60,30-60
2019-03-01,0.30/0.15,Bullish_LowIV,0.6499999999999999,4.0,3.35,-0.8910000000000002,-0.8450000000000002,0.04600000000000001,stop_loss,11,0.4342629482071713,0.15173896938756049,13.57,0.32270916334661354,-0.2659701492537314,-0.2522388059701493,False,2019,30-60,30-60
2019-03-08,0.30/0.15,Bullish_LowIV,0.895,5.0,4.105,0.44900000000000007,0.5,0.05099999999999996,profit_take,3,0.7450199203187251,0.20187562220582983,16.05,0.5378486055776892,0.10937880633373935,0.12180267965895249,True,2019,60-80,30-60
2019-03-15,0.30/0.15,Bullish_LowIV,0.595,3.5,2.9050000000000002,-0.9659999999999997,-0.9149999999999998,0.050999999999999907,stop_loss,7,0.5179282868525896,0.1610116963698047,12.88,0.22709163346613545,-0.3325301204819276,-0.3149741824440619,False,2019,30-60,<30
2019-03-22,0.30/0.15,Bearish_LowIV,0.815,4.5,3.685,0.7845,0.815,0.030499999999999985,expiry_win,21,0.6892430278884463,0.19060701668053726,16.48,0.601593625498008,0.2128900949796472,0.22116689280868385,True,2019,60-80,60-80
2019-03-29,0.30/0.15,Bullish_LowIV,0.69,4.0,3.31,0.6669999999999999,0.69,0.023000000000000007,expiry_win,20,0.549800796812749,0.1656469223238673,13.71,0.35856573705179284,0.20151057401812686,0.20845921450151056,True,2019,30-60,30-60
2019-04-05,0.30/0.15,Bullish_LowIV,0.6400000000000001,4.0,3.36,0.6170000000000002,0.6400000000000001,0.02299999999999995,expiry_win,21,0.4302788844621514,0.15221374483255048,12.82,0.20318725099601595,0.18363095238095245,0.19047619047619052,True,2019,30-60,<30
2019-04-12,0.30/0.15,Bullish_LowIV,0.53,3.5,2.9699999999999998,0.507,0.53,0.023000000000000007,expiry_win,21,0.4063745019920319,0.1480535960671442,12.01,0.05179282868525897,0.17070707070707072,0.17845117845117847,True,2019,30-60,<30
2019-04-26,0.30/0.15,Bullish_LowIV,0.6050000000000001,4.0,3.395,-2.075499999999997,-2.0549999999999966,0.020500000000000004,expiry_loss,21,0.3187250996015936,0.140565346053129,12.73,0.21912350597609562,-0.6113402061855661,-0.605301914580264,False,2019,30-60,<30
