sym,date,width,credit,cw,roc,win,iv,ivr,ivp,month,qcw,qivr,zcw,zivr,zivp,mstr,roc_dm,zcw_dm,zivr_dm
COST,2024-02-09,15.0,2.737,0.18246666666666667,0.22319171491478432,True,0.2284,0.5390599675850891,0.7307692307692307,2024-02,1,3,-0.5241373363259315,0.5620959615463262,0.7479916068651226,2024-02,0.23458559572209162,-0.9278441512420937,1.0105546238167291
COST,2024-02-16,15.0,3.0870000000000006,0.20580000000000004,0.2591286829513977,True,0.23885,0.6068071312803891,0.8076923076923077,2024-02,2,4,0.08702568318816775,0.780252325923231,0.9901003349090952,2024-02,0.137447658983968,-0.22670259471747942,0.7966785743509222
COST,2024-02-23,15.0,2.737,0.18246666666666667,0.22319171491478432,True,0.2321,0.5630470016207456,0.75,2024-02,1,3,-0.5241373363259315,0.6393379278807328,0.8085187888761158,2024-02,0.021334681503694858,-0.8313295313057989,0.9824973230744192
COST,2024-03-08,15.0,3.0869999999999997,0.20579999999999998,0.2591286829513976,True,0.212,0.4327390599675851,0.6153846153846154,2024-03,2,3,0.08702568318816631,0.2197261648208496,0.38482851479916413,2024-03,0.04816102959931859,-0.3705829529227358,0.25112204807015104
COST,2024-03-15,15.0,2.8370000000000006,0.18913333333333338,0.23324837622297134,True,0.17785,0.2113452188006484,0.3076923076923077,2024-03,1,1,-0.34951933075047376,-0.4931963082386031,-0.5836063973767258,2024-03,0.05373173761419203,-0.723448531555194,-0.29656136026572544
COST,2024-03-22,10.0,1.9369999999999998,0.19369999999999998,-1.0,False,0.16625,0.16374269005847977,0.11538461538461539,2024-03,1,1,-0.22990599693128752,-0.6464838266983476,-1.1888782174866568,2024-03,-0.29355281481424544,-0.4949753908473842,-0.13284876910236443
COST,2024-04-05,15.0,2.737,0.18246666666666667,0.22319171491478432,True,0.19025,0.35087719298245645,0.46153846153846156,2024-04,1,2,-0.5241373363259315,-0.04388173119237349,-0.09938894128878083,2024-04,0.29710368720088565,-0.9219404060608882,-0.45497224169464484
COST,2024-04-12,10.0,1.787,0.1787,0.21758188238159012,True,0.2017,0.5378751786565031,0.5769230769230769,2024-04,1,3,-0.6227965094760646,0.5582807576157702,0.26377415077717764,2024-04,0.027406686043149442,-1.0022561084416766,-0.16525668684840367
COST,2024-04-19,10.0,1.8369999999999997,0.18369999999999997,0.22503981379394827,True,0.2125,0.6407813244402097,0.7115384615384616,2024-04,1,4,-0.4918330052944727,0.8896544921263805,0.6874644248541296,2024-04,-0.04940784385288133,-0.8036481888743301,-0.27545561495243986
COST,2024-04-26,10.0,1.8370000000000006,0.18370000000000006,0.22503981379394838,True,0.194,0.4645069080514533,0.4807692307692308,2024-04,1,3,-0.49183300529447055,0.3220235580109841,-0.038861759277787754,2024-04,0.010691278728019726,-0.7140312141736216,-0.025920029573355985
COST,2024-05-03,15.0,2.8869999999999996,0.19246666666666665,0.23833897465532897,True,0.252,1.0171510242972845,1.0,2024-05,1,4,-0.26221032796274707,2.1016232433457414,1.5953721550190263,2024-05,0.09760295766470126,-0.26236978973446606,2.175508956119134
COST,2024-05-10,15.0,2.6869999999999994,0.17913333333333328,0.21822464062373095,True,0.2406,0.893208430913349,0.9038461538461539,2024-05,1,4,-0.6114463391136612,1.7025088880098551,1.2927362449640607,2024-05,0.1410697531581846,-1.0301207062153632,1.9744647799011144
COST,2024-05-17,15.0,3.1369999999999996,0.2091333333333333,0.2644356402259125,True,0.24455,0.9302107728337236,0.9230769230769231,2024-05,2,4,0.17433468597589447,1.8216621624271583,1.353263426975054,2024-05,0.3629331606546117,0.025235365279434818,2.15452136486161
COST,2024-05-24,20.0,4.537000000000001,0.22685000000000005,0.2934100756644895,True,0.25205,1.0004683840749413,1.0,2024-05,3,4,0.6383820357926725,2.0479025568903935,1.5953721550190263,2024-05,0.16515642431464989,0.5374470020340659,2.6226189527506616
COST,2024-05-31,15.0,2.6369999999999996,0.17579999999999998,0.2132977432661975,True,0.2046,0.5557116104868914,0.6153846153846154,2024-05,1,3,-0.6987553419013885,0.6157168318265636,0.38482851479916413,2024-05,0.043204775108069526,-0.5965809486703503,0.8892189122571
COST,2024-06-07,15.0,1.487,0.09913333333333334,0.11004218160290091,True,0.17485,0.2771535580524346,0.3076923076923077,2024-06,0,2,-2.7068624060191397,-0.2812832589865113,-0.5836063973767258,2024-06,-0.07640353672833672,-2.7001348504995315,0.19159450972094882
COST,2024-06-14,10.0,0.8870000000000003,0.08870000000000003,0.097333479644464,True,0.1719,0.24953183520599256,0.25,2024-06,0,2,-2.9801395847447285,-0.37022948647890047,-0.7651879434097052,2024-06,-0.14531075586572284,-2.7429913427166546,0.03291666885604566
COST,2024-06-21,15.0,2.4370000000000003,0.16246666666666668,0.19398232906152993,True,0.17745,0.30149812734082404,0.36538461538461536,2024-06,0,2,-1.0479913530523013,-0.2028899737389822,-0.40202485134374655,2024-06,0.12663977290209272,-1.2220368279564626,-0.048429583248900065
COST,2024-06-28,10.0,1.4369999999999994,0.14369999999999994,-1.0,False,0.17775,0.3043071161048689,0.38461538461538464,2024-06,0,2,-1.5395410387472135,-0.19384459467195994,-0.3414976693327533,2024-06,-0.647854000804744,-1.5274499970939464,-0.25653079156724923
COST,2024-07-05,15.0,2.287,0.15246666666666667,-1.0,False,0.1775,0.30196629213483145,0.36538461538461536,2024-07,0,2,-1.3099183614154866,-0.20138241056114536,-0.40202485134374655,2024-07,-0.3179625884546784,-1.8742272423054485,-0.6227918236382959
COST,2024-07-12,15.0,2.3870000000000005,0.15913333333333338,0.18924918734638868,True,0.2067,0.575374531835206,0.6730769230769231,2024-07,0,3,-1.1353003558400288,0.6790344852957219,0.5664100608321435,2024-07,0.6499061938445153,-1.4020669003422217,0.1916268980789696
COST,2024-07-19,20.0,4.137,0.20684999999999998,0.26079556199962173,True,0.2148999999999999,0.60309829059829,0.8076923076923077,2024-07,2,4,0.1145280190663006,0.768309284249945,0.9901003349090952,2024-07,0.08963365938129941,-0.4270218653012404,-0.29934578000644096
COST,2024-07-26,20.0,3.737,0.18685000000000002,0.229785402447273,True,0.2218,0.6768162393162397,0.8076923076923077,2024-07,1,4,-0.4093259976600684,1.005692501560144,0.9901003349090952,2024-07,-0.029519414629567725,-0.4532958697592016,0.012058939273245306
COST,2024-08-02,20.0,3.4370000000000003,0.17185,0.20751071665761037,True,0.26825,1.173076923076923,1.0,2024-08,0,4,-0.8022165102048462,2.603728797800519,1.5953721550190263,2024-08,-0.05617793674837482,-0.9356694752050807,0.4429544532000622
COST,2024-08-09,20.0,1.0370000000000008,0.05185000000000004,0.05468544006749991,True,0.2496499999999999,0.8306010928961742,0.9423076923076923,2024-08,0,4,-3.9453406105630653,1.5009035587215032,1.4137906089860468,2024-08,-0.1127331915870564,-3.7636082958493633,0.5493999053608069
COST,2024-08-16,20.0,3.5870000000000006,0.17935000000000004,0.2185462742947664,True,0.19575,0.33970856102003716,0.4423076923076923,2024-08,1,2,-0.6057712539324566,-0.07984645666698587,-0.1599161232997741,2024-08,0.10154313054663333,-0.39793375625843597,-0.09375458371247478
COST,2024-08-23,15.0,2.6870000000000003,0.17913333333333334,0.21822464062373106,True,0.1951,0.33378870673952704,0.4230769230769231,2024-08,1,2,-0.6114463391136598,-0.098909304718981,-0.22044330531076714,2024-08,-0.008001097226779913,-0.6141938891823012,-0.19216037296464505
COST,2024-08-30,20.0,1.3369999999999997,0.06684999999999999,0.07163907196056367,True,0.24325,0.7723132969034611,0.9038461538461539,2024-08,0,4,-3.552450098018289,1.3132078240557108,1.2927362449640607,2024-08,-0.08489049684116916,-3.264279893226658,1.5410944568047424
COST,2024-09-06,20.0,2.987,0.14935,0.17557162170105217,True,0.29985,1.2877959927140255,1.0,2024-09,0,4,-1.3915522790220123,2.973141977506336,1.5953721550190263,2024-09,-0.06284245417260326,-1.0894417367852742,2.10675472749448
COST,2024-09-13,25.0,3.1370000000000005,0.12548,0.14348442574212142,True,0.28305,0.8811881188118814,0.9807692307692307,2024-09,0,4,-2.0167720479849347,1.6638016205214918,1.5348449730080331,2024-09,-0.08459601093960675,-1.8792488626684518,1.3304103899097897
COST,2024-09-20,25.0,5.337,0.21348,0.2714234857346285,True,0.28125,0.8684582743988685,0.9615384615384616,2024-09,3,4,0.2881856256110929,1.62280954904944,1.4743177909970402,2024-09,0.09183831498307751,0.1321551103863063,1.456526995961085
COST,2024-09-27,20.0,3.787,0.18935,0.23357799296860543,True,0.22295,0.4561527581329566,0.6923076923076923,2024-09,1,3,-0.3438442455692728,0.29512190081577233,0.6269372428431365,2024-09,-0.02657190748949695,-0.38627249013346804,-0.08756215189176153
