date,sym,R,cnt5,cnt5_pct,cnt10,cnt10_pct,cnt20,cnt20_pct,breadth
2021-10-04,FANG,0.9560204672423809,9.0,70.91633466135458,16.0,72.11155378486056,30.0,70.5179282868526,33.99209486166008
2021-10-05,DVN,-1.1515023690945392,7.0,60.55776892430279,19.0,78.08764940239044,32.0,72.90836653386454,29.00262467191601
2021-10-05,SIG,-1.387905833206346,7.0,60.55776892430279,19.0,78.08764940239044,32.0,72.90836653386454,29.00262467191601
2021-10-07,OVV,-0.4044831208393056,9.0,70.1195219123506,20.0,78.08764940239044,34.0,73.30677290836654,40.234375
2021-10-08,APA,2.804695437619315,9.0,69.7211155378486,17.0,73.30677290836654,34.0,72.90836653386454,54.308093994778076
2021-10-08,APP,4.358751938823819,9.0,69.7211155378486,17.0,73.30677290836654,34.0,72.90836653386454,54.308093994778076
2021-10-08,CVE,3.6715263962669806,9.0,69.7211155378486,17.0,73.30677290836654,34.0,72.90836653386454,54.308093994778076
2021-10-08,FANG,-0.6512838261852633,9.0,69.7211155378486,17.0,73.30677290836654,34.0,72.90836653386454,54.308093994778076
2021-10-08,OVV,-1.2079776395818322,9.0,69.7211155378486,17.0,73.30677290836654,34.0,72.90836653386454,54.308093994778076
2021-10-08,OXY,-2.0561423699202566,9.0,69.7211155378486,17.0,73.30677290836654,34.0,72.90836653386454,54.308093994778076
2021-10-14,APA,1.251407292142215,7.0,58.56573705179283,16.0,68.92430278884463,31.0,68.12749003984064,49.54248366013072
2021-10-14,APP,2.977815035344312,7.0,58.56573705179283,16.0,68.92430278884463,31.0,68.12749003984064,49.54248366013072
2021-10-18,NET,0.3991562069565435,2.0,22.709163346613543,14.0,59.36254980079681,30.0,66.53386454183267,73.51778656126481
2021-10-19,APP,1.487488436062187,3.0,29.880478087649404,12.0,50.99601593625498,31.0,67.33067729083665,71.40974967061923
2021-10-25,RRC,-1.8659767538323202,2.0,21.51394422310757,4.0,17.52988047808765,25.0,51.79282868525896,79.55145118733509
2021-10-25,SM,0.17932202940337258,2.0,21.51394422310757,4.0,17.52988047808765,25.0,51.79282868525896,79.55145118733509
2021-10-26,SM,-1.3235330888769392,3.0,28.68525896414343,6.0,21.91235059760956,22.0,42.62948207171315,78.60892388451444
2021-10-29,ENPH,0.7535063417137754,3.0,27.88844621513944,5.0,18.725099601593627,22.0,41.43426294820717,68.10457516339869
2021-11-01,ENPH,-1.1181516807311012,4.0,33.46613545816733,6.0,20.717131474103585,20.0,32.669322709163346,64.92146596858639
2021-11-03,M,-0.062796460606419,2.0,20.717131474103585,5.0,17.52988047808765,16.0,24.701195219123505,71.37305699481865
2021-11-09,DDOG,-1.361760187338325,1.0,11.553784860557768,4.0,13.94422310756972,10.0,18.326693227091635,75.06361323155217
2021-11-09,HUBS,-1.450708913009935,1.0,11.553784860557768,4.0,13.94422310756972,10.0,18.326693227091635,75.06361323155217
2021-11-12,U,-1.1937340782159167,2.0,18.326693227091635,5.0,15.139442231075698,10.0,17.131474103585656,65.09554140127388
2021-11-15,TTD,-1.7598533764322988,3.0,25.49800796812749,5.0,14.741035856573706,11.0,17.928286852589643,67.7295918367347
2021-11-16,ETSY,-1.6612572419804588,4.0,33.067729083665334,5.0,14.342629482071715,11.0,17.52988047808765,67.89808917197452
2021-11-16,M,-1.17285554936705,4.0,33.067729083665334,5.0,14.342629482071715,11.0,17.52988047808765,67.89808917197452
2021-11-16,RBLX,-0.3776274952348127,4.0,33.067729083665334,5.0,14.342629482071715,11.0,17.52988047808765,67.89808917197452
2021-11-16,TTD,-1.1409767693674167,4.0,33.067729083665334,5.0,14.342629482071715,11.0,17.52988047808765,67.89808917197452
2021-11-17,RBLX,-1.2208327181446779,6.0,50.59760956175299,9.0,31.47410358565737,14.0,20.318725099601593,67.13375796178343
2021-11-18,ASO,-1.5943018402796012,7.0,57.76892430278885,9.0,31.07569721115538,15.0,21.91235059760956,59.03307888040712
2021-11-18,SYNA,-0.5052202141521688,7.0,57.76892430278885,9.0,31.07569721115538,15.0,21.91235059760956,59.03307888040712
2021-11-19,ENPH,-1.3757177312842677,9.0,68.52589641434263,11.0,43.02788844621514,17.0,25.89641434262948,54.00254129606099
2021-11-19,LPX,-1.4345944302918754,9.0,68.52589641434263,11.0,43.02788844621514,17.0,25.89641434262948,54.00254129606099
2021-11-19,NVDA,-1.1771968943596534,9.0,68.52589641434263,11.0,43.02788844621514,17.0,25.89641434262948,54.00254129606099
2021-11-19,SYNA,-1.0892073255830115,9.0,68.52589641434263,11.0,43.02788844621514,17.0,25.89641434262948,54.00254129606099
2021-11-22,DDS,-1.4085919180771693,12.0,80.47808764940238,15.0,63.745019920318725,21.0,37.84860557768924,44.09148665819568
2021-11-22,F,-1.1195161108217229,12.0,80.47808764940238,15.0,63.745019920318725,21.0,37.84860557768924,44.09148665819568
2021-12-07,P,-1.5387496971842065,0.0,0.0,2.0,9.56175298804781,17.0,24.701195219123505,37.99237611181703
2021-12-08,KLIC,-3.0632580625152537,1.0,11.553784860557768,1.0,3.9840637450199203,18.0,27.490039840637447,59.822560202788345
2021-12-21,LYV,0.16393146813110546,0.0,0.0,2.0,9.9601593625498,4.0,2.788844621513944,25.061728395061728
2021-12-21,TNDM,-1.2258192898217872,0.0,0.0,2.0,9.9601593625498,4.0,2.788844621513944,25.061728395061728
2021-12-22,AA,-1.196120970093966,2.0,21.91235059760956,3.0,14.741035856573706,4.0,2.788844621513944,48.52216748768473
2021-12-22,LYV,-0.5396598453968061,2.0,21.91235059760956,3.0,14.741035856573706,4.0,2.788844621513944,48.52216748768473
2022-01-04,DVN,-1.0304454519849022,0.0,0.0,4.0,16.334661354581673,6.0,5.577689243027888,71.85554171855541
2022-01-06,FANG,-2.2939746006163197,1.0,14.342629482071715,3.0,14.741035856573706,6.0,5.577689243027888,51.48514851485149
2022-01-11,DVN,-1.9117731267548543,2.0,23.904382470119522,2.0,9.9601593625498,6.0,5.577689243027888,42.76885043263288
