i,j,date,R,pct,adr,sym,iss
1773,1556,2026-01-22,-1.6393703951286809,-6.431029862768683,6.721119648554656,UEC,0.14249818149583326
1774,48,2026-01-23,-3.822712671004764,-18.24543316313335,6.8199906420990315,AG,0.05142501107839603
1774,312,2026-01-23,-1.7750932044124286,-6.086139922976108,6.23436686285941,CDE,0.6085986528003009
1774,1433,2026-01-23,-4.2106425528332645,-13.235394860440481,5.086110048440489,SSRM,0.003121072639349798
1775,995,2026-01-26,-1.2989744883948808,-5.07035867669607,4.363900064163601,MIRM,0.07059726090313623
1775,1446,2026-01-26,2.923371772151253,10.309732154336153,5.612994081422587,STX,0.009590170230102446
1776,682,2026-01-27,-1.2528793938431397,-3.6099724677543654,4.071615795078578,GFS,-0.001147807926171751
1776,1596,2026-01-27,9.627928496983323,34.41687845999856,4.215334315070927,VIAV,0.006246823087364239
1777,262,2026-01-28,-3.583310930790452,-15.24765546668936,4.185461153222025,BTG,0.012012022989698723
1777,308,2026-01-28,-1.4297168606403823,-8.163569775907979,4.322840200162842,CCJ,0.0026172143302927164
1777,995,2026-01-28,-1.1317726123711527,-2.7925224618432214,4.598621710157031,MIRM,0.07059726090313623
1777,1046,2026-01-28,-1.1354464594884355,-4.877083283950897,4.875011128555512,MU,0.01017556507607309
1777,1433,2026-01-28,-1.3700997379454591,-4.9488169605443835,5.469772558708573,SSRM,0.003121072639349798
1777,1596,2026-01-28,10.0,24.27576014661976,4.339415938694011,VIAV,0.006246823087364239
1777,1620,2026-01-28,-1.2282961151002914,-5.2548409257706155,6.2175727320277066,VSAT,0.05350378139205669
1778,937,2026-01-29,-1.309829622821038,-6.115339612378075,4.338477532279561,LRCX,-0.027180831091050406
1779,23,2026-01-30,-0.24960905965878072,-2.054308455084408,5.906578872328263,ACMR,0.09112161473213409
1780,23,2026-02-02,-1.2581073377166234,-11.188925047772877,6.176102333085267,ACMR,0.09112161473213409
1780,679,2026-02-02,2.572945294133896,7.736945814447274,4.43342615588977,GEV,-0.023020308727066285
1780,1596,2026-02-02,1.4660092217710288,8.731124270529769,4.983546794033302,VIAV,0.0416493406834848
1781,679,2026-02-03,-1.320806911523986,-4.552508895489129,4.471411587058359,GEV,-0.023020308727066285
