sym,date,expiry,cw,credit,width,roc,win,iv,stock_roc,S,ST,month,rank,n_quotes
MSFT,2024-01-19,2024-02-16,0.2387,2.387,10.0,0.31354262445816367,True,0.27015,0.08840732738032032,398.1657167575687,404.5092133018324,2024-01,0.7058823529411765,17
MSFT,2024-01-26,2024-02-23,0.23369999999999996,2.3369999999999997,10.0,0.30497194310322323,True,0.2744,0.09563854660335346,403.74668066059144,410.7665866243989,2024-01,0.75,20
MSFT,2024-02-02,2024-03-01,0.19139999999999996,0.9569999999999997,5.0,0.23670541676972537,True,0.1936,0.082816674172811,411.65740801007837,416.5240913484603,2024-02,0.42105263157894735,19
MSFT,2024-02-09,2024-03-08,0.19170000000000004,1.9170000000000003,10.0,-0.2242821812541442,False,0.18605,-0.23814049750796573,420.99766837878417,406.27012712892275,2024-02,0.2631578947368421,19
MSFT,2024-02-16,2024-03-15,0.17339999999999997,0.8669999999999999,5.0,0.20977498185337523,True,0.21345,0.17252087033471727,404.5092133018324,416.4928898916372,2024-02,0.058823529411764705,17
MSFT,2024-02-23,2024-03-22,0.18970000000000004,1.8970000000000002,10.0,0.23411082315191908,True,0.19705,0.29439505789950976,410.7665866243989,429.1305831922182,2024-02,0.3333333333333333,18
MSFT,2024-03-08,2024-04-05,0.1977,1.9769999999999999,10.0,0.246416552411816,True,0.22055,0.2892459000181659,406.27012712892275,425.64091056670026,2024-03,0.21052631578947367,19
MSFT,2024-03-15,2024-04-12,0.18770000000000003,1.8770000000000002,10.0,0.23107226394189342,True,0.2145,0.09649201004304635,416.4928898916372,423.1296773393905,2024-03,0.2222222222222222,18
MSFT,2024-03-22,2024-04-19,0.18493333333333334,1.387,7.5,-1.0,False,0.18595,-0.4961217725392145,429.1305831922182,398.55807920499825,2024-03,0.2,20
MSFT,2024-04-05,2024-05-03,0.19870000000000002,1.987,10.0,-0.1650726694627517,False,0.27505,-0.22088975125266866,425.64091056670026,406.69027269959497,2024-04,0.3157894736842105,19
MSFT,2024-04-12,2024-05-10,0.19370000000000004,1.9370000000000003,10.0,0.240233163834801,True,0.30495,-0.08870277396616427,423.1296773393905,414.86134824703004,2024-04,0.3157894736842105,19
MSFT,2024-04-19,2024-05-17,0.20869999999999997,2.0869999999999997,10.0,0.2637432073802603,True,0.33015,0.22403550118691143,398.55807920499825,420.23036430147783,2024-04,0.47058823529411764,17
MSFT,2024-04-26,2024-05-24,0.19670000000000004,1.9670000000000005,10.0,0.24486493215486127,True,0.22825,0.318046383524209,407.78855256166315,430.1017979664664,2024-04,0.4,20
MSFT,2024-05-03,2024-05-31,0.18740000000000004,0.9370000000000002,5.0,0.23061777012060058,True,0.2032999999999999,0.01965052299359329,406.69027269959497,407.8766036791339,2024-05,0.3,20
MSFT,2024-05-10,2024-06-07,0.20269999999999996,2.0269999999999997,10.0,0.2542330364981813,True,0.1856,0.15463335437489092,414.86134824703004,423.6866290947824,2024-05,0.3888888888888889,18
MSFT,2024-05-17,2024-06-14,0.1974,0.987,5.0,0.24595066035385,True,0.1784,0.4115499995654224,420.23036430147783,442.1633011973084,2024-05,0.42105263157894735,19
MSFT,2024-05-24,2024-06-21,0.1796,1.347,7.5,0.21891760117016087,True,0.1672,0.34181424482352485,430.1017979664664,449.6118447976273,2024-05,0.3,20
MSFT,2024-05-31,2024-06-28,0.16740000000000002,0.8370000000000001,5.0,0.20105693009848669,True,0.2142,0.6579907765550674,407.8766036791339,452.63502856146636,2024-05,0.11764705882352941,17
MSFT,2024-06-07,2024-07-05,0.1947,1.947,10.0,0.2417732522041475,True,0.17745,0.8078090293124123,423.6866290947824,469.3698180909401,2024-06,0.3684210526315789,19
MSFT,2024-06-14,2024-07-12,0.17339999999999997,0.8669999999999999,5.0,0.20977498185337523,True,0.1799,0.20658402492665978,442.1633011973084,454.849954615167,2024-06,0.2647058823529412,17
MSFT,2024-06-21,2024-07-19,0.20170000000000005,2.0170000000000003,10.0,-0.11453383718763689,False,0.17375,-0.21667329639279598,449.6118447976273,437.0686763777311,2024-06,0.4375,16
MSFT,2024-06-28,2024-07-26,0.19870000000000002,1.987,10.0,-1.0,False,0.2244999999999999,-0.3708360757178524,452.63502856146636,425.8163509917267,2024-06,0.5789473684210527,19
MSFT,2024-07-05,2024-08-02,0.19869999999999996,1.9869999999999997,10.0,-1.0,False,0.25585,-0.7033241623090134,469.3698180909401,407.91140464947745,2024-07,0.3157894736842105,19
MSFT,2024-07-12,2024-08-09,0.21913333333333332,3.287,15.0,-1.0,False,0.27075,-0.5582802214947763,454.849954615167,406.94419465642477,2024-07,0.55,20
MSFT,2024-07-19,2024-08-16,0.23369999999999996,2.3369999999999997,10.0,0.30497194310322323,True,0.30305,-0.19131647951726646,437.0686763777311,420.19804136575397,2024-07,0.6666666666666666,18
MSFT,2024-07-26,2024-08-23,0.23246666666666668,3.487,15.0,0.3028750108572918,True,0.31955,-0.11286980813705418,425.8163509917267,415.4537505046302,2024-07,0.75,20
