sym,entry,expiry,credit,a_pnl,b_pnl,b_date,b_resolved,mark_cov,month,roc_a,roc_b
GDX,2025-03-07,2025-04-17,0.8170000000000001,-3.153,-0.07599999999999985,2025-03-27,True,0.8275862068965517,2025-03,-3.8592411260709913,-0.09302325581395329
GDX,2025-03-14,2025-04-25,1.2870000000000001,0.5070000000000001,0.014000000000000234,2025-04-04,True,0.7586206896551724,2025-03,0.393939393939394,0.010878010878011058
GDX,2025-05-02,2025-06-13,1.0870000000000002,-0.8029999999999997,-0.13599999999999968,2025-05-23,True,0.3793103448275862,2025-05,-0.7387304507819683,-0.12511499540018367
GDX,2025-06-27,2025-08-08,0.727,-1.943,0.21399999999999997,2025-07-18,True,0.42857142857142855,2025-06,-2.672627235213205,0.29436038514442914
GDX,2025-07-11,2025-08-22,1.307,-0.9729999999999999,0.5539999999999999,2025-08-04,True,0.5,2025-07,-0.7444529456771232,0.42387146136189746
GDX,2025-07-18,2025-08-29,1.0370000000000001,-5.103,,,False,0.4,2025-07,-4.920925747348119,
GDX,2025-07-25,2025-09-05,1.0370000000000001,-5.463,,,False,0.20689655172413793,2025-07,-5.26808100289296,
GDX,2025-08-01,2025-09-12,0.9069999999999999,-10.618,,,False,0.037037037037037035,2025-08,-11.70672546857773,
GDX,2025-08-08,2025-09-19,1.227,-6.0729999999999995,-0.03599999999999981,2025-08-29,True,0.6428571428571429,2025-08,-4.949470252648736,-0.02933985330073334
GDX,2025-08-15,2025-09-26,1.2670000000000001,-8.383000000000001,,,False,0.2962962962962963,2025-08,-6.616416732438832,
GDX,2025-08-22,2025-10-03,1.0470000000000002,-9.027999999999999,,,False,0.2857142857142857,2025-08,-8.622731614135622,
GDX,2025-09-05,2025-10-17,1.597,-1.8279999999999998,-1.0859999999999999,2025-09-26,True,0.75,2025-09,-1.1446462116468377,-0.6800250469630557
GDX,2025-11-07,2025-12-19,1.927,-4.548,-2.446,2025-11-28,True,0.6428571428571429,2025-11,-2.3601453035806954,-1.269330565646082
GDX,2025-11-14,2025-12-26,1.227,-4.273,-0.12599999999999967,2025-12-08,True,0.5925925925925926,2025-11,-3.4824775876120615,-0.10268948655256696
GDX,2025-12-05,2026-01-16,2.107,-3.018,-2.026,2025-12-26,True,0.75,2025-12,-1.4323682961556714,-0.9615567157095395
GDX,2025-12-12,2026-01-23,1.597,-4.853,0.06400000000000006,2026-01-02,True,0.6153846153846154,2025-12,-3.0388227927363807,0.04007514088916723
GDX,2026-01-02,2026-02-13,1.727,-5.423,-2.6659999999999995,2026-01-30,True,0.3103448275862069,2026-01,-3.140127388535032,-1.5437174290677471
GEV,2024-08-02,2024-09-20,5.3870000000000005,-45.303,,,False,0.5588235294117647,2024-08,-8.409689994431037,
GEV,2024-08-09,2024-09-20,4.187,-31.502999999999997,0.4240000000000004,2024-08-30,True,0.7931034482758621,2024-08,-7.524002866013851,0.10126582278481021
GEV,2024-08-30,2024-10-18,4.686999999999999,-38.843,-20.875999999999998,2024-09-27,True,0.6176470588235294,2024-08,-8.287390655003202,-4.4540217623213145
GEV,2024-09-06,2024-10-18,5.3870000000000005,-38.143,-20.176,2024-09-27,True,0.6,2024-09,-7.080564321514757,-3.74531279005012
GEV,2024-09-27,2024-11-08,8.687,-36.143,-0.2759999999999998,2024-10-18,True,0.5666666666666667,2024-09,-4.160584781857949,-0.0317716127546909
GEV,2024-10-04,2024-11-15,9.487,-0.9429999999999996,4.6739999999999995,2024-10-25,True,0.6666666666666666,2024-10,-0.09939917782228308,0.49267418572783805
GEV,2024-10-11,2024-11-22,9.787,-23.633000000000003,0.974000000000002,2024-11-01,True,0.5333333333333333,2024-10,-2.4147338305916013,0.09951977112496188
GEV,2024-10-18,2024-11-29,9.887,-5.093,,,False,0.3793103448275862,2024-10,-0.5151208657833518,
GEV,2024-10-25,2024-12-06,8.087,3.0469999999999997,-2.5760000000000005,2024-11-15,True,0.4827586206896552,2024-10,0.3767775442067516,-0.3185359218498826
GEV,2024-12-06,2025-01-17,11.587,10.097,5.224,2024-12-30,True,0.7777777777777778,2024-12,0.8714076119789419,0.45085009061879694
GEV,2024-12-13,2025-01-24,8.187,-31.433,-2.3760000000000012,2025-01-03,True,0.6538461538461539,2024-12,-3.8393795040918532,-0.2902161964089412
GEV,2025-01-10,2025-02-21,13.987,13.887,8.424,2025-01-31,True,0.8928571428571429,2025-01,0.9928505040394653,0.6022735397154501
