tk,entry,expiry,S0,S1,K,implied,ba_pct,credit,maxrisk,pnl_usd,ret_risk,gex_own,earnings_skip,gex_spy,half
AMD,2018-08-02,2018-08-03,18.725,18.48,18.5,2.109479305740988,7.594936708860763,0.3339999999999999,0.6660000000000001,31.400000000000034,47.14714714714719,20244585.27197794,False,2852506800.75113,2018-2026
AMD,2018-08-09,2018-08-10,19.165,19.02,19.0,1.9566918862509786,8.000000000000004,0.264,0.736,24.400000000000045,33.152173913043534,19818728.713556346,False,6515386916.113064,2018-2026
AMD,2018-08-16,2018-08-17,19.305,19.7,19.5,2.512302512302512,6.185567010309267,0.39649999999999996,0.6035,19.650000000000066,32.560066280033254,18855732.55129493,False,4913684569.835013,2018-2026
AMD,2018-08-23,2018-08-24,22.2,23.88,22.0,2.3873873873873874,3.7735849056603805,0.424,0.5760000000000001,-57.60000000000001,-100.0,15712835.128308002,False,3442713130.801719,2018-2026
AMD,2018-08-30,2018-08-31,24.86,25.125,25.0,2.4537409493161704,3.2786885245901622,0.474,0.526,34.9,66.34980988593155,14992112.031707358,False,3349346426.2591105,2018-2026
AMD,2018-09-06,2018-09-07,27.8,27.465,28.0,2.9136690647482015,4.938271604938276,0.659,0.841,12.399999999999988,14.744351961950047,27009941.030836005,False,-464122333.70833683,2018-2026
AMD,2018-09-20,2018-09-21,31.235,31.025,31.5,2.929406114935169,3.2786885245901667,0.7965,1.2035,32.14999999999986,26.713751557955845,22208054.06821376,False,11746945563.540312,2018-2026
AMD,2018-09-27,2018-09-28,32.45,30.87,32.5,2.3728813559322033,5.194805194805192,0.649,0.851,-85.1,-100.0,30303909.526033003,False,-1965649735.411083,2018-2026
AMD,2018-10-04,2018-10-05,27.565,27.335,27.5,2.9203700344639936,3.726708074534165,0.6765,0.8235,51.150000000000084,62.11293260473598,3823565.0607355153,False,-5963789321.3338785,2018-2026
AMD,2018-10-11,2018-10-12,25.47,26.185,25.5,3.690616411464468,12.76595744680851,0.8114999999999999,1.1885000000000001,12.650000000000116,10.643668489692987,1091296.39729311,False,-11195044460.966024,2018-2026
AMD,2018-10-18,2018-10-19,26.67,23.955,26.5,2.962129733783277,5.06329113924051,0.649,0.851,-85.1,-100.0,5897575.735308816,False,-10416325264.148474,2018-2026
AMD,2018-10-25,2018-10-26,19.08,17.57,19.0,4.5597484276729565,2.2988505747126458,0.744,1.256,-68.59999999999997,-54.61783439490444,-7574624.87231088,False,-6656399095.398189,2018-2026
AMD,2018-11-01,2018-11-02,20.075,20.265,20.0,4.408468244084682,3.3898305084745726,0.7765,1.2235,51.14999999999994,41.80629342051487,1649927.0328571245,False,-3377959926.583476,2018-2026
AMD,2018-11-08,2018-11-09,21.07,21.11,21.0,3.2273374466065494,2.941176470588238,0.6040000000000001,0.8959999999999999,49.40000000000006,55.13392857142865,3121435.6365717007,False,783013321.2698727,2018-2026
AMD,2018-11-15,2018-11-16,21.48,20.7,21.5,3.7243947858473,7.5,0.654,0.846,-14.600000000000069,-17.257683215130104,5595963.546506402,False,-5160875578.521293,2018-2026
AMD,2018-11-29,2018-11-30,21.45,21.355,21.5,2.9370629370629375,6.349206349206337,0.549,0.951,40.40000000000005,42.48159831756052,8010575.283496501,False,3275447324.4236693,2018-2026
AMD,2018-12-06,2018-12-07,21.245,20.245,21.5,3.5537773593786772,6.622516556291397,0.6315,0.8685,-62.34999999999991,-71.79044329303386,522554.5987289768,False,-4378795316.532769,2018-2026
AMD,2018-12-13,2018-12-14,19.875,19.825,20.0,3.094339622641509,4.878048780487809,0.49649999999999994,0.5035000000000001,32.14999999999992,63.85302879841096,-824545.6217296862,False,-5081356261.668183,2018-2026
AMD,2018-12-20,2018-12-21,17.97,16.92,18.0,3.951029493600445,5.633802816901405,0.619,0.881,-46.09999999999983,-52.32690124858096,-5736546.63766503,False,-11731212600.745342,2018-2026
AMD,2018-12-27,2018-12-28,17.4,17.855,17.5,3.7931034482758625,6.060606060606057,0.5790000000000001,0.9209999999999999,22.399999999999963,24.321389793702462,1141920.0433800009,False,-3294748604.4940233,2018-2026
AMD,2019-01-03,2019-01-04,17.155,18.925,17.0,3.8764208685514423,4.511278195488718,0.5865,0.9135,-91.35,-100.0,-3526258.229747315,False,-3900921567.703627,2018-2026
AMD,2019-01-10,2019-01-11,19.78,20.29,20.0,3.3872598584428717,2.985074626865674,0.5865,0.9135,29.650000000000087,32.457580733442896,-505283.8105301985,False,229976804.66619453,2018-2026
AMD,2019-01-17,2019-01-18,20.3,20.78,20.5,2.6108374384236455,7.547169811320761,0.42150000000000004,0.5785,14.14999999999989,24.45980985306809,4183510.7705229977,False,634856709.8025914,2018-2026
AMD,2019-01-24,2019-01-25,20.825,21.925,21.0,3.529411764705883,4.08163265306122,0.6265000000000001,0.8734999999999999,-29.850000000000065,-34.17286777332578,2642071.3153961888,False,-904447785.5318408,2018-2026
AMD,2019-01-31,2019-02-01,24.45,24.475,24.5,3.353783231083845,4.878048780487808,0.6890000000000001,0.8109999999999999,66.40000000000015,81.874229346486,10970851.21449525,False,2712320150.7154846,2018-2026
AMD,2019-02-07,2019-02-08,22.61,23.055,22.5,2.697921273772667,6.557377049180333,0.469,0.531,-8.599999999999975,-16.195856873822926,15289.382608012646,False,-913137096.3336519,2018-2026
AMD,2019-02-14,2019-02-15,23.11,23.68,23.0,3.158805711813068,5.479452054794526,0.629,0.871,-5.099999999999971,-5.855338691159553,11231968.59436495,False,3624103439.535471,2018-2026
AMD,2019-02-21,2019-02-22,23.91,24.21,24.0,2.0911752404851525,3.9999999999999982,0.4139999999999999,0.5860000000000001,20.399999999999906,34.81228668941963,11951199.81491931,False,229319754.17625362,2018-2026
AMD,2019-02-28,2019-03-01,23.535,23.705,23.5,1.8058211174845973,7.0588235294117645,0.3364999999999999,0.6635000000000001,13.150000000000162,19.819140919367236,1330747.1462143552,False,-732898203.2886363,2018-2026
AMD,2019-03-07,2019-03-08,22.08,22.02,22.0,2.581521739130435,3.508771929824564,0.46399999999999997,0.536,44.40000000000004,82.83582089552246,-5970788.181135356,False,-4675184385.3455715,2018-2026
AMD,2019-03-14,2019-03-15,22.915,23.225,23.0,1.811040802967489,7.228915662650608,0.3464999999999999,0.6535000000000001,12.14999999999985,18.592195868400687,3976404.8584616752,False,4405274957.446558,2018-2026
AMD,2019-03-21,2019-03-22,28.035,26.445,28.0,2.9070804351703226,3.680981595092028,0.6589999999999999,0.8410000000000001,-84.10000000000001,-100.0,19156931.027685046,False,4279807413.272786,2018-2026
AMD,2019-03-28,2019-03-29,25.16,25.505,25.0,2.26550079491256,3.508771929824559,0.4564999999999999,0.5435000000000001,-4.84999999999991,-8.923643054277662,6014215.563702719,False,16968571.99389439,2018-2026
AMD,2019-04-04,2019-04-05,29.01,28.985,29.0,2.6542571527059633,5.194805194805199,0.649,0.851,63.39999999999995,74.50058754406574,13597900.316898296,False,4004109900.6948166,2018-2026
AMD,2019-04-11,2019-04-12,27.795,27.845,28.0,2.2126281705342685,4.878048780487796,0.4790000000000001,0.5209999999999999,32.39999999999989,62.188099808061224,15190318.955461817,False,5054353074.975668,2018-2026
AMD,2019-04-17,2019-04-18,27.53,27.615,27.5,2.3247366509262624,3.1250000000000027,0.5640000000000001,0.9359999999999999,44.90000000000016,47.97008547008564,17872285.61314658,False,4867454510.385322,2018-2026
AMD,2019-04-25,2019-04-26,27.675,27.87,27.5,3.0532971996386626,3.550295857988169,0.709,0.791,33.8999999999999,42.857142857142726,10955560.320699751,False,6342132161.128424,2018-2026
AMD,2019-05-02,2019-05-03,28.235,28.29,28.0,2.2843987958207896,4.651162790697675,0.5465,0.9535,25.650000000000084,26.900891452543352,22513270.419768292,False,-591475142.4492503,2018-2026
AMD,2019-05-09,2019-05-10,27.175,27.89,27.0,3.4406623735050603,3.208556149732623,0.8365,1.1635,-5.350000000000055,-4.598195100988444,4799019.517029185,False,-3696280144.3919177,2018-2026
AMD,2019-05-16,2019-05-17,28.02,27.46,28.0,2.6052819414703783,2.739726027397263,0.614,0.886,7.400000000000084,8.352144469526054,22762472.00338116,False,-1767980354.627684,2018-2026
AMD,2019-05-23,2019-05-24,26.36,26.475,26.5,2.731411229135053,5.555555555555554,0.6214999999999999,0.8785000000000001,59.650000000000134,67.89982925441109,-71530.59722239606,False,-6314041249.406006,2018-2026
AMD,2019-05-30,2019-05-31,28.015,27.525,28.0,2.4094235231126184,4.444444444444439,0.5965,0.9035,12.14999999999986,13.447703375760774,17763972.722197067,False,-6038476032.152237,2018-2026
AMD,2019-06-06,2019-06-07,31.88,32.475,32.0,2.9799247176913424,2.105263157894739,0.834,1.166,35.89999999999986,30.789022298456135,34786721.76317616,False,514805027.36662525,2018-2026
AMD,2019-06-13,2019-06-14,31.295,30.51,31.5,2.2208020450551205,4.316546762589931,0.599,0.901,-39.099999999999845,-43.39622641509417,21049872.722515423,False,1624518968.8863218,2018-2026
