date,ticker,close,k,ext21,adr20,rv20,breach,model
2021-02-22,HUBS,528.1699829101562,455.1358190631868,3.651233546624141,4.394863924574761,0.7035677744296873,1.0,0.18604520413853187
2021-06-17,HUBS,570.8400268554688,515.9727645364325,3.349432230986618,3.174792295604978,0.3304372764493141,0.0,0.08606379103929135
2021-08-05,HUBS,660.0,589.6149368758679,3.3177882800646206,3.5980182234967666,0.5029101138815537,0.0,0.16535049626420706
2023-05-17,HUBS,485.25,444.63077227145385,3.0573824439061794,2.9880122826934006,0.369881481505811,0.0,0.14853990688932633
2023-06-05,HUBS,528.5900268554688,486.66236976354213,3.1911391598050325,2.6997719750976144,0.21789353437354173,0.0,0.04323658116738155
2024-11-25,HUBS,731.8200073242188,657.6740710202737,3.45138007938414,3.266508898519316,0.38205040256322703,0.0,0.10755264041819146
2025-01-28,HUBS,794.5700073242188,725.855490752684,3.1707190688882707,2.9856614765003444,0.29401488473062376,0.0,0.0841487750214564
2021-01-07,HUM,424.4794006347656,389.92822554165707,3.3707737784426373,2.628745499577451,0.3035903006857033,1.0,0.10593873064569076
2021-07-16,HUM,447.9270324707031,429.03372689319974,3.2065691651127723,1.373333148490491,0.13264338583214147,1.0,0.07019088015029797
2022-10-28,HUM,532.1972045898438,493.02254916521093,3.4609810942179626,2.2958270859117524,0.17571894484157669,1.0,0.024145004515183137
2026-06-04,HUM,348.9766540527344,298.4999305736457,3.9718890165611898,4.257452557496284,0.5668137874786653,0.0,0.11481998563547696
2026-06-30,HUM,397.2200012207031,358.0669159044022,3.156844170341565,3.4637668425638237,0.346023693478472,0.0,0.09068767436291131
2021-01-06,HUN,22.53582191467285,20.648845772835024,3.3233321213064673,2.749773254002652,0.36968041157694853,0.0,0.1483218209592541
2021-10-20,HUN,27.09556770324707,25.286775030563515,3.0788448797030425,2.323312006037821,0.302726525812501,0.0,0.15557521998663248
2022-01-04,HUN,29.818737030029297,27.76060315990007,3.4864625149450847,2.1264722600445505,0.27002522329563644,0.0,0.1181506422293217
2022-02-16,HUN,34.0265998840332,30.52314184103268,3.6534606719618035,3.1416894181865884,0.38202658542801166,1.0,0.10352644912246978
2022-05-13,HURN,58.86000061035156,53.86425145758167,3.1139032159668223,2.978481345842893,0.35819533177283125,0.0,0.13661933938056725
2023-03-03,HURN,80.20999908447266,72.69335817960298,3.2986004886849134,3.13472430966089,0.572714591022834,0.0,0.23427368626586642
2023-08-04,HURN,99.47000122070312,89.55297980240553,3.4826245541802874,3.1797615411819247,0.6432745159478804,0.0,0.24888654233373297
2024-10-31,HURN,115.7300033569336,107.9442258929197,3.486504178088663,2.068770812179063,0.39089829700292605,0.0,0.21952034652389446
2025-03-03,HURN,148.4199981689453,134.236905241542,3.1765647113182336,3.326146013255592,0.6514333143469337,0.0,0.2625584506434053
2020-12-17,HUT,9.854999542236328,6.4572878878584525,3.8337158281050803,13.725129561616729,1.7169190447376141,0.0,0.17333454439604107
2021-01-07,HUT,20.795000076293945,12.702052330620516,3.729524261537218,17.083600304472505,2.1400746490433735,0.0,0.20552188873564797
2021-02-09,HUT,33.0,21.4903660649201,3.496385249062796,15.317871377167478,1.6033532146666685,0.0,0.1466487030489108
2021-11-02,HUT,77.3499984741211,59.84435766261882,3.019549308358826,9.68752145649905,1.0568787780958557,0.0,0.15931873333841667
2023-07-03,HUT,17.600000381469727,13.274417364692475,3.7088074989738407,8.786074687458466,0.8861787402548096,0.0,0.08661633296391302
2024-07-16,HUT,20.93000030517578,15.448472203525869,3.361438355813105,10.55579525452703,1.0699199555539354,1.0,0.11822111824647447
2024-11-12,HUT,23.860000610351562,17.365122516701298,3.668567938070803,10.195219631098363,1.2729528129832102,0.0,0.1574583451408494
2025-09-15,HUT,34.19499969482422,27.280721757373705,3.1037970194011177,8.165779815376391,0.8894500364567594,0.0,0.14302697336257753
2025-10-08,HUT,44.599998474121094,36.31766151425022,3.1548402108081524,7.228657553474977,0.7314444816882655,0.0,0.11367159247565145
2026-04-13,HUT,69.76000213623047,54.89416810819754,3.313354854998306,8.173256361390397,1.0505914586681218,0.0,0.17600006154397174
2026-05-12,HUT,107.30999755859375,83.72072474756969,3.9137421115531152,7.199285034668418,1.2224024378076734,0.0,0.2126627655930921
2026-06-01,HUT,132.3800048828125,104.72088689795991,3.0093146899790106,8.776824413209571,1.2512326596660712,0.0,0.23518509709563323
2021-01-11,HWC,33.40764617919922,29.312059401086582,3.3023873067675695,4.230988002715523,0.44623963653904913,0.0,0.09776506261074369
2024-07-11,HWC,46.651432037353516,43.52418690445702,3.0678809458454195,2.342031632647663,0.30744644083963224,0.0,0.1584895813145496
2024-11-07,HWC,55.144615173339844,50.22099844477882,3.1749020539053148,3.0879379443221486,0.5991550193821313,0.0,0.25786231744610544
