strategy,cell,n,cell_z,rest_z,t
OPT TLT Bear Call Spread,VIXhi|SPY<200,13,-0.08275164077858012,0.0632806664777377,-0.3766552245455802
OPT SPY 1-day iron fly (all days),VIXmid|SPY>200,43,-0.06330780810556047,-0.016363331766697367,-0.32870220700086816
EQ DR-EP catalyst+retrace,VIXmid|SPY>200,32,-0.04347005526337336,0.026750803238999074,-0.32860935139990544
EQ counter-trend long,VIXmid|SPY>200,32,0.04028071128925147,-0.024788130024154684,0.3139736286198964
EQ reclaim,VIXhi|SPY<200,15,-0.058659272713470254,0.01275201580727613,-0.30381909008486535
EQ bouncy ball (short),VIXhi|SPY>200,17,0.05642111524211981,-0.01522474538279424,0.28392209022823456
EQ bouncy ball (short),VIXhi|SPY<200,13,-0.09523306020521433,0.01847805645772814,-0.279940706119083
OPT BJ Bull Put Spread,VIXhi|SPY<200,10,-0.04199182573400821,0.011997664495430835,-0.2755928618403477
EQ VCP damped sine,VIXhi|SPY<200,13,-0.045905384295576813,0.009625322513588738,-0.26525085495812606
OPT ASHR Bull Put Spread,VIXhi|SPY>200,16,0.07059043630513244,-0.02131032039400225,0.2643555705790033
EQ reclaim,VIXlo|SPY>200,19,0.05150302929579098,-0.015054731640308123,0.2610326385336764
OPT QQQ bull put Bullish_LowIV,VIXlo|SPY>200,19,-0.04556818645073465,0.0288598514187986,-0.2531763464480397
EQ reclaim,VIXhi|SPY>200,17,-0.046066880389474055,0.011688611442105338,-0.2509933670178497
OPT ETF 45-DTE put-spread roster,VIXhi|SPY<200,16,-0.058136564768098864,0.012239276793283972,-0.24271007153365975
OPT ETF 45-DTE put-spread roster,VIXlo|SPY>200,22,-0.04491260167744898,0.014115389098626809,-0.23935795650771072
EQ in-play down mover (short),VIXhi|SPY>200,17,0.046316560759412616,-0.011751963177761393,0.23867550596394135
OPT ETF 7-DTE long straddle,VIXhi|SPY<200,16,-0.03446697193371058,0.006980652543536324,-0.23445618324104942
EQ in-play up mover,VIXhi|SPY>200,17,0.04443900234246535,-0.011275567758535953,0.19515730825546532
EQ VCP damped sine,VIXmid|SPY>200,31,0.027934415342047436,-0.01968106535462424,0.18893116120244502
EQ counter-trend long,VIXlo|SPY>200,19,0.03675123097186574,-0.010742667514853045,0.18877637989296414
