entry_date,ticker,close,pivot,state,iv_pct,row_id,expiry,dte,ks,kl,credit,ba_s,ba_l,ba_pct_s,width,max_loss,break_date,spot_expiry,spot_break,broke,mark_s_break,mark_l_break,val_expiry,pnl_hold,pnl_hold_net,pnl_conv,pnl_conv_net,days_conv,roc_hold,roc_hold_net,roc_conv,roc_conv_net,stock_to_exit,year,iv_gate
2020-11-20,MLM,255.79029846191406,267.73227301253115,up/B+,,651,2020-12-18,28,250.0,240.0,2.225,0.6000000000000001,1.25,0.14285714285714288,10.0,7.775,2020-12-03,266.70428466796875,271.336669921875,True,0.925,0.55,0.0,2.225,1.7495,1.85,0.899,13.0,0.28617363344051444,0.225016077170418,0.2379421221864952,0.11562700964630225,0.060777799445258074,2020,unknown
2020-11-20,MRVL,42.999515533447266,44.818870324596176,up/B+,0.9362549800796812,652,2020-12-24,34,41.5,38.5,0.835,0.27,0.31999999999999995,0.19780219780219782,3.0,2.165,2020-11-30,46.08051300048828,45.278594970703125,True,0.71,0.25,0.0,0.835,0.6745,0.375,0.05399999999999999,10.0,0.3856812933025404,0.3115473441108545,0.17321016166281755,0.024942263279445723,0.053002444538778004,2020,IV>=60pct
2020-11-20,PINS,66.8499984741211,67.19000244140625,up/B+,,654,2020-12-24,34,62.0,56.0,1.475,0.1599999999999997,0.13000000000000012,0.06425702811244967,6.0,4.525,2020-11-25,71.04000091552734,67.41999816894531,True,1.895,0.655,0.0,1.475,1.3895000000000002,0.2350000000000001,0.0640000000000002,5.0,0.3259668508287293,0.3070718232044199,0.05193370165745858,0.01414364640883982,0.008526547611588553,2020,unknown
2020-11-20,QRVO,147.38999938964844,154.42999267578125,up/B+,,655,2020-12-18,28,140.0,135.0,1.2000000000000002,0.20000000000000018,0.30000000000000004,0.0727272727272728,5.0,3.8,2020-11-30,162.66000366210938,156.67999267578125,True,1.05,0.6,0.0,1.2000000000000002,1.062,0.7500000000000001,0.474,10.0,0.31578947368421056,0.2794736842105263,0.1973684210526316,0.12473684210526316,0.06303001102247974,2020,unknown
2020-11-27,MRVL,44.12438201904297,44.818870324596176,up/B+,0.8764940239043825,672,2020-12-31,34,42.5,39.0,1.01,0.3799999999999999,0.24,0.2516556291390728,3.5,2.49,2020-11-30,46.5604133605957,45.278594970703125,True,1.065,0.355,0.0,1.01,0.8420000000000001,0.30000000000000004,-0.03599999999999992,3.0,0.40562248995983935,0.3381526104417671,0.12048192771084339,-0.014457831325301172,0.02615816695544937,2020,IV>=60pct
2020-11-27,MTCH,134.0640869140625,136.1523933852916,up/B+,,673,2020-12-31,34,130.0,120.0,2.13,0.5499999999999998,0.49,0.14379084967320258,10.0,7.87,2020-12-01,145.16326904296875,137.59738159179688,True,2.4050000000000002,0.98,0.0,2.13,1.857,0.7049999999999996,0.1589999999999997,4.0,0.2706480304955527,0.23595933926302415,0.08958068614993642,0.02020330368487925,0.02635526604525551,2020,unknown
2020-11-27,RCL,79.23777770996094,80.31722524116064,up/B+,,677,2020-12-31,34,74.5,66.0,2.04,0.2999999999999998,0.52,0.08333333333333329,8.5,6.46,2020-12-03,72.63462829589844,82.0774154663086,True,2.4,1.08,1.8653717041015625,0.17462829589843754,-0.043371704101562436,0.7200000000000002,0.28400000000000025,6.0,0.027032243947126555,-0.006713886083833194,0.11145510835913315,0.04396284829721366,0.035836918177359234,2020,unknown
2020-11-27,SHAK,82.6500015258789,86.98500061035156,up/B+,,679,2020-12-31,34,77.5,71.5,1.445,0.31000000000000005,1.44,0.12424849699398799,6.0,4.555,2020-12-04,84.77999877929688,87.7699966430664,True,1.295,0.62,0.0,1.445,0.9945,0.7700000000000001,-0.1309999999999999,7.0,0.3172338090010977,0.21833150384193198,0.16904500548847423,-0.028759604829857278,0.06194791315986059,2020,unknown
2020-11-27,SPOT,277.6199951171875,284.1099853515625,up/B+,,680,2020-12-31,34,257.5,242.5,4.300000000000001,1.0,0.7999999999999998,0.13513513513513511,15.0,10.7,2020-11-30,314.6600036621094,291.3699951171875,True,4.5,2.275,0.0,4.300000000000001,3.8370000000000006,2.0750000000000006,1.1490000000000007,3.0,0.4018691588785048,0.3585981308411216,0.1939252336448599,0.10738317757009352,0.049528132850070516,2020,unknown
2020-11-27,UBER,50.720001220703125,52.150001525878906,up/B+,,686,2020-12-31,34,47.5,44.0,0.5750000000000002,0.15000000000000013,0.49999999999999994,0.11857707509881432,3.5,2.925,2020-12-02,51.0,53.09000015258789,True,0.745,0.26,0.0,0.5750000000000002,0.39950000000000013,0.09000000000000019,-0.2609999999999999,5.0,0.19658119658119666,0.13658119658119663,0.030769230769230837,-0.0892307692307692,0.04672710715388084,2020,unknown
2020-12-04,CAR,37.73826217651367,38.00428917335325,up/B+,,693,2021-01-15,42,36.0,32.0,1.075,0.09999999999999987,0.15000000000000002,0.04999999999999993,4.0,2.925,2020-12-10,37.04468536376953,38.108802795410156,True,1.75,0.8,0.0,1.075,0.9994999999999999,0.125,-0.02599999999999994,6.0,0.36752136752136755,0.3417094017094017,0.042735042735042736,-0.008888888888888868,0.009818698517789493,2020,unknown
2020-12-04,EEFT,135.92999267578125,137.92999267578125,up/B+,,695,2021-01-15,42,125.0,115.0,1.8249999999999997,0.3999999999999999,0.15000000000000013,0.12903225806451613,10.0,8.175,2020-12-15,138.61000061035156,138.1199951171875,True,1.975,0.7250000000000001,0.0,1.8249999999999997,1.6744999999999997,0.5749999999999997,0.2739999999999997,11.0,0.22324159021406723,0.2048318042813455,0.07033639143730883,0.033516819571865406,0.0161112525521121,2020,unknown
2020-12-04,EXPE,126.82182312011719,128.15336628994348,up/B+,0.5856573705179283,696,2021-01-08,35,120.0,113.0,1.8599999999999999,1.1399999999999997,1.22,0.32758620689655166,7.0,5.140000000000001,2020-12-10,142.05072021484375,128.6859893798828,True,2.4000000000000004,1.03,0.0,1.8599999999999999,1.2570000000000001,0.48999999999999955,-0.7160000000000002,6.0,0.3618677042801556,0.24455252918287937,0.09533073929961079,-0.13929961089494167,0.01469909684234727,2020,IV<60pct
2020-12-04,FIVN,151.52999877929688,158.3699951171875,up/B+,,697,2021-01-15,42,140.0,130.0,2.375,0.5999999999999996,0.3500000000000001,0.127659574468085,10.0,7.625,2020-12-10,169.91000366210938,159.27000427246094,True,2.575,1.175,0.0,2.375,2.1245000000000003,0.9749999999999999,0.474,6.0,0.3114754098360656,0.27862295081967214,0.12786885245901639,0.06216393442622951,0.051079030921378,2020,unknown
2020-12-04,FND,83.5,85.95600128173828,up/B+,,699,2021-01-15,42,77.5,72.5,1.1000000000000003,0.3500000000000001,0.1499999999999999,0.15384615384615385,5.0,3.8999999999999995,2020-12-08,102.55999755859375,87.70999908447266,True,1.425,1.0250000000000001,0.0,1.1000000000000003,0.9620000000000003,0.7000000000000004,0.4240000000000004,4.0,0.28205128205128216,0.24666666666666678,0.17948717948717963,0.10871794871794883,0.05041915071224734,2020,unknown
2020-12-04,HALO,40.119998931884766,41.54999923706055,up/B+,,700,2021-01-15,42,37.0,33.0,1.1500000000000001,1.3000000000000003,0.6,0.7222222222222223,4.0,2.8499999999999996,2020-12-08,47.43000030517578,42.58000183105469,True,0.8500000000000001,0.2,0.0,1.1500000000000001,0.662,0.5,-0.4760000000000002,4.0,0.40350877192982465,0.232280701754386,0.1754385964912281,-0.1670175438596492,0.061316125739347305,2020,unknown
2020-12-04,HXL,53.71866226196289,54.72677768979754,up/B+,,701,2021-01-15,42,50.0,45.0,1.4,1.2,1.2,0.5853658536585367,5.0,3.6,,46.24892044067383,,False,,,3.751079559326172,-2.351079559326172,-2.964079559326172,-2.351079559326172,-2.964079559326172,42.0,-0.6530776553683811,-0.8233554331461589,-0.6530776553683811,-0.8233554331461589,-0.13905301261714842,2020,unknown
2020-12-04,LVS,56.40620803833008,56.490671219858406,up/B+,0.38247011952191234,705,2021-01-08,35,56.0,52.0,0.855,0.24,0.17000000000000004,0.15384615384615383,4.0,3.145,,54.35115051269531,,False,,,1.6488494873046875,-0.7938494873046875,-0.9093494873046876,-0.7938494873046875,-0.9093494873046876,35.0,-0.2524163711620628,-0.28914133141643483,-0.2524163711620628,-0.28914133141643483,-0.036433179912364944,2020,IV<60pct
2020-12-04,PLNT,75.12000274658203,75.94000244140625,up/B+,,707,2021-01-15,42,70.0,62.5,1.725,0.25,0.20000000000000007,0.09174311926605504,7.5,5.775,2020-12-09,81.08999633789062,77.31999969482422,True,1.95,0.625,0.0,1.725,1.5995000000000001,0.40000000000000013,0.14900000000000008,5.0,0.2987012987012987,0.276969696969697,0.06926406926406928,0.025800865800865814,0.029286433277484036,2020,unknown
2020-12-04,PWR,70.02010345458984,70.20818703077809,up/B+,,708,2021-01-15,42,65.0,60.0,0.8,0.15000000000000013,0.15000000000000002,0.12244897959183683,5.0,4.2,2020-12-07,75.459228515625,70.79227447509766,True,1.1,0.45,0.0,0.8,0.712,0.1499999999999999,-0.026000000000000162,3.0,0.19047619047619047,0.16952380952380952,0.03571428571428569,-0.006190476190476229,0.011027847466814844,2020,unknown
2020-12-04,RCL,80.45338439941406,82.75814934435722,up/B+,,709,2021-01-08,35,75.5,65.0,2.4499999999999997,0.5,0.3800000000000001,0.13157894736842105,10.5,8.05,,70.96195983886719,,False,,,4.5380401611328125,-2.0880401611328128,-2.321040161132813,-2.0880401611328128,-2.321040161132813,35.0,-0.2593838709481755,-0.2883279703270575,-0.2593838709481755,-0.2883279703270575,-0.11797421117086038,2020,unknown
2020-12-04,WAB,73.15836334228516,74.79531255347497,up/B+,,713,2021-01-15,42,70.0,65.0,0.8999999999999998,0.19999999999999996,0.19999999999999996,0.12903225806451613,5.0,4.1000000000000005,2021-01-06,79.328369140625,76.66470336914062,True,0.85,2.125,0.0,0.8999999999999998,0.7869999999999998,2.175,1.9489999999999998,33.0,0.21951219512195114,0.19195121951219504,0.5304878048780487,0.4753658536585365,0.04792808185785136,2020,unknown
2020-12-04,YETI,62.810001373291016,65.48999786376953,up/B+,,714,2021-01-08,35,58.5,55.0,0.8800000000000001,0.16999999999999993,0.1299999999999999,0.08695652173913039,3.5,2.62,2020-12-08,73.4800033569336,67.0999984741211,True,0.9750000000000001,0.51,0.0,0.8800000000000001,0.7920000000000001,0.41500000000000004,0.23900000000000013,4.0,0.33587786259541985,0.3022900763358779,0.1583969465648855,0.09122137404580158,0.06830117826831206,2020,unknown
2020-12-11,CPRI,38.13999938964844,39.970001220703125,up/B+,,719,2021-01-15,35,35.0,32.5,0.645,0.04999999999999982,0.06000000000000005,0.0366300366300365,2.5,1.855,2020-12-15,42.849998474121094,40.349998474121094,True,0.815,0.39,0.0,0.645,0.6045,0.22000000000000008,0.13900000000000015,4.0,0.3477088948787062,0.32587601078167117,0.11859838274932619,0.07493261455525614,0.057944392234900555,2020,unknown
2020-12-11,EAT,53.34000015258789,54.86000061035156,up/B+,,720,2021-01-15,35,50.0,44.0,1.5749999999999997,0.19999999999999973,0.15000000000000002,0.07843137254901951,6.0,4.425000000000001,2020-12-15,59.18000030517578,55.150001525878906,True,1.775,0.75,0.0,1.5749999999999997,1.4744999999999997,0.5499999999999998,0.349,4.0,0.3559322033898304,0.3332203389830507,0.1242937853107344,0.07887005649717513,0.033933283991623764,2020,unknown
2020-12-11,EEFT,132.88999938964844,137.92999267578125,up/B+,,721,2021-01-15,35,125.0,115.0,2.1500000000000004,0.3999999999999999,0.20000000000000018,0.11764705882352937,10.0,7.85,2020-12-15,138.61000061035156,138.1199951171875,True,1.975,0.7250000000000001,0.0,2.1500000000000004,1.9870000000000003,0.9000000000000004,0.5740000000000003,4.0,0.2738853503184714,0.25312101910828033,0.11464968152866246,0.0731210191082803,0.039355826259010795,2020,unknown
2020-12-11,MAT,15.949999809265137,16.75,up/B+,,723,2021-01-15,35,15.0,14.0,0.2,0.10000000000000003,0.1,0.25000000000000006,1.0,0.8,2020-12-15,18.760000228881836,17.18000030517578,True,0.15000000000000002,0.1,0.0,0.2,0.137,0.15,0.023999999999999966,4.0,0.25,0.17125,0.18749999999999997,0.029999999999999957,0.07711601947456792,2020,unknown
2020-12-11,PINS,71.12999725341797,72.72000122070312,up/B+,,726,2021-01-15,35,65.0,60.0,1.2600000000000002,0.08999999999999986,0.07000000000000006,0.03578528827037768,5.0,3.7399999999999998,2020-12-23,69.75,72.98999786376953,True,1.0350000000000001,0.42,0.0,1.2600000000000002,1.2070000000000003,0.645,0.539,12.0,0.3368983957219252,0.3227272727272728,0.17245989304812837,0.14411764705882354,0.02614931368160822,2020,unknown
