day,w,gex,credit,maxrisk,width_c,width_p,straddle_mid,pnl_usd,ret_risk,ret_credit,NEG,half,yr
2020-01-17,2.0,730205576.9130334,0.9640000000000001,1.536,2.0,2.5,1.15,-44.59999999999965,-29.036458333333105,-46.26556016597474,False,2018-2026,2020
2020-01-24,1.0,-30590526.580794565,0.804,0.696,1.5,1.0,1.21,-19.599999999999994,-28.160919540229877,-24.37810945273631,True,2018-2026,2020
2020-01-24,2.0,-30590526.580794565,1.064,1.436,2.5,2.5,1.21,-74.60000000000022,-51.94986072423414,-70.11278195488742,True,2018-2026,2020
2020-01-31,1.0,-562288487.2123678,1.334,0.6659999999999999,2.0,2.0,1.985,-66.6,-100.0,-49.92503748125936,True,2018-2026,2020
2020-01-31,2.0,-562288487.2123678,1.7714999999999999,2.2285000000000004,4.0,4.0,1.985,-121.85000000000092,-54.67803455238991,-68.7835167936782,True,2018-2026,2020
2020-02-07,1.0,663616441.8207605,1.209,0.7909999999999999,2.0,2.0,1.665,37.899999999998755,47.91403286978351,31.348221670801284,False,2018-2026,2020
2020-02-07,2.0,663616441.8207605,1.4064999999999999,1.5935000000000001,3.0,3.0,1.665,57.649999999998734,36.17822403514197,40.98826875222093,False,2018-2026,2020
2020-02-14,1.0,826853550.0351841,1.2289999999999999,0.7710000000000001,2.0,2.0,1.7650000000000001,66.89999999999976,86.77042801556387,54.434499593164986,False,2018-2026,2020
2020-02-14,2.0,826853550.0351841,1.5664999999999998,2.4335000000000004,3.5,4.0,1.7650000000000001,100.64999999999975,41.36018080953348,64.25151611873588,False,2018-2026,2020
2020-02-21,1.0,518023743.0734834,1.2639999999999998,0.7360000000000002,2.0,2.0,1.955,-73.60000000000002,-100.0,-58.22784810126584,False,2018-2026,2020
2020-02-21,2.0,518023743.0734834,1.634,2.366,3.5,4.0,1.955,-236.60000000000002,-100.0,-144.7980416156671,False,2018-2026,2020
2020-02-28,1.0,-1665134078.1999362,3.3564999999999996,1.6435000000000004,5.0,5.0,5.18,205.6499999999988,125.12929723151736,61.26917920452818,True,2018-2026,2020
2020-02-28,2.0,-1665134078.1999362,4.609,5.891,10.0,10.5,5.18,330.89999999999884,56.17042946868085,71.79431546973288,True,2018-2026,2020
2020-03-06,1.0,-1202628493.0742805,3.3314999999999997,1.6685000000000003,5.0,5.0,5.225,42.15000000000031,25.26221156727618,12.651958577217565,True,2018-2026,2020
2020-03-06,2.0,-1202628493.0742805,4.674,5.826,10.5,10.5,5.225,176.40000000000038,30.278063851699343,37.74069319640573,True,2018-2026,2020
2020-03-13,1.0,-964066020.6790376,5.834,5.166,8.0,11.0,8.5,-216.60000000000002,-41.92799070847852,-37.12718546451835,True,2018-2026,2020
2020-03-13,2.0,-964066020.6790376,6.846500000000001,10.1535,17.0,11.0,8.5,-611.3500000000007,-60.21076476091996,-89.29379975169805,True,2018-2026,2020
2020-03-20,1.0,-775208048.1259114,5.3565,2.6435000000000004,8.0,8.0,8.49,-264.35,-100.0,-49.35125548399142,True,2018-2026,2020
2020-03-20,2.0,-775208048.1259114,7.581500000000001,9.418499999999998,17.0,17.0,8.49,-273.8499999999992,-29.07575516271161,-36.12082041812295,True,2018-2026,2020
2020-03-27,1.0,-306067966.57035285,4.4415000000000004,2.5584999999999996,7.0,6.5,6.68,38.14999999999982,14.911080711354241,8.58944050433408,True,2018-2026,2020
2020-03-27,2.0,-306067966.57035285,6.0065,7.4935,13.5,13.0,6.68,194.64999999999978,25.975845732968537,32.40655956047611,True,2018-2026,2020
2020-03-31,1.0,-297744322.15755343,3.4215,1.5785,5.0,5.0,5.31,188.1500000000008,119.19543870763434,54.9905012421455,True,2018-2026,2020
2020-03-31,2.0,-297744322.15755343,4.824,6.176,11.0,11.0,5.31,328.4000000000008,53.1735751295338,68.0762852404645,True,2018-2026,2020
2020-04-03,1.0,-553613425.381887,3.2939999999999996,1.7060000000000004,5.0,5.0,4.62,181.40000000000097,106.33059788980125,55.06982392228325,True,2018-2026,2020
2020-04-03,2.0,-553613425.381887,4.2115,4.7885,9.0,9.0,4.62,273.150000000001,57.04291531794947,64.85812655823365,True,2018-2026,2020
2020-04-09,1.0,-29788097.77321731,2.9190000000000005,1.5809999999999995,4.5,4.5,4.195,160.8999999999998,101.7710309930423,55.121616992120515,True,2018-2026,2020
2020-04-09,2.0,-29788097.77321731,3.7665,4.733499999999999,8.5,8.5,4.195,245.64999999999978,51.896059997887356,65.21969998672502,True,2018-2026,2020
2020-04-17,1.0,272507024.22441316,2.6615000000000006,1.3384999999999994,4.0,4.0,4.040000000000001,45.14999999999927,33.73178931639843,16.964117978583225,False,2018-2026,2020
2020-04-17,2.0,272507024.22441316,3.654000000000001,4.345999999999999,8.0,8.0,4.040000000000001,144.3999999999993,33.22595490105829,39.51833607006001,False,2018-2026,2020
2020-04-24,1.0,-65715149.064761184,2.5140000000000002,1.4859999999999998,4.0,3.5,3.585,-54.60000000000021,-36.742934051144154,-21.71837708830557,True,2018-2026,2020
2020-04-24,2.0,-65715149.064761184,3.2765000000000004,3.7234999999999996,7.0,7.0,3.585,21.649999999999814,5.814421914864997,6.6076606134594265,True,2018-2026,2020
2020-05-01,1.0,-59192309.74824735,2.6715000000000004,1.3284999999999996,4.0,4.0,3.85,-132.84999999999997,-100.0,-49.72861688190153,True,2018-2026,2020
2020-05-01,2.0,-59192309.74824735,3.5490000000000004,4.451,8.0,8.0,3.85,-181.10000000000133,-40.68748595821194,-51.02845872076678,True,2018-2026,2020
2020-05-08,1.0,237386850.54029143,2.0615,0.9384999999999999,3.0,3.0,3.1500000000000004,-70.85000000000102,-75.49280767181781,-34.3681785107936,False,2018-2026,2020
2020-05-08,2.0,237386850.54029143,2.8190000000000004,3.1809999999999996,6.0,6.0,3.1500000000000004,4.899999999999016,1.5403961018544536,1.7382050372469018,False,2018-2026,2020
2020-05-15,1.0,-110597010.8312421,1.9639999999999997,1.0360000000000003,3.0,3.0,2.98,-30.60000000000105,-29.536679536680545,-15.580448065173652,True,2018-2026,2020
2020-05-15,2.0,-110597010.8312421,2.649,3.351,6.0,6.0,2.98,37.89999999999898,11.310056699492383,14.307285768214035,True,2018-2026,2020
2020-05-22,1.0,110876631.68564512,2.029,0.9710000000000001,3.0,3.0,3.04,192.90000000000055,198.6611740473744,95.07146377525902,False,2018-2026,2020
2020-05-22,2.0,110876631.68564512,2.749,3.251,6.0,6.0,3.04,264.9000000000006,81.48262073208262,96.3623135685706,False,2018-2026,2020
2020-05-29,1.0,99145822.4262361,2.039,0.9609999999999999,3.0,3.0,3.0100000000000002,-84.09999999999953,-87.51300728407861,-41.24570868072561,False,2018-2026,2020
2020-05-29,2.0,99145822.4262361,2.7065,3.2935,6.0,6.0,3.0100000000000002,-17.349999999999532,-5.267952026719154,-6.410493256973779,False,2018-2026,2020
2020-06-05,1.0,-91895405.09499983,1.7289999999999994,0.7710000000000006,2.5,2.5,2.65,-77.10000000000005,-100.0,-44.5922498554078,True,2018-2026,2020
2020-06-05,2.0,-91895405.09499983,2.414,3.086,5.5,5.5,2.65,-268.5999999999994,-87.03823720025905,-111.26760563380256,True,2018-2026,2020
2020-06-12,1.0,-582453380.8026588,3.199,1.8010000000000002,5.0,5.0,4.745,296.900000000001,164.85285952248805,92.81025320412661,True,2018-2026,2020
2020-06-12,2.0,-582453380.8026588,4.119,4.881,9.0,9.0,4.745,388.900000000001,79.67629584101638,94.41612041757733,True,2018-2026,2020
