date,sym,ext10,arm,entry,legs,pnl,post,xname,day_ret,e_post,e_x
2026-06-02,IBM,0.24909368063913018,09:45,09:54,1,-3.161408466224828,-2.0538751327574323,-1.1294265975260984,5.0358565737051775,-1.1075333334673956,-2.0319818686987294
2026-06-02,IREN,0.11419997593580145,09:50,10:21,1,1.4812984997413368,0.9087781834865666,-0.5753120377849374,3.1573242489935094,0.5725203162547702,2.056610537526274
2026-06-02,MU,0.23572743389552353,09:30,10:22,1,-2.8698992789745392,-2.784340280750694,-0.5003868696804273,1.340952380952376,-0.08555899822384516,-2.3695124092941118
2026-06-02,NBIS,0.2231789902714636,09:31,09:55,2,3.24842290946374,1.4579327848257928,-0.9360021179579086,-4.314590224182291,1.7904901246379472,4.184425027421648
2026-06-02,ZETA,0.2605587840383965,09:30,09:45,1,-0.36796502384737,-1.886814517262216,0.6526044329372322,-1.2133072407045087,1.518849493414846,-1.0205694567846022
2026-06-03,ALAB,0.12997798070648514,09:30,09:45,1,-6.498251910164399,-3.5590161264285114,-0.26376566163797743,-0.06945304011772846,-2.9392357837358873,-6.234486248526421
2026-06-03,AMAT,0.10288534084889522,09:30,09:45,2,-2.6310736935774197,-0.26516282207488795,-0.23670101659017928,2.641664104928787,-2.365910871502532,-2.39437267698724
2026-06-03,AVGO,0.11570093235034062,09:30,09:45,1,-0.6092688582730913,0.7776845840534813,0.5447400589114915,-3.151937749482081,-1.3869534423265726,-1.1540089171845826
2026-06-03,COHR,0.13611930171580555,09:30,09:45,1,-0.977302842358512,0.49963080329830456,0.5930769015278615,-4.2616633790540925,-1.4769336456568165,-1.5703797438863734
2026-06-03,IONQ,0.12379006370277268,10:10,10:21,1,3.26679659815734,1.4098219722477836,0.6820829383956828,-3.007465339495219,1.8569746259095563,2.584713659761657
2026-06-03,IREN,0.1054308541866169,09:31,09:45,1,4.014826211828147,2.241388501735546,-0.04947069982412022,-4.860858824384218,1.773437710092601,4.064296911652267
2026-06-03,LITE,0.1269205102312605,09:30,09:45,1,3.8394938203915907,0.28394335822951666,-0.24737305012351107,-8.850180987780288,3.555550462162074,4.0868668705151014
2026-06-03,MRVL,0.3999807908301056,09:30,09:45,1,-1.0570594533105795,2.838765381082709,-0.6986971884531646,-4.952302994049685,-3.8958248343932884,-0.35836226485741485
2026-06-03,MU,0.2144153918213867,09:30,09:45,1,-3.5651273128339733,-2.8301914753725157,-0.33462591059234653,0.05097265085587388,-0.7349358374614576,-3.230501402241627
2026-06-03,RGTI,0.13866939153890323,10:13,10:18,1,8.038165158966654,1.5066155819118596,-0.10759778862626264,-9.299698795180722,6.531549577054795,8.145762947592917
2026-06-03,TXG,0.17503008988318802,09:30,09:45,1,-3.630484566876871,-0.6927412651847699,0.16985242154809882,3.3579691516709476,-2.937743301692101,-3.8003369884249696
2026-06-03,WDC,0.1012887755255667,09:30,09:45,2,-2.230192654717791,-2.111636088183142,-0.14267579682795217,4.022757111597386,-0.11855656653464886,-2.0875168578898387
2026-06-04,ILMN,0.10555587405696842,09:30,09:46,2,1.7473625334740044,0.9560962097089682,-0.5921694235348263,-2.188591385331795,0.7912663237650361,2.3395319570088304
2026-06-04,TXG,0.18573139652244608,09:30,12:01,1,2.508883396336152,1.1028852096610051,-1.193784969958292,3.810408921933073,1.4059981866751468,3.7026683662944437
2026-06-09,OSCR,0.19842483962644475,09:30,09:45,1,1.111524500907442,-1.4672929211720462,2.3841103601673894,-0.6204379562043782,2.578817422079488,-1.2725858592599475
2026-06-10,OSCR,0.1638446909959801,09:30,09:51,2,1.5155303749536786,1.4205815658878476,2.7836767919031353,-3.298611111111105,0.09494880906583103,-1.2681464169494567
2026-06-12,ANF,0.13578826708017733,09:30,09:47,1,1.536266840504137,0.6097235269276856,-0.6312292203998411,-1.3397233416839183,0.9265433135764515,2.167496060903978
