sym,date,expiry,wing,width,credit,cw,roc,win,iv,S,ST,month
AMD,2023-05-26,2023-06-23,0.25,2.0,0.4969999999999998,0.2484999999999999,-1.0,False,0.50705,127.03205698686531,111.27871786751325,2023-05
AMD,2023-05-26,2023-06-23,0.2,5.0,1.217,0.2434,-1.0,False,0.50705,127.03205698686531,111.27871786751325,2023-05
AMD,2023-05-26,2023-06-23,0.15,9.0,1.927,0.2141111111111111,-0.819211385902269,False,0.50705,127.03205698686531,111.27871786751325,2023-05
AMD,2023-05-26,2023-06-23,0.1,13.0,2.407,0.18515384615384617,-0.5016786682230482,False,0.50705,127.03205698686531,111.27871786751325,2023-05
AMD,2023-06-02,2023-06-30,0.25,2.0,0.527,0.2635,0.35777325186693826,True,0.46245,118.54710076086985,114.11024187584627,2023-06
AMD,2023-06-02,2023-06-30,0.2,4.0,1.007,0.25175,0.3364517206815903,True,0.46245,118.54710076086985,114.11024187584627,2023-06
AMD,2023-06-02,2023-06-30,0.15,7.0,1.567,0.22385714285714284,0.28842260261365726,True,0.46245,118.54710076086985,114.11024187584627,2023-06
AMD,2023-06-02,2023-06-30,0.1,10.0,1.9569999999999999,0.19569999999999999,0.24331717021012061,True,0.46245,118.54710076086985,114.11024187584627,2023-06
AMD,2023-06-09,2023-07-07,0.25,2.0,0.547,0.2735,-1.0,False,0.5126,124.8177583832817,113.48691449121134,2023-06
AMD,2023-06-09,2023-07-07,0.2,5.0,1.3470000000000004,0.2694000000000001,-0.5929607196245997,False,0.5126,124.8177583832817,113.48691449121134,2023-06
AMD,2023-06-09,2023-07-07,0.15,8.0,1.9570000000000003,0.24462500000000004,-0.2575021527037337,False,0.5126,124.8177583832817,113.48691449121134,2023-06
AMD,2023-06-09,2023-07-07,0.1,12.0,2.527,0.21058333333333334,-0.10409432162869872,False,0.5126,124.8177583832817,113.48691449121134,2023-06
AMD,2023-06-16,2023-07-14,0.25,2.0,0.5369999999999998,0.2684999999999999,0.36705399863294585,True,0.42845,120.8521744208144,115.88063741229695,2023-06
AMD,2023-06-16,2023-07-14,0.2,4.0,1.0170000000000001,0.25425000000000003,0.34093194770365415,True,0.42845,120.8521744208144,115.88063741229695,2023-06
AMD,2023-06-16,2023-07-14,0.15,7.0,1.5770000000000002,0.2252857142857143,0.2907984510418588,True,0.42845,120.8521744208144,115.88063741229695,2023-06
AMD,2023-06-16,2023-07-14,0.1,10.0,1.957,0.1957,0.24331717021012064,True,0.42845,120.8521744208144,115.88063741229695,2023-06
