t,start,end,days,excess,sig_day,left
XBI,2016-06-27,2016-09-27,64,27.55067279563075,17.0,60.141667289434196
XBI,2016-12-22,2017-10-02,194,30.567596833741618,13.0,68.82168645880157
XBI,2020-03-17,2020-05-22,47,32.026371800608146,19.0,54.923308695780115
XBI,2020-09-04,2021-02-08,106,44.05322877715494,16.0,73.05148088660329
XBI,2022-05-11,2022-07-13,42,36.80536040321623,29.0,24.382021732923153
XBI,2025-05-14,2026-04-02,222,50.12713551662677,20.0,79.09062901716266
IHI,2006-05-05,2008-10-15,616,28.74834312380168,306.0,100.3488017212929
IHI,2012-08-02,2016-10-10,1053,41.70826669587348,120.0,71.31635761125487
IHI,2016-12-20,2019-03-01,550,35.48387561783197,27.0,77.06081007998566
IHI,2019-04-17,2020-04-20,253,22.692434025192764,41.0,50.82062433824799
KRE,2009-11-12,2010-04-22,109,32.72654153599805,21.0,80.44064530007029
KRE,2011-09-21,2014-03-20,626,36.99134688783363,20.0,65.96944363509188
KRE,2015-01-21,2015-11-09,203,21.27342596132491,18.0,61.043493309187845
KRE,2016-07-05,2016-12-27,122,40.76331317301553,23.0,77.15818816552152
KRE,2020-09-22,2021-03-08,114,73.12890792459568,12.0,75.99674777321943
KRE,2021-07-23,2022-02-23,148,21.493511852676317,45.0,48.97080722596763
KRE,2025-10-29,2026-02-05,67,23.029224672641234,19.0,60.60189983225738
KIE,2009-03-05,2009-05-08,45,45.432140136498546,12.0,45.59620533428988
KIE,2009-07-10,2009-09-16,47,24.799700193428453,11.0,57.874949182754285
KIE,2011-09-23,2017-02-16,1358,35.118250190342934,19.0,75.85107628871087
KIE,2021-12-01,2022-07-01,146,20.908405831985988,44.0,59.197507783086
KIE,2022-08-04,2023-03-01,143,22.105838418214276,23.0,58.24858035457926
KIE,2025-01-23,2025-04-03,49,20.163601361087412,22.0,66.67928449643905
ITB,2008-07-11,2008-09-19,49,54.51137679592526,8.0,42.26725685230341
ITB,2009-06-15,2009-08-26,51,29.168689064059585,22.0,68.49539520004019
ITB,2009-12-10,2010-05-03,97,27.61985540076999,18.0,51.88331776260042
ITB,2011-10-03,2013-03-20,366,101.5694169972754,13.0,83.13823560503342
ITB,2014-10-13,2015-04-02,118,21.190417373114933,8.0,55.25499273965845
ITB,2016-10-27,2018-01-03,297,36.93316260836086,21.0,80.48127917779749
ITB,2018-10-22,2019-10-18,249,37.87344630448521,26.0,67.59809414516037
ITB,2020-04-03,2020-10-02,126,66.64463725963374,16.0,55.572532607312766
ITB,2021-01-08,2021-05-10,83,27.045636942618877,16.0,58.14186893097219
ITB,2022-09-14,2023-08-15,230,45.466269799826684,46.0,74.73368580176557
ITB,2023-10-19,2024-03-28,110,28.889382147962174,16.0,63.558974799738245
ITB,2024-07-05,2024-09-19,53,28.076652785830248,8.0,41.00452196572429
ITB,2025-06-17,2025-09-08,56,22.631731507372677,10.0,62.835307135578276
XRT,2008-07-10,2008-09-18,49,27.775745615805047,21.0,58.5491928506503
XRT,2008-11-18,2010-04-26,359,90.04810053047336,20.0,73.58905545247177
XRT,2011-02-02,2013-10-03,671,35.22464154372011,43.0,65.02232130600868
XRT,2017-11-07,2018-06-21,155,22.05101678816885,15.0,45.44596254723019
XRT,2020-04-03,2021-01-27,205,121.55405402065674,15.0,75.37292330735855
XOP,2007-01-11,2008-07-01,370,116.78204522028696,15.0,84.14386286395614
XOP,2008-12-05,2009-02-13,47,29.52338953049307,19.0,18.149727464689377
XOP,2009-03-02,2009-06-01,63,21.102059582415222,13.0,44.46127092317603
XOP,2009-07-08,2009-10-21,74,22.397242471084876,12.0,47.578862653882844
XOP,2010-09-23,2011-04-05,134,35.91552459061542,17.0,76.9711451865614
XOP,2016-02-23,2016-04-27,45,43.5308969883059,9.0,40.183164125860756
XOP,2016-08-01,2016-12-06,89,27.186308848480834,12.0,50.816680951923566
XOP,2018-02-28,2018-05-21,57,32.63809987599875,18.0,65.29841713605516
XOP,2020-12-29,2021-03-05,45,51.846868348582966,1.0,90.87547783686334
XOP,2021-04-20,2021-06-25,47,30.30822973358489,14.0,47.07202501475155
XOP,2021-08-20,2021-10-25,45,47.33761522829339,16.0,57.3605755501948
XOP,2021-12-20,2022-03-08,53,52.56968042891168,15.0,60.606804163018765
XOP,2022-03-16,2022-06-10,60,52.709898822857035,0.0,100.0
XOP,2023-06-23,2023-10-19,82,27.67990664694999,18.0,71.53954118495047
XOP,2026-01-07,2026-03-27,55,65.3039039206478,9.0,78.5255494221536
XOP,2026-06-18,2026-09-15,60,29.014704020098648,18.0,65.23081411466785
OIH,2006-02-15,2006-05-02,52,21.43856762180636,28.0,56.1157883568397
OIH,2007-01-11,2008-01-03,246,58.1019199898154,22.0,79.01742201908174
OIH,2008-01-31,2008-07-01,105,53.033869478374115,13.0,66.57502060021945
OIH,2008-12-24,2009-03-19,57,33.96952403206397,6.0,49.717663708592326
OIH,2009-04-01,2009-06-11,49,30.808261921145274,16.0,41.03749815780486
