feature,dir,N,dates,sel_meanR,day_meanR,delta,t,h1,h2,both_halves,passes,ext_vs_day
range_pos,asc,2,1442,0.06413920889263552,0.05027404553340273,0.013865163359232796,0.6276854928068901,0.03327864383792509,-0.005548317119459504,False,False,-0.07903099365411231
adr_pct,asc,1,1442,0.07048046198695253,0.05027404553340273,0.02020641645354978,0.6213278436719263,0.11823883898137393,-0.07782600607427435,False,False,-0.05238241102756447
sma_stacked,asc,2,1442,0.06376909130246033,0.05027404553340273,0.013495045769057593,0.6086961881516516,0.016579357637079538,0.010410733901035644,True,False,0.018372495247000464
gap_ADR,desc,2,1442,0.06344699456171342,0.05027404553340273,0.013172949028310685,0.538260430730984,0.044083888029234776,-0.017737989972613395,False,False,0.814134337558622
range_pos,asc,5,1100,0.05912365669047633,0.05137487641622964,0.007748780274246682,0.5028473428841687,0.005791166477440135,0.009706394071053233,True,False,-0.10756496274117494
dist_21ema_ADR,asc,3,1359,0.05816532618845371,0.04857608704379682,0.00958923914465689,0.5012085091136772,0.046954764945260845,-0.027721337353299118,False,False,-0.30550524603218127
ext_above_level_ADR,desc,1,1442,0.06905122633142345,0.05027404553340273,0.018777180798020723,0.49565494898441587,-0.010843718626237418,0.04839808022227886,False,False,1.816867893667002
rvol20,desc,2,1442,0.06287532517195235,0.05027404553340273,0.012601279638549602,0.48899335715123005,0.042221411312694905,-0.0170188520355957,False,False,0.9570949205270965
rvol20,desc,3,1359,0.058328062078096994,0.04857608704379682,0.009751975034300168,0.4644687898176803,0.015404844025049932,0.00410741908618386,True,False,0.787157252892294
sma_stacked,desc,3,1359,0.05724662190243438,0.04857608704379682,0.008670534858637564,0.455824776190158,0.00840503045455011,0.008935648815071943,True,False,0.0062961343845738815
pct_off_52w_high,desc,5,1086,0.05987972530318027,0.05210086039639724,0.00777886490678303,0.4532740064559729,-0.0075299256222343056,0.02308765543580036,False,False,0.04637914183031033
rvol20,desc,1,1442,0.0664655602133181,0.05027404553340273,0.016191514679915375,0.4225697920471442,0.039171480986762514,-0.006788451626931778,False,False,1.2940552478946765
