ticker,entry,expiry,S,ks,kl,credit,width,maxloss,cost,ba_s,ba_l,iv30,rv21,log_ivrv,put_skew,ff,trend_z,vix,ST,roc_hold,ivp,skew_z,roc_mgd
TLT,2020-04-17,2020-05-15,167.47500000000002,162.0,157.0,1.125,5.0,3.875,0.04049999999999997,0.04999999999999982,0.06000000000000005,0.25352754992869814,0.3403376791089728,-0.294465803243385,-0.024925638827945962,0.02073428557415606,0.42296496933382194,38.15,166.3771959358799,0.2798709677419355,0.9423076923076923,0.33536613305166546,0.1261935483870968
TLT,2020-04-24,2020-05-22,170.3,165.5,160.5,1.105,5.0,3.895,0.08549999999999998,0.11999999999999988,0.17000000000000004,0.22793016411757852,0.179150405020907,0.24081357976527132,-0.047682742963634506,-0.0906181121270182,0.8194855680851567,35.93,165.02672090845238,0.1402364334922659,0.8846153846153846,-0.3365942721706066,-0.35070603337612316
TLT,2020-05-01,2020-05-29,167.74,164.0,159.5,0.9,4.5,3.6,0.14300000000000002,0.24,0.28,0.1783532002931845,0.17233263445725358,0.03433932507784436,0.01796312078893081,-0.20165628230429858,0.44464557064009064,37.19,163.38545162250674,0.03956989514075992,0.8461538461538461,1.5615118646726318,-0.37111111111111106
TLT,2020-05-08,2020-06-05,163.725,160.0,155.0,0.98,5.0,4.02,0.12800000000000003,0.30000000000000004,0.16000000000000003,0.1925868058262769,0.19159769687435993,0.00514914646673833,0.036674041901947785,-0.05322339145577095,0.011409810244178703,27.98,155.8672383827296,-0.8161098550423892,0.8461538461538461,2.030823767641846,0.08308457711442789
TLT,2020-05-15,2020-06-12,166.46,163.0,159.0,0.8900000000000001,4.0,3.11,0.07299999999999997,0.1399999999999999,0.09999999999999998,0.18131035371811444,0.17074170807710617,0.06005828884038002,-0.02355154185327102,-0.09895968763061365,0.15360257215131612,31.89,162.05661328054705,-0.040638816544355416,0.8269230769230769,0.26031200394479415,-0.5453376205787782
TLT,2020-05-22,2020-06-19,165.22,162.0,158.0,0.845,4.0,3.1550000000000002,0.030500000000000013,0.040000000000000036,0.030000000000000027,0.1662951379182372,0.17075336154628848,-0.026456036244714924,-0.007174492287867706,-0.13217713702377454,0.051627377826282586,28.16,162.06629900332223,0.25816164817749604,0.7307692307692307,0.6932507228368346,-0.4107765451664025
TLT,2020-05-29,2020-06-26,163.635,160.5,156.0,0.9049999999999999,4.5,3.595,0.08050000000000003,0.15000000000000013,0.12,0.1697215938428208,0.16042005677234522,0.056363681466694446,0.014455986273667065,-0.07746377660964406,-0.17471897338295994,27.51,165.29545662937832,0.22934631432545197,0.75,1.2735867581789413,-0.2993045897079277
TLT,2020-06-05,2020-07-02,155.83,152.5,148.5,0.8599999999999999,4.0,3.14,0.13800000000000004,0.29000000000000004,0.21000000000000008,0.17869116673981703,0.15837903319581917,0.12066788584556411,0.05339253997549154,-0.04572516893781249,-0.8364323162232404,24.52,163.29658381910193,0.22993630573248403,0.8076923076923077,2.3241710073646167,0.12388535031847127
TLT,2020-06-12,2020-07-10,162.32999999999998,159.0,155.0,0.875,4.0,3.125,0.09049999999999998,0.20999999999999996,0.09999999999999998,0.17448420361557376,0.16706650478162824,0.043442248483311394,0.025071363498061716,-0.10346524632618546,-0.22626899405838832,36.09,166.3607449168207,0.25104,0.75,1.4034728728407315,0.08928000000000004
TLT,2020-06-19,2020-07-17,161.98,159.0,155.0,0.915,4.0,3.085,0.030499999999999985,0.040000000000000036,0.029999999999999916,0.1719249026152727,0.1578881884989316,0.08517065398478713,-0.007970283321668492,-0.172582925895754,-0.1822652559134113,35.12,166.35891618942054,0.28670988654781204,0.7115384615384616,0.45513762210361025,0.16012965964343598
TLT,2020-06-26,2020-07-24,165.0,161.5,154.5,0.45000000000000007,7.0,6.55,0.418,0.1499999999999999,1.47,0.17037686481836475,0.15917893705387037,0.06798387561316621,-0.005736577525364384,-0.12855358159959787,0.09271781818991554,34.73,169.4832072617247,0.00488549618320612,0.6923076923076923,0.4893420618261632,-0.20091603053435111
TLT,2020-07-10,2020-08-07,166.17000000000002,163.0,159.5,0.7749999999999999,3.5,2.725,0.07049999999999997,0.11999999999999988,0.10999999999999999,0.16138652494019473,0.14145060368212217,0.13185169820065526,-0.034600456160897464,-0.014618331115456587,0.29145833595810694,27.29,169.71658510190585,0.2585321100917431,0.5769230769230769,-0.35064010989312067,0.10605504587155964
TLT,2020-07-17,2020-08-14,166.52,163.5,160.0,0.7399999999999999,3.5,2.7600000000000002,0.06800000000000002,0.13000000000000012,0.08999999999999997,0.15008722014658574,0.1084822793870129,0.32462975673359573,-0.0092905914662883,-0.19142234449468729,0.428598142830229,25.68,162.9256121837151,0.0353667332301045,0.4423076923076923,0.3622910000655256,0.1318840579710144
TLT,2020-07-24,2020-08-21,169.60999999999999,166.0,162.0,0.77,4.0,3.23,0.033000000000000015,0.050000000000000044,0.030000000000000027,0.1665120169087895,0.10059138565938679,0.50400085607162,-0.007753952379989215,-0.16049944562816207,0.8028527211322706,25.84,166.07271120537288,0.2281733746130031,0.6346153846153846,0.37539398212382336,0.10185758513931886
TLT,2020-07-31,2020-08-28,170.97,167.5,163.5,0.7150000000000001,4.0,3.285,0.06549999999999999,0.11999999999999988,0.09000000000000008,0.15561733138258624,0.09560837427486704,0.4871395765099849,0.01637405471909603,-0.1666433506652591,0.9416748719594539,24.46,161.09173333333334,-1.0199391171993912,0.5384615384615384,1.0709739542386867,-0.2803652968036529
TLT,2020-08-07,2020-09-04,169.60999999999999,166.5,162.0,0.92,4.5,3.58,0.06300000000000001,0.10000000000000009,0.09999999999999998,0.16436608338545422,0.0879244302521075,0.6256184574883947,0.009321872043972501,-0.0668172616275269,0.7519821375223789,22.21,162.48134801036025,-0.8831430138658519,0.5769230769230769,0.8218421516237719,-0.41787709497206704
TLT,2020-08-14,2020-09-11,163.165,160.0,155.0,0.885,5.0,4.115,0.08049999999999996,0.1299999999999999,0.13999999999999996,0.15673310907324411,0.1061027984724992,0.3901359955250997,0.030979690128273063,-0.17465570401283892,-0.290967367219831,22.05,164.46488050006124,0.19550425273390035,0.5192307692307693,1.4547829668065504,0.09817739975698664
