day,struct,gex,credit,maxrisk,pnl_usd,ret_risk,NEG,half
2021-01-13,iron condor 16/5,3879355886.528879,0.3739999999999999,3.6260000000000003,37.39999999999999,10.31439602868174,False,2018-2026
2021-01-15,put spread 16/5,3680775509.2772803,0.21199999999999997,4.788,21.199999999999996,4.427736006683374,False,2018-2026
2021-01-15,iron condor 16/5,3680775509.2772803,0.3239999999999999,4.676,32.39999999999999,6.928999144568005,False,2018-2026
2021-01-19,put spread 16/5,-440615076.47107035,0.33199999999999996,6.668,33.199999999999996,4.979004199160167,True,2018-2026
2021-01-19,iron condor 16/5,-440615076.47107035,0.594,6.406,59.4,9.27255697783328,True,2018-2026
2021-01-20,put spread 16/5,1598467266.7671468,0.28200000000000003,4.718,28.200000000000003,5.977108944467995,False,2018-2026
2021-01-20,iron condor 16/5,1598467266.7671468,0.4664999999999999,4.5335,-139.3500000000014,-30.7378405205694,False,2018-2026
2021-01-22,put spread 16/5,5413596382.992267,0.22199999999999998,3.778,22.199999999999996,5.876124933827421,False,2018-2026
2021-01-22,iron condor 16/5,5413596382.992267,0.32399999999999995,3.676,32.4,8.813928182807398,False,2018-2026
2021-01-25,put spread 16/5,2349266847.4038234,0.23199999999999996,4.768,23.199999999999996,4.865771812080536,False,2018-2026
2021-01-25,iron condor 16/5,2349266847.4038234,0.3639999999999999,4.636,36.39999999999999,7.85159620362381,False,2018-2026
2021-01-27,put spread 16/5,2439266409.7708335,0.212,3.788,-378.79999999999995,-100.0,False,2018-2026
2021-01-27,iron condor 16/5,2439266409.7708335,0.33399999999999996,3.666,-366.59999999999997,-100.0,False,2018-2026
2021-01-29,put spread 16/5,-617088239.5586561,0.41200000000000003,6.588,-150.8000000000016,-22.890103217972314,True,2018-2026
2021-01-29,iron condor 16/5,-617088239.5586561,0.7040000000000001,6.296,-121.60000000000157,-19.31385006353265,True,2018-2026
2021-02-01,put spread 16/5,-5869964621.1638,0.5445,8.4555,54.449999999999996,6.439595529536987,True,2018-2026
2021-02-01,iron condor 16/5,-5869964621.1638,0.859,8.141,85.9,10.551529296155264,True,2018-2026
2021-02-03,put spread 16/5,2756076194.3129973,0.3245,5.6754999999999995,32.45,5.717557924411946,False,2018-2026
2021-02-03,iron condor 16/5,2756076194.3129973,0.5665,5.4335,56.65,10.426060550289867,False,2018-2026
2021-02-05,put spread 16/5,4298523135.496933,0.162,3.338,16.2,4.853205512282805,False,2018-2026
2021-02-05,iron condor 16/5,4298523135.496933,0.31399999999999995,3.186,31.399999999999995,9.8556183301946,False,2018-2026
2021-02-08,put spread 16/5,8077299690.093684,0.242,4.758,24.2,5.086170659941152,False,2018-2026
2021-02-08,iron condor 16/5,8077299690.093684,0.33399999999999985,4.666,33.399999999999984,7.158165452207454,False,2018-2026
2021-02-10,put spread 16/5,5977879663.944673,0.152,2.848,15.2,5.337078651685393,False,2018-2026
2021-02-10,iron condor 16/5,5977879663.944673,0.32399999999999995,2.676,32.4,12.107623318385647,False,2018-2026
2021-02-12,put spread 16/5,4179952535.5880265,0.18199999999999997,3.318,18.199999999999996,5.485232067510547,False,2018-2026
2021-02-12,iron condor 16/5,4179952535.5880265,0.34399999999999986,3.156,34.399999999999984,10.899873257287702,False,2018-2026
2021-02-16,put spread 16/5,7205623269.538615,0.23199999999999996,4.768,23.199999999999996,4.865771812080536,False,2018-2026
2021-02-16,iron condor 16/5,7205623269.538615,0.3639999999999999,4.636,36.39999999999999,7.85159620362381,False,2018-2026
2021-02-17,put spread 16/5,5184964165.109251,0.23199999999999996,4.768,23.199999999999996,4.865771812080536,False,2018-2026
2021-02-17,iron condor 16/5,5184964165.109251,0.32399999999999995,4.676,32.4,6.928999144568006,False,2018-2026
2021-02-19,put spread 16/5,2970699882.059892,0.20199999999999996,3.798,20.199999999999996,5.318588730911005,False,2018-2026
2021-02-19,iron condor 16/5,2970699882.059892,0.44400000000000006,3.556,44.400000000000006,12.485939257592802,False,2018-2026
2021-02-22,put spread 16/5,1155544230.682097,0.21449999999999994,3.7855,21.449999999999996,5.666358473121118,False,2018-2026
2021-02-22,iron condor 16/5,1155544230.682097,0.3564999999999998,3.6435000000000004,35.649999999999984,9.78454782489364,False,2018-2026
2021-02-24,put spread 16/5,315184785.84375,0.30199999999999994,4.698,30.199999999999992,6.428267347807576,False,2018-2026
2021-02-24,iron condor 16/5,315184785.84375,0.4839999999999999,4.516,48.399999999999984,10.717449069973425,False,2018-2026
2021-02-26,put spread 16/5,-2369413694.134251,0.5344999999999999,7.4655000000000005,53.44999999999999,7.159600830486903,True,2018-2026
2021-02-26,iron condor 16/5,-2369413694.134251,0.8289999999999998,7.171,82.89999999999999,11.560451819829867,True,2018-2026
2021-03-03,put spread 16/5,810775388.8631337,0.34199999999999997,5.658,-118.79999999999727,-20.996818663838326,False,2018-2026
2021-03-03,iron condor 16/5,810775388.8631337,0.594,5.406,-93.59999999999728,-17.31409544950005,False,2018-2026
2021-03-05,put spread 16/5,-3761781797.646368,0.45200000000000007,5.548,45.20000000000001,8.147080028839222,True,2018-2026
2021-03-05,iron condor 16/5,-3761781797.646368,0.8140000000000001,5.186,21.399999999997732,4.126494408021159,True,2018-2026
2021-03-08,put spread 16/5,1836247459.8275366,0.4345,5.5655,43.45,7.807025424490162,False,2018-2026
2021-03-08,iron condor 16/5,1836247459.8275366,0.6915,5.3085,69.15,13.026278609776773,False,2018-2026
2021-03-10,put spread 16/5,3287596640.091694,0.3419999999999999,4.658,34.19999999999999,7.3422069557750085,False,2018-2026
2021-03-10,iron condor 16/5,3287596640.091694,0.5239999999999999,4.476,52.39999999999999,11.706881143878462,False,2018-2026
2021-03-12,put spread 16/5,6878755006.715953,0.242,3.758,24.2,6.439595529536987,False,2018-2026
2021-03-12,iron condor 16/5,6878755006.715953,0.42400000000000004,3.576,42.400000000000006,11.85682326621924,False,2018-2026
2021-03-15,put spread 16/5,4411910726.641847,0.30199999999999994,4.698,30.199999999999992,6.428267347807576,False,2018-2026
2021-03-15,iron condor 16/5,4411910726.641847,0.5439999999999998,4.456,54.399999999999984,12.208258527827642,False,2018-2026
2021-03-17,put spread 16/5,6839132169.924299,0.262,3.738,26.200000000000003,7.009095773140716,False,2018-2026
2021-03-17,iron condor 16/5,6839132169.924299,0.45400000000000007,3.546,45.400000000000006,12.80315848843768,False,2018-2026
2021-03-19,put spread 16/5,1764574347.6676853,0.5245000000000001,7.4755,52.45000000000001,7.016253093438567,False,2018-2026
2021-03-19,iron condor 16/5,1764574347.6676853,0.8965,7.1035,89.64999999999999,12.620539170831279,False,2018-2026
2021-03-22,put spread 16/5,154786357.37105104,0.31199999999999994,4.688,31.199999999999996,6.655290102389078,False,2018-2026
2021-03-22,iron condor 16/5,154786357.37105104,0.514,4.486,51.4,11.457868925546144,False,2018-2026
2021-03-24,put spread 16/5,-1507472160.8953748,0.312,4.688,31.2,6.655290102389079,True,2018-2026
2021-03-24,iron condor 16/5,-1507472160.8953748,0.5439999999999999,4.456,54.39999999999999,12.208258527827645,True,2018-2026
2021-03-26,put spread 16/5,-1185990057.6647549,0.252,3.748,25.2,6.7235859124866595,True,2018-2026
2021-03-26,iron condor 16/5,-1185990057.6647549,0.4365,3.5635,-156.35,-43.87540339553809,True,2018-2026
2021-03-29,put spread 16/5,6702299743.178451,0.292,5.708,29.2,5.115627189908899,False,2018-2026
2021-03-29,iron condor 16/5,6702299743.178451,0.43400000000000005,5.566,43.400000000000006,7.797340998922028,False,2018-2026
2021-03-31,put spread 16/5,2390654303.405406,0.18199999999999997,2.818,18.199999999999996,6.458481192334988,False,2018-2026
2021-03-31,iron condor 16/5,2390654303.405406,0.41649999999999987,2.5835,41.649999999999984,16.121540545771236,False,2018-2026
2021-04-01,put spread 16/5,6274210134.969219,0.212,3.288,21.2,6.447688564476886,False,2018-2026
2021-04-01,iron condor 16/5,6274210134.969219,0.3839999999999999,3.116,-14.599999999997282,-4.685494223362414,False,2018-2026
2021-04-05,put spread 16/5,10869780794.3022,0.252,3.748,25.2,6.7235859124866595,False,2018-2026
2021-04-05,iron condor 16/5,10869780794.3022,0.4364999999999999,3.5635000000000003,-156.35000000000002,-43.87540339553809,False,2018-2026
2021-04-07,put spread 16/5,4513497489.13134,0.142,2.858,14.2,4.968509447165849,False,2018-2026
2021-04-07,iron condor 16/5,4513497489.13134,0.274,2.726,27.400000000000002,10.051357300073368,False,2018-2026
2021-04-09,put spread 16/5,6300514191.035127,0.14199999999999996,2.858,14.199999999999996,4.968509447165849,False,2018-2026
2021-04-09,iron condor 16/5,6300514191.035127,0.24399999999999997,2.7560000000000002,-19.599999999999778,-7.11175616835986,False,2018-2026
2021-04-12,put spread 16/5,9221293258.92596,0.162,3.838,16.2,4.220948410630537,False,2018-2026
2021-04-12,iron condor 16/5,9221293258.92596,0.29399999999999993,3.706,29.39999999999999,7.933081489476523,False,2018-2026
2021-04-14,put spread 16/5,5492713632.612896,0.172,2.828,17.2,6.082036775106082,False,2018-2026
2021-04-14,iron condor 16/5,5492713632.612896,0.264,2.7359999999999998,26.400000000000002,9.649122807017545,False,2018-2026
2021-04-16,put spread 16/5,7185585492.232908,0.212,3.788,21.2,5.59662090813094,False,2018-2026
2021-04-16,iron condor 16/5,7185585492.232908,0.4139999999999999,3.5860000000000003,41.39999999999999,11.544896820970438,False,2018-2026
2021-04-19,put spread 16/5,8844532472.4011,0.16199999999999998,2.838,16.2,5.708245243128963,False,2018-2026
2021-04-19,iron condor 16/5,8844532472.4011,0.344,2.656,34.4,12.95180722891566,False,2018-2026
2021-04-21,put spread 16/5,-2475460901.089394,0.26199999999999996,3.738,26.199999999999996,7.009095773140715,True,2018-2026
2021-04-21,iron condor 16/5,-2475460901.089394,0.364,3.636,28.40000000000159,7.810781078108247,True,2018-2026
2021-04-23,put spread 16/5,-2229132129.907802,0.262,3.738,26.200000000000003,7.009095773140716,True,2018-2026
2021-04-23,iron condor 16/5,-2229132129.907802,0.5240000000000001,3.476,-17.59999999999885,-5.063291139240175,True,2018-2026
2021-04-26,put spread 16/5,6795098925.653899,0.182,2.818,18.2,6.458481192334989,False,2018-2026
2021-04-26,iron condor 16/5,6795098925.653899,0.33399999999999996,2.666,33.4,12.528132033008252,False,2018-2026
