date,sym,t,brk,rt_vwap,rt_mid,rnd
2026-06-08,INTC,11:04,-1.1850795657846969,,,-0.5628540339381908
2026-06-08,TSM,11:14,-1.4140153878145156,,,-0.832903225637401
2026-06-08,DRAM,11:19,-1.6970736524767327,,,0.78255030907175
2026-06-09,BE,09:49,-5.135326725367539,-5.245292907670695,-5.441488453886844,-2.8587927146734047
2026-06-09,SNDK,10:04,-4.619803256473142,-4.715790188233148,-4.814698806537421,-4.78694435781668
2026-06-10,ORCL,09:59,-3.4882523143972555,-3.509575101799478,,-1.3514574501780026
2026-06-10,SNDK,10:24,-4.971858753595071,-3.089424175253319,,-4.410511209564249
2026-06-10,DRAM,10:29,-3.7882671336079254,-3.867534235815351,-2.0993343573988854,-3.1165178939624227
2026-06-11,AAOI,10:04,0.06654900031826116,3.17921092845177,4.052712338658715,2.9140367818224266
2026-06-11,SNDK,10:14,7.237560398523368,9.121393285935175,,7.182432949005602
2026-06-11,HOOD,11:29,3.038766618254951,,,5.686362440528424
2026-06-11,LRCX,11:39,3.6405266170578265,,,4.53796685671406
2026-06-12,AMD,10:04,-0.6587000874380577,0.6357892250457686,,0.7699543201797813
2026-06-12,INTC,10:04,3.2627171344471684,,,1.780928648839956
2026-06-12,WDC,10:09,-1.037380877026406,1.0375902057229158,,0.3363170033944818
2026-06-12,AAOI,10:29,-2.431637244721363,-1.1542957334891857,0.8707840038171488,0.17896613890193333
2026-06-12,HTFL,10:44,2.2181146025878062,3.6227357901311485,,3.844006176500773
2026-06-12,DINO,11:59,0.5785240581346107,0.9060022650056565,,0.47569423648959513
2026-06-15,AXTI,09:49,-2.8289429177147496,-0.3603603603603678,,-0.48310462037890467
2026-06-15,TXG,10:09,4.067140090380894,,,2.1615503452863707
2026-06-16,BE,09:59,-3.7720349135717868,-1.953056882781723,,-4.691501599744574
2026-06-16,WPM,11:29,0.544863000274387,1.087727595176169,,1.113565319244847
2026-06-18,TSM,10:09,2.420543043569756,,,2.640630742823502
2026-06-18,BE,10:19,6.108151735270395,,,8.166269765780646
2026-06-22,COHR,09:49,4.729197439684896,,,4.919249611607716
2026-06-22,IOVA,10:04,-2.003274583453718,-0.3671970624234966,,-1.210134584952538
2026-06-22,WPM,11:04,0.9664440665311691,,,1.6209441682812613
2026-06-23,IOVA,09:59,1.8989667049368553,2.962877030162425,,1.937583122576288
2026-06-23,TSM,09:59,-1.944843693855547,-1.373390557939913,-0.8493051139976449,-1.5703370031827941
2026-06-23,ASML,10:04,-2.3946828735309955,-1.0191642964092695,-0.6675194530250672,-0.5721183725607704
2026-06-26,TSM,10:09,1.4846833302010864,2.379372452365147,2.379372452365147,0.7765487994855214
2026-06-26,TIGO,11:54,1.2358276643990918,,,-2.511212035529427
2026-07-01,ZETA,10:19,-1.5588096362777581,,,-0.9578248128784458
2026-07-06,DELL,10:29,-4.504438060813209,-1.3400607248725938,,-1.9547613943815396
2026-07-06,ANET,11:29,-1.1303305360506832,0.40000000000000036,,-0.12574851864369055
2026-07-07,NET,11:04,2.9737497604905183,,,2.593687711763981
2026-07-08,ANET,10:34,3.0741204599795013,4.7800925925925775,,3.660268235952794
2026-07-09,IOVA,11:04,-1.13378684807256,,,0.0831200537398713
2026-07-14,CRWD,10:34,2.75582869963904,,,2.1027317789867515
2026-07-14,TEAM,10:39,-2.9949901982138982,-1.4603385330235752,-1.0168361393565695,-1.7452433531004747
2026-07-16,ASML,10:14,-2.2893115513908824,-2.3008491024700706,,-2.1678482711495235
2026-07-17,AMD,10:09,1.4329287015618863,,,1.7004857121769652
2026-07-17,NVDA,10:09,-0.9773260359655978,,,-0.9628787075720013
2026-07-17,HOOD,10:39,-1.9998039407901236,0.15027048687639155,,-1.0637119325252058
2026-07-21,IBIT,10:04,-0.6206259078304521,-0.3176167354085546,,-0.34367953197462775
2026-07-22,DELL,10:04,-0.1604447256621122,,,-0.41747985511601343
2026-07-24,CNH,11:19,2.106227106227121,,,2.89482623311077
2026-07-27,TEAM,10:34,2.1530590492432333,,,2.396290530068379
2026-07-28,NOW,10:24,0.6945202985618071,,,0.12737480587163472
2026-07-30,TER,09:49,3.2877369810415225,4.216043755697352,,1.8355230007602863
2026-07-31,PTEN,10:59,1.1084337349397622,,,1.546129326814009
2026-08-03,AXTI,09:49,13.443435177539232,,,1.9274311432650422
2026-08-03,NOW,09:54,-3.4870364544036803,-2.8169014084507116,-2.0332003603139914,-1.008961162328655
2026-08-03,WT,11:04,1.0118043844856706,,,4.021038276444873
2026-08-04,MRVL,11:44,-0.43747721472839896,,,1.9655676612919744
2026-08-05,HNGE,09:49,-2.734710934650919,,,-2.6313352797147713
2026-08-05,AXTI,09:54,-8.638028638028638,-5.328726982624044,,-5.450610670435296
