entry,h,expiry,K,mid,ratio,short,fly,vix,episode,direction,POST,DOWN,UP,vdec,cl,half
2019-10-16,10,2019-10-30,299.0,5.255,0.9781160799238794,1.711444688785036,-8.701409986756829,13.680000305175781,,,0,0,0,2,d20191016,2018-2026
2019-10-17,1,2019-10-18,299.0,1.3599999999999999,0.7499999999999867,23.99403874813847,10.244988864143563,13.789999961853027,,,0,0,0,2,d20191017,2018-2026
2019-10-17,5,2019-10-23,299.0,2.92,0.29452054794521015,70.36526533425177,51.80153573538059,13.789999961853027,,,0,0,0,2,d20191017,2018-2026
2019-10-17,10,2019-10-30,300.0,4.785,0.865203761755483,13.016073116924334,0.36824526847671407,13.789999961853027,,,0,0,0,2,d20191017,2018-2026
2019-10-18,1,2019-10-21,298.5,1.76,0.8806818181818247,11.02181400688798,-0.3067484662582366,14.25,,,0,0,0,3,d20191018,2018-2026
2019-10-18,5,2019-10-25,298.5,3.51,0.8945868945868908,10.080183276059955,-0.6690684508488429,14.25,,,0,0,0,3,d20191018,2018-2026
2019-10-18,10,2019-11-01,299.0,5.55,1.293693693693695,-29.790310918293688,-38.147668393782496,14.25,,,0,0,0,3,d20191018,2018-2026
2019-10-21,5,2019-10-28,300.0,3.15,1.0634920634920708,-7.131435881036856,-14.88786814374554,14.0,,,0,0,0,2,d20191021,2018-2026
2019-10-21,10,2019-11-04,300.0,5.154999999999999,1.423860329776911,-43.09386879812801,-51.88568327756128,14.0,,,0,0,0,2,d20191021,2018-2026
2019-10-22,1,2019-10-23,299.0,1.46,0.5890410958904203,40.36061026352195,24.708624708623933,14.460000038146973,,,0,0,0,3,d20191022,2018-2026
2019-10-22,5,2019-10-28,299.5,2.89,1.3321799307958555,-34.28671084757666,-38.0135505261647,14.460000038146973,,,0,0,0,3,d20191022,2018-2026
2019-10-22,10,2019-11-04,299.0,5.055,1.649851632047473,-65.8216522517144,-70.2428968360666,14.460000038146973,,,0,0,0,3,d20191022,2018-2026
2019-10-23,5,2019-10-30,299.5,3.565,1.3015427769985937,-31.09196214154502,-38.517650123745895,14.010000228881836,,,0,0,0,2,d20191023,2018-2026
2019-10-23,10,2019-11-06,300.0,5.09,1.400785854616895,-40.853417621493385,-48.89601139601132,14.010000228881836,,,0,0,0,2,d20191023,2018-2026
2019-10-24,1,2019-10-25,300.5,1.25,0.911999999999989,7.46753246753359,-5.292479108634129,13.710000038146973,,,0,0,0,2,d20191024,2018-2026
2019-10-24,5,2019-11-01,300.0,3.7499999999999996,1.648000000000002,-65.59485530546642,-68.23869104908582,13.710000038146973,,,0,0,0,2,d20191024,2018-2026
2019-10-24,10,2019-11-08,301.0,5.0,1.5919999999999959,-59.77519068647088,-64.31070678796324,13.710000038146973,,,0,0,0,2,d20191024,2018-2026
2019-10-25,1,2019-10-28,301.5,1.3,1.4230769230769404,-44.30577223089101,-53.4383954154744,12.649999618530273,,,0,0,0,1,d20191025,2018-2026
2019-10-25,5,2019-11-01,302.0,3.17,1.3186119873817057,-32.614213197969754,-44.27434170238844,12.649999618530273,,,0,0,0,1,d20191025,2018-2026
2019-10-25,10,2019-11-08,302.0,4.445,1.565804274465687,-57.30591027234669,-60.644352271630744,12.649999618530273,,,0,0,0,1,d20191025,2018-2026
2019-10-28,5,2019-11-04,303.0,3.225,1.3457364341085194,-35.646194717923876,-48.42317849930013,13.109999656677246,,,0,0,0,1,d20191028,2018-2026
2019-10-28,10,2019-11-11,304.0,4.4399999999999995,0.9887387387387357,0.6112746207836418,-11.702738938900342,13.109999656677246,,,0,0,0,1,d20191028,2018-2026
2019-10-29,1,2019-10-30,303.0,1.71,0.6666666666666587,32.62411347517812,19.433198380567507,13.199999809265137,,,0,0,0,2,d20191029,2018-2026
2019-10-29,5,2019-11-04,303.0,3.1100000000000003,1.39549839228295,-40.362225097023746,-49.173300673606086,13.199999809265137,,,0,0,0,2,d20191029,2018-2026
2019-10-29,10,2019-11-11,303.0,4.495,1.1991101223581726,-20.460386635377954,-28.8459643244306,13.199999809265137,,,0,0,0,2,d20191029,2018-2026
2019-10-30,5,2019-11-06,304.0,3.1,1.0096774193548372,-1.7224569385763893,-13.839687781446862,12.329999923706055,,,0,0,0,1,d20191030,2018-2026
2019-10-30,10,2019-11-13,304.0,4.529999999999999,1.1192052980132436,-12.6166148378497,-22.994023709219036,12.329999923706055,,,0,0,0,1,d20191030,2018-2026
2019-10-31,1,2019-11-01,302.5,1.74,2.1149425287356363,-114.32731508444999,-100.0,13.220000267028809,,,0,0,0,2,d20191031,2018-2026
2019-10-31,5,2019-11-08,303.0,3.6399999999999997,1.637362637362632,-64.54997239094367,-73.37429595494059,13.220000267028809,,,0,0,0,2,d20191031,2018-2026
2019-10-31,10,2019-11-15,303.0,5.21,1.692898272552782,-69.87673343605533,-72.35023041474645,13.220000267028809,,,0,0,0,2,d20191031,2018-2026
2019-11-01,1,2019-11-04,306.0,1.27,1.0551181102362008,-7.028753993608207,-13.811007268949883,12.300000190734863,,,0,0,0,1,d20191101,2018-2026
2019-11-01,5,2019-11-08,306.0,2.82,1.0496453900709148,-5.638829407565292,-13.538111490329326,12.300000190734863,,,0,0,0,1,d20191101,2018-2026
2019-11-01,10,2019-11-15,306.0,4.45,1.3078651685393243,-31.317689530685755,-38.91663465232412,12.300000190734863,,,0,0,0,1,d20191101,2018-2026
2019-11-04,5,2019-11-11,307.0,2.79,0.4982078853046546,49.76508854354947,30.557915604644975,12.829999923706055,,,0,0,0,1,d20191104,2018-2026
2019-11-04,10,2019-11-18,307.0,4.635,1.0787486515641855,-8.471634667534447,-20.886075949367104,12.829999923706055,,,0,0,0,1,d20191104,2018-2026
2019-11-05,1,2019-11-06,307.0,1.2,0.10833333333332955,89.00169204737772,59.48855989232873,13.100000381469727,,,0,0,0,1,d20191105,2018-2026
2019-11-05,5,2019-11-13,307.0,3.2649999999999997,0.6339969372128617,36.10125019293121,19.995132043324986,13.100000381469727,,,0,0,0,1,d20191105,2018-2026
2019-11-05,10,2019-11-18,308.0,4.285,0.9334889148191365,6.0922643502758556,-6.164961996809624,13.100000381469727,,,0,0,0,1,d20191105,2018-2026
2019-11-06,5,2019-11-13,307.0,2.7849999999999997,0.743267504488328,24.986410581627354,11.064010173802652,12.619999885559082,,,0,0,0,1,d20191106,2018-2026
2019-11-06,10,2019-11-20,307.0,4.505000000000001,0.8412874583795826,15.39234289541199,1.3914566507731552,12.619999885559082,,,0,0,0,1,d20191106,2018-2026
2019-11-07,1,2019-11-08,308.0,1.23,0.7804878048780322,20.79207920792249,5.769230769232194,12.729999542236328,,,0,0,0,1,d20191107,2018-2026
2019-11-07,5,2019-11-13,308.0,2.6049999999999995,0.41074856046065006,58.59934223254041,41.69821525148754,12.729999542236328,,,0,0,0,1,d20191107,2018-2026
2019-11-07,10,2019-11-22,308.0,4.9399999999999995,0.601214574898791,39.65867533522902,22.34597981204268,12.729999542236328,,,0,0,0,1,d20191107,2018-2026
2019-11-08,1,2019-11-11,308.5,1.22,0.0901639344262407,90.84858569051467,66.4345403899712,12.069999694824219,,,0,0,0,0,d20191108,2018-2026
2019-11-08,5,2019-11-15,309.0,2.75,1.025454545454543,-3.221083455343813,-13.43669250645972,12.069999694824219,,,0,0,0,0,d20191108,2018-2026
2019-11-08,10,2019-11-22,309.0,4.375,0.4502857142857205,54.75944425307091,34.5840911266387,12.069999694824219,,,0,0,0,0,d20191108,2018-2026
2019-11-11,5,2019-11-18,308.5,2.9000000000000004,1.2068965517241377,-21.654501216544983,-27.134946079860082,12.6899995803833,,,0,0,0,1,d20191111,2018-2026
2019-11-11,10,2019-11-25,308.5,4.515,1.0741971207087537,-8.029847421762405,-16.042249706599684,12.6899995803833,,,0,0,0,1,d20191111,2018-2026
2019-11-12,1,2019-11-13,308.5,1.19,0.47899159663864976,51.365187713311165,33.4716459197792,12.680000305175781,,,0,0,0,1,d20191112,2018-2026
2019-11-12,5,2019-11-18,309.0,2.5749999999999997,1.1650485436893205,-17.439812096300646,-27.8889489814314,12.680000305175781,,,0,0,0,1,d20191112,2018-2026
2019-11-12,10,2019-11-27,309.0,4.89,1.316973415132924,-32.319704129854074,-37.88169603908565,12.680000305175781,,,0,0,0,1,d20191112,2018-2026
2019-11-13,5,2019-11-20,309.5,3.1049999999999995,0.4154589371980743,58.1100828056496,40.34564958283611,13.0,,,0,0,0,1,d20191113,2018-2026
2019-11-13,10,2019-11-27,309.5,4.77,1.2452830188679243,-25.263601855757017,-33.902710731526156,13.0,,,0,0,0,1,d20191113,2018-2026
2019-11-14,1,2019-11-15,309.5,1.29,1.7984496124030955,-82.38993710691767,-87.28813559321985,13.050000190734863,,,0,0,0,1,d20191114,2018-2026
2019-11-14,5,2019-11-22,310.0,3.465,0.2799422799422878,71.83916388445269,48.394241417496566,13.050000190734863,,,0,0,0,1,d20191114,2018-2026
2019-11-14,10,2019-12-02,310.0,5.115,0.3128054740958011,68.5627271834164,47.92638901118211,13.050000190734863,,,0,0,0,1,d20191114,2018-2026
2019-11-15,1,2019-11-18,311.5,1.315,0.3802281368821293,61.37504828118965,43.523501973448184,12.050000190734863,102.0,UP,1,0,1,0,e102,2018-2026
2019-11-15,5,2019-11-22,311.0,3.0100000000000002,0.009966777408628807,98.99732620320947,77.89034564958368,12.050000190734863,102.0,UP,1,0,1,0,e102,2018-2026
2019-11-15,10,2019-12-04,312.0,4.955,0.10696266397577653,89.24840247489658,62.82668500687802,12.050000190734863,102.0,UP,1,0,1,0,e102,2018-2026
2019-11-18,5,2019-11-25,312.0,2.85,0.47368421052632376,52.330508474575474,30.76490438695101,12.460000038146973,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-18,10,2019-12-04,312.0,4.77,0.1111111111111054,88.82328131590104,60.61736770692039,12.460000038146973,102.0,UP,1,0,1,1,e102,2018-2026
