entry_date,sp_gross,sp_net,pu_gross,pu_net,entry,comb_net,comb_gross
2023-12-15,0.15625000000000022,-0.0012499999999996184,,,2023-12-15,-0.0012499999999996184,0.15625000000000022
2023-12-22,0.17391304347826073,0.020869565217391167,,,2023-12-22,0.020869565217391167,0.17391304347826073
2023-12-29,0.19999999999999984,0.03199999999999997,,,2023-12-29,0.03199999999999997,0.19999999999999984
2024-01-05,0.17982456140350875,0.1043859649122807,,,2024-01-05,0.1043859649122807,0.17982456140350875
2024-01-12,0.18421052631578963,0.08421052631578971,,,2024-01-12,0.08421052631578971,0.18421052631578963
2024-01-19,0.1710526315789472,0.05789473684210512,,,2024-01-19,0.05789473684210512,0.1710526315789472
2024-01-26,0.16025641025641021,0.07564102564102555,,,2024-01-26,0.07564102564102555,0.16025641025641021
2024-02-02,0.14705882352941171,0.0915966386554621,,,2024-02-02,0.0915966386554621,0.14705882352941171
2024-02-09,0.18064516129032257,0.1019354838709677,,,2024-02-09,0.1019354838709677,0.18064516129032257
2024-02-16,0.18421052631578927,0.04473684210526311,,,2024-02-16,0.04473684210526311,0.18421052631578927
2024-02-23,0.20129870129870125,0.1155844155844155,,,2024-02-23,0.1155844155844155,0.20129870129870125
2024-03-08,0.1304347826086957,0.029813664596273274,,,2024-03-08,0.029813664596273274,0.1304347826086957
2024-03-15,0.03157894736842086,-0.24421052631578957,,,2024-03-15,-0.24421052631578957,0.03157894736842086
2024-04-12,0.15822784810126578,-0.06075949367088609,,,2024-04-12,-0.06075949367088609,0.15822784810126578
2024-04-19,0.36531365313653136,-0.026568265682656838,,,2024-04-19,-0.026568265682656838,0.36531365313653136
2024-05-03,0.18072289156626495,0.03373493975903611,,,2024-05-03,0.03373493975903611,0.18072289156626495
2024-05-10,0.26056338028169,0.05492957746478869,,,2024-05-10,0.05492957746478869,0.26056338028169
2024-05-17,0.06666666666666665,-0.08000000000000008,,,2024-05-17,-0.08000000000000008,0.06666666666666665
2024-05-24,0.15584415584415565,-0.0545454545454546,,,2024-05-24,-0.0545454545454546,0.15584415584415565
2024-05-31,0.15789473684210525,0.010526315789473623,,,2024-05-31,0.010526315789473623,0.15789473684210525
2024-06-07,0.23076923076923087,0.03589743589743598,,,2024-06-07,0.03589743589743598,0.23076923076923087
2024-06-14,0.20270270270270271,0.05135135135135131,,,2024-06-14,0.05135135135135131,0.20270270270270271
2024-06-21,0.32,0.13066666666666657,,,2024-06-21,0.13066666666666657,0.32
2024-06-28,0.17948717948717946,0.010256410256410288,,,2024-06-28,0.010256410256410288,0.17948717948717946
2024-07-05,0.24,0.07733333333333342,,,2024-07-05,0.07733333333333342,0.24
2024-07-19,0.16249999999999992,-0.05250000000000019,,,2024-07-19,-0.05250000000000019,0.16249999999999992
2024-07-26,0.06593406593406577,-0.26593406593406616,,,2024-07-26,-0.26593406593406616,0.06593406593406577
2024-08-09,0.5999999999999995,0.15428571428571397,,,2024-08-09,0.15428571428571397,0.5999999999999995
2024-08-23,0.10828025477707011,0.06305732484076436,,,2024-08-23,0.06305732484076436,0.10828025477707011
2024-08-30,0.20481927710843378,0.10602409638554226,,,2024-08-30,0.10602409638554226,0.20481927710843378
2024-09-06,0.10495626822157436,-0.05889212827988335,,,2024-09-06,-0.05889212827988335,0.10495626822157436
2024-09-13,0.2253521126760562,-0.17183098591549317,,,2024-09-13,-0.17183098591549317,0.2253521126760562
2024-09-20,-0.9999999999999998,-1.1346666666666665,,,2024-09-20,-1.1346666666666665,-0.9999999999999998
2024-09-27,0.29870129870129847,0.1402597402597402,,,2024-09-27,0.1402597402597402,0.29870129870129847
2024-10-04,0.24324324324324328,0.06486486486486513,,,2024-10-04,0.06486486486486513,0.24324324324324328
2024-10-11,0.16129032258064524,0.06967741935483876,,,2024-10-11,0.06967741935483876,0.16129032258064524
2024-10-18,0.2894736842105265,0.16842105263157908,,,2024-10-18,0.16842105263157908,0.2894736842105265
2024-10-25,0.06818181818181851,-0.0818181818181816,,,2024-10-25,-0.0818181818181816,0.06818181818181851
2024-11-01,0.15476190476190477,0.0944444444444444,,,2024-11-01,0.0944444444444444,0.15476190476190477
2024-11-15,0.16049382716049376,-0.11358024691358035,,,2024-11-15,-0.11358024691358035,0.16049382716049376
2024-11-22,0.12048192771084341,-0.02650602409638549,,,2024-11-22,-0.02650602409638549,0.12048192771084341
2025-01-17,0.17634408602150523,0.05118279569892463,,,2025-01-17,0.05118279569892463,0.17634408602150523
2025-01-24,0.17427385892116196,0.11784232365145246,,,2025-01-24,0.11784232365145246,0.17427385892116196
2025-01-31,0.13395638629283488,0.03862928348909647,,,2025-01-31,0.03862928348909647,0.13395638629283488
2025-02-07,0.12918660287081327,-0.02679425837320588,,,2025-02-07,-0.02679425837320588,0.12918660287081327
2025-02-14,-1.0,-1.083132530120482,,,2025-02-14,-1.083132530120482,-1.0
2025-02-21,-1.0,-1.0339477726574502,,,2025-02-21,-1.0339477726574502,-1.0
2025-02-28,0.10295857988165691,0.03171597633136105,,,2025-02-28,0.03171597633136105,0.10295857988165691
2025-03-07,0.08543689320388376,-0.575145631067961,,,2025-03-07,-0.575145631067961,0.08543689320388376
2025-03-14,0.20163934426229516,0.09475409836065578,,,2025-03-14,0.09475409836065578,0.20163934426229516
2025-03-21,-1.0,-1.0792746113989635,,,2025-03-21,-1.0792746113989635,-1.0
2025-03-28,-1.0,-1.0474015748031495,,,2025-03-28,-1.0474015748031495,-1.0
2025-04-11,0.1584126984126984,-0.05276190476190476,,,2025-04-11,-0.05276190476190476,0.1584126984126984
2025-04-25,0.2038961038961039,0.0932467532467532,,,2025-04-25,0.0932467532467532,0.2038961038961039
2025-05-02,0.23546099290780126,0.07914893617021265,,,2025-05-02,0.07914893617021265,0.23546099290780126
2025-05-09,0.19964349376114077,0.085204991087344,,,2025-05-09,0.085204991087344,0.19964349376114077
2025-05-16,0.14194915254237295,0.008050847457627158,,,2025-05-16,0.008050847457627158,0.14194915254237295
2025-05-23,0.11311672683513846,-0.1326113116726835,,,2025-05-23,-0.1326113116726835,0.11311672683513846
2025-05-30,0.13715710723192026,0.001995012468828047,,,2025-05-30,0.001995012468828047,0.13715710723192026
2025-06-06,0.13833992094861658,0.03715415019762845,,,2025-06-06,0.03715415019762845,0.13833992094861658
2025-06-13,0.21349862258953156,-0.04710743801652906,,,2025-06-13,-0.04710743801652906,0.21349862258953156
2025-06-20,0.15082956259426847,0.04796380090497739,,,2025-06-20,0.04796380090497739,0.15082956259426847
2025-06-27,0.13750000000000012,-0.07874999999999992,,,2025-06-27,-0.07874999999999992,0.13750000000000012
2025-07-11,0.15811965811965817,0.007692307692307649,,,2025-07-11,0.007692307692307649,0.15811965811965817
2025-07-18,0.13149847094801229,0.06360856269113156,,,2025-07-18,0.06360856269113156,0.13149847094801229
2025-07-25,0.09523809523809523,-0.1,,,2025-07-25,-0.1,0.09523809523809523
2025-08-01,0.08457711442786074,-0.025207296849087846,,,2025-08-01,-0.025207296849087846,0.08457711442786074
2025-08-08,0.8813559322033898,0.6135593220338982,,,2025-08-08,0.6135593220338982,0.8813559322033898
2025-08-15,0.08045977011494268,-0.0758620689655171,,,2025-08-15,-0.0758620689655171,0.08045977011494268
2025-08-22,0.22292993630573243,0.05605095541401265,,,2025-08-22,0.05605095541401265,0.22292993630573243
2025-08-29,0.267123287671233,0.0808219178082193,,,2025-08-29,0.0808219178082193,0.267123287671233
2025-09-05,0.2803030303030302,-0.09242424242424271,,,2025-09-05,-0.09242424242424271,0.2803030303030302
2025-09-12,0.11585365853658532,-0.025609756097561037,,,2025-09-12,-0.025609756097561037,0.11585365853658532
2025-09-19,0.19130434782608696,-0.013913043478260976,,,2025-09-19,-0.013913043478260976,0.19130434782608696
2025-09-26,0.6794871794871795,0.45897435897435884,,,2025-09-26,0.45897435897435884,0.6794871794871795
2025-10-03,0.30666666666666664,0.058666666666666645,,,2025-10-03,0.058666666666666645,0.30666666666666664
2025-10-10,0.14792899408284008,-0.15739644970414213,,,2025-10-10,-0.15739644970414213,0.14792899408284008
2025-10-24,0.08381502890173405,-0.08728323699421973,,,2025-10-24,-0.08728323699421973,0.08381502890173405
2025-10-31,0.07547169811320757,-0.2271698113207548,,,2025-10-31,-0.2271698113207548,0.07547169811320757
2025-11-21,0.23664122137404575,-0.050381679389312935,,,2025-11-21,-0.050381679389312935,0.23664122137404575
2025-11-28,0.18181818181818185,-0.054545454545454376,,,2025-11-28,-0.054545454545454376,0.18181818181818185
2025-12-05,0.10179640718562864,-0.16287425149700607,,,2025-12-05,-0.16287425149700607,0.10179640718562864
2025-12-26,0.20253164556962022,-0.3569620253164557,,,2025-12-26,-0.3569620253164557,0.20253164556962022
2026-01-30,0.16560509554140126,0.036942675159235744,,,2026-01-30,0.036942675159235744,0.16560509554140126
