entry,expiry,dte,spot,strike,credit,settle,iv30,rv30,ivp,ff,ret_gross,ret,fly_ret,log_ivrv
2020-09-11,2020-10-09,28,270.45,270.0,20.1,15.71,0.33541810516548115,0.3202669795556147,0.8247011952191236,0.007513481013992805,0.21840796019900605,0.2135323383084588,-0.3018565400843848,0.04622286968657196
2020-09-18,2020-10-16,28,266.87,267.0,19.47,21.51,0.3292635266305012,0.33632081357379345,0.8087649402390438,-0.10570422569041013,-0.10477657935285013,-0.10647149460708742,-1.0097391304347827,-0.0212070837926655
2020-09-25,2020-10-23,28,271.56,272.0,18.435,12.74,0.3063760209670917,0.35238107777644556,0.749003984063745,-0.1988688874262763,0.3089232438296714,0.3050989964740977,-0.05174953959484457,-0.13990002306819782
2020-10-02,2020-10-30,28,274.31,274.0,19.76,4.62,0.3251043119262073,0.36747558914091993,0.7768924302788844,-0.17372839329607795,0.7661943319838054,0.7624999999999997,1.5288079470198657,-0.12251080173425864
2020-10-09,2020-11-06,28,285.71,286.0,19.08,8.61,0.30139105501881297,0.2711778058955394,0.6972111553784861,0.0199572992679195,0.5487421383647791,0.5459643605870013,0.7428450465707003,0.10563389159679057
2020-10-16,2020-11-13,28,288.51,289.0,21.06,1.93,0.3294389352627891,0.26946954211730517,0.6573705179282868,0.05441447041687288,0.9083570750237414,0.906077872744539,1.9535408560311285,0.20093564361340568
2020-10-23,2020-11-20,28,284.74,285.0,19.715,5.38,0.3124825214161713,0.2385490465391667,0.6932270916334662,0.008058620451111406,0.7271113365457775,0.7255642911488717,1.3551333872271625,0.2699736010912711
2020-10-30,2020-11-27,28,269.38,269.0,22.565,30.01,0.3780484126107026,0.27980108549530164,0.8924302788844621,0.12949232748892153,-0.3299357411921114,-0.33261688455572763,-1.0156779661016948,0.30094332134439633
2020-11-06,2020-12-04,28,294.61,295.0,17.16,10.52,0.2628737550935109,0.3007803422568339,0.3745019920318725,-0.015347508026631726,0.386946386946388,0.3841491841491852,0.17970479704797382,-0.13470634012432306
2020-11-13,2020-12-11,28,290.93,291.0,16.23,10.85,0.25177200731583055,0.30433068341048464,0.33067729083665337,-0.0663027694150413,0.3314849044978421,0.32821934688847676,0.013827655310616993,-0.1895909394650293
2020-11-20,2020-12-18,28,290.38,290.0,14.76,20.06,0.22940193991129565,0.3023628724147069,0.24302788844621515,-0.09822797477666505,-0.35907859078590787,-0.36097560975609755,-1.0094262295081968,-0.2761521992445699
2020-11-27,2020-12-24,27,299.01,299.0,14.01,10.56,0.21534112890122395,0.2579642634604337,0.2549800796812749,-0.1561269847780803,0.24625267665952874,0.24175588865096345,-0.2837084673097538,-0.180597644821588
2020-12-04,2020-12-31,27,305.52,306.0,14.235,7.74,0.21413733293889392,0.17931804489433217,0.2948207171314741,-0.17961316688761966,0.45626975763961997,0.45342465753424593,0.3150743099787664,0.1774565355572045
2020-12-11,2021-01-08,28,301.85,302.0,16.975,17.03,0.2538025798703228,0.13012498499955635,0.47410358565737054,-0.05183768500433142,-0.003240058910160312,-0.005920471281294304,-1.014131413141314,0.6680613085443736
2020-12-18,2021-01-15,28,310.06,310.0,16.125,1.86,0.2347099009547856,0.12478781435877752,0.4342629482071713,-0.080151490079394,0.8846511627906968,0.8827596899224798,1.561636363636361,0.6317354777314603
2021-01-08,2021-02-05,28,319.03,319.0,16.75,12.36,0.23695218459602646,0.1630017233385587,0.2350597609561753,-0.0448554759249919,0.26208955223880515,0.258626865671641,-0.194326241134754,0.3740975946408564
2021-01-15,2021-02-12,28,311.86,312.0,18.195,24.45,0.26331149261257514,0.15039323806421584,0.3545816733067729,-0.038804672928958756,-0.34377576257213455,-0.34600164880461604,-1.013547237076649,0.5600842630817674
2021-01-22,2021-02-19,28,325.42,325.0,17.04,6.02,0.2363212522410005,0.17359239069225874,0.11155378486055777,-0.11795759760500242,0.6467136150234752,0.6447769953051654,0.9291519434629008,0.30848214884227027
2021-01-29,2021-02-26,28,314.56,315.0,22.59,0.86,0.32410830853107914,0.216552871097601,0.6215139442231076,0.029761362963731955,0.9619300575475869,0.9575918548030096,2.1005776173285176,0.4032430195895432
2021-02-05,2021-03-05,28,331.36,331.0,15.505,22.32,0.211178216914849,0.22518020379908982,0.05976095617529881,-0.20063486655946464,-0.4395356336665587,-0.4421476942921633,-1.0134738771769018,-0.06419858051913883
2021-02-12,2021-03-12,28,336.45,336.0,15.04,20.54,0.20174590728801317,0.2014083363857338,0.043824701195219126,-0.2170801050353004,-0.3656914893617036,-0.3688829787234057,-1.017704280155642,0.0016746492761429473
2021-02-19,2021-03-19,28,331.02,331.0,16.77,17.86,0.22864213028107808,0.18172118465606285,0.11952191235059761,-0.12337099147684429,-0.06499701848539143,-0.06666666666666748,-1.009090909090909,0.22968447132408543
2021-02-26,2021-03-26,28,314.14,314.0,21.16,2.0,0.303997389006583,0.2168615607696282,0.15139442231075698,0.06480090684444233,0.9054820415879017,0.9017958412098299,2.1481666666666666,0.3377599314269907
2021-03-05,2021-04-01,27,308.68,309.0,19.33,15.57,0.287804728956342,0.24404795224040496,0.5219123505976095,0.06041929422022822,0.19451629591308875,0.19203310915675145,-0.42245250431778836,0.1649174941562544
2021-03-12,2021-04-09,28,315.46,315.0,19.155,22.11,0.27404083800424966,0.30646948662418394,0.5418326693227091,-0.010027458408500322,-0.15426781519185656,-0.15690420255807946,-1.0148864592094196,-0.11184105708304032
2021-03-19,2021-04-16,28,313.14,313.0,18.265,29.01,0.2632440470238877,0.32626102272347135,0.3147410358565737,-0.0425235788140017,-0.5882836025184774,-0.589953462907199,-1.0097560975609754,-0.2146162068278879
2021-03-26,2021-04-23,28,316.0,316.0,15.965,23.42,0.2280128220831129,0.30541190655297507,0.4302788844621514,-0.038950936916661565,-0.466958972752898,-0.4698089570936434,-1.0151969981238276,-0.2922595141931895
2021-04-09,2021-05-07,28,337.11,337.0,15.235,2.8,0.20396152596565045,0.20479125744032806,0.02390438247011952,-0.05800594854501537,0.816212668198227,0.81355431572038,1.497734294541707,-0.004059826124791851
2021-04-16,2021-05-14,28,342.01,342.0,13.86,15.61,0.1828950094520498,0.20178389903053315,0.0,-0.12572224527371093,-0.1262626262626273,-0.12900432900433,-1.015138592750533,-0.09828504860940447
2021-04-23,2021-05-24,31,339.42,340.0,15.095,7.49,0.19075296032107886,0.15838483382019777,0.00398406374501992,-0.161976055205657,0.5038092083471343,0.4984763166611455,0.5288381742738575,0.18595146070893578
