kind,ticker,date,beaten,n_buyers,value,officer,ex20,ex60,ex120
SINGLE,HBAN,2017-07-31,False,1,32107.0,False,-3.004644278374579,2.717679790645918,7.983413106186212
SINGLE,HBAN,2019-05-21,False,1,239940.0,True,-2.6450411142175003,-3.953696073298193,4.961936755353822
SINGLE,HBAN,2021-11-05,False,1,314200.0,False,0.3625943943159471,5.393796981718676,-3.5920886974241046
SINGLE,HBAN,2022-02-10,False,1,119928.84,False,-1.3802966618974697,-4.001196599479208,-4.641810121940177
SINGLE,HBAN,2022-07-29,False,1,250027.80000000002,False,3.642085181382682,20.262652169577706,6.756132958978158
SINGLE,HBAN,2022-10-28,False,1,248316.25,False,-4.2636120305467085,-10.226683121866447,-30.80250704649504
SINGLE,HBAN,2025-11-06,False,1,99541.8,False,6.339397140709181,16.80676095160807,3.2814182217460726
CLUSTER,HCA,2022-05-05,False,3,19373413.04,False,-7.5897422624791755,-2.59690160757752,3.9071274259838216
SINGLE,HCA,2014-05-05,False,1,749957.4400000001,False,2.2043174595376778,22.301726456885067,34.380475500256516
SINGLE,HCA,2016-05-09,False,1,318720.0,False,-5.459973673801419,-11.119075400561057,-7.247375228465193
SINGLE,HCA,2019-08-09,False,1,31025.0,False,-1.7807731762221568,0.7510967253009531,0.9019870319154499
SINGLE,HCA,2022-07-28,False,1,64564.5,False,-1.3319220824353697,1.463301906871437,21.846159662543123
SINGLE,HCA,2025-03-31,False,1,69791.63,False,1.5411780330937686,7.401467173195396,12.981990332283255
CLUSTER,HD,2018-11-23,False,3,2570800.0,False,6.3094159066226805,9.068687661912275,7.601094795471552
SINGLE,HD,2012-05-25,False,1,998840.5,False,4.146846405595653,8.213424581609562,21.96452473692831
SINGLE,HD,2012-09-25,False,1,99086.48,False,4.176554962233886,1.1269570410018597,5.715061076170796
SINGLE,HD,2012-12-11,False,1,318500.0,False,-2.7656837120632667,2.907993940591739,5.998676350435424
SINGLE,HD,2013-06-04,False,1,79660.0,False,1.0224473413175437,-3.697188913736851,-7.914195057951204
SINGLE,HD,2013-09-17,False,1,752000.0,False,-0.910750633659277,-0.4575377012195716,-3.4260154420616207
SINGLE,HD,2013-11-26,False,1,24955.49,False,-0.19907059603912858,-1.3723333655435552,-7.020573506358815
SINGLE,HD,2014-06-17,False,1,27471.5,False,-1.8261228287197178,9.007029755555783,17.875704632486254
SINGLE,HD,2014-12-19,False,1,107921.0,False,2.2994016311276013,10.877346002250846,7.025726738146963
SINGLE,HD,2015-04-01,False,1,39788.0,False,-5.117465040820465,-0.9387785038011028,9.222951108293115
SINGLE,HD,2016-02-29,False,1,4989200.0,False,0.801162893050952,0.3931121634595094,-3.9111179538792165
SINGLE,HD,2016-06-02,False,1,46385.5,False,-4.419016010020131,-2.3752967000835143,-6.639117849894859
SINGLE,HD,2017-05-22,False,1,54988.50000000001,False,-0.6921155242693162,-5.1914258176578,-3.0996262019779097
SINGLE,HD,2018-06-06,False,1,187570.0,False,1.1306969790505002,-0.2455535187678337,-10.377460163324397
SINGLE,HD,2021-04-19,False,1,22083.809999999998,False,-4.50768879299916,-6.1963380995813155,-0.3644624884927561
SINGLE,HD,2022-05-24,True,1,431595.0,False,1.5797941590863904,6.271904496960355,4.558613320568572
SINGLE,HD,2022-11-21,False,1,499911.4,False,2.271804382284643,-1.8432338591904558,-7.565606595843145
SINGLE,HD,2025-03-19,False,1,499883.72000000003,False,4.269014669256662,0.773846845907347,13.734156660151612
SINGLE,HIG,2012-11-12,False,1,126000.0,False,1.867171108132176,3.1695919812744684,22.84220627918378
SINGLE,HIG,2014-05-08,False,1,141645.0,False,-0.6704488421297041,-4.70345567059416,4.584951903683034
SINGLE,HIG,2014-11-10,False,1,31800.0,False,1.4719790955097096,-2.725952131076089,-1.2607402132555965
SINGLE,HIG,2016-03-11,False,1,30184.0,False,-1.80207125293142,-5.067688879792802,-16.939608648175884
SINGLE,HIG,2016-06-09,False,1,87697.95000000001,False,-3.791776057805027,-11.116838511286868,2.3074167283766878
SINGLE,HIG,2017-03-03,False,1,49968.6,False,-1.9162998683736219,-2.5327938494916813,8.469904904323396
SINGLE,HIG,2019-05-14,False,1,521900.0,False,1.314696337042255,6.986726826393016,1.052720669713679
SINGLE,HIG,2020-09-28,True,1,250960.49999999997,True,1.586132772966204,10.333457383278912,47.05724785443803
CLUSTER,HII,2018-05-16,False,3,635473.2,False,-5.0420728099846155,3.4708211618308376,7.903442842285134
CLUSTER,HII,2025-03-03,True,3,624169.8999999999,False,21.39959576112617,29.46870481902396,45.2016309496755
SINGLE,HII,2017-05-30,False,1,792260.2000000001,True,-4.309623614832807,5.833663873315829,12.629962288294438
SINGLE,HII,2024-11-06,True,1,103900.5,False,-7.52148407995381,-2.9412583532655425,24.797610816896544
SINGLE,HII,2025-09-03,False,1,954729.9999999999,False,5.559176088005056,15.837821001597089,54.669328375836365
SINGLE,HIMS,2024-05-23,False,1,1951399.9999999998,False,38.03767271767194,5.467218553554108,40.81039877001682
SINGLE,HIMS,2024-11-15,True,1,132260.0,False,40.76310057622575,189.85918498689318,227.10473429014132
SINGLE,HL,2025-02-24,True,1,34755.3,True,16.695269272133288,-1.4192144385092775,33.74265091316499
CLUSTER,HLNE,2026-02-25,True,4,3217604.4,True,0.14023334899666384,-18.794283355451846,-15.538959080778426
SINGLE,HLNE,2024-11-14,False,1,105950.25,True,-12.45686992932783,-20.90176667904289,-6.763647068438859
SINGLE,HLNE,2025-11-11,True,1,1042831.76,True,-5.225833473256875,-5.552755843132832,-40.62445573868088
SINGLE,HLT,2015-08-11,False,1,261000.0,False,3.61627644405497,0.6221685637777021,-16.594615064778612
SINGLE,HLT,2022-03-14,False,1,101289.99999999999,False,-2.9554166929045858,-1.461359606038511,-2.5123845185916425
SINGLE,HLT,2022-05-25,False,1,251166.22999999998,False,-7.318449138570914,-3.2611340897992367,-0.5467443808390895
SINGLE,HLT,2023-05-23,False,1,99892.34999999999,False,-2.1471764858746125,3.1473779280113607,14.882954261299618
SINGLE,HLT,2024-05-30,False,1,399300.0,False,10.063218100710708,1.4327313463154905,13.647019082088384
SINGLE,HLT,2024-09-12,False,1,1001369.3900000001,False,7.488536118991679,14.857127981567027,11.216220445348512
SINGLE,HLT,2025-07-02,False,1,10461.67,False,-0.11936202327413492,-4.554640355904027,5.197721973355451
