day,gross,cost,net,trades,oc,cc
2018-12-03,0.0,0.0,0.0,0,-0.004737419839389911,0.016882120299864356
2018-12-04,0.013455999999999961,0.0002,0.01325599999999996,1,-0.03250087524798684,-0.03749927439484535
2018-12-06,0.0,0.0,0.0,0,0.02707858945165853,0.006513479283517087
2018-12-07,0.022440000000000054,0.0002,0.022240000000000055,1,-0.02889303557454992,-0.033315357421055625
2018-12-10,0.0,0.0,0.0,0,0.011916583912611634,0.010599392549432762
2018-12-11,0.0,0.0,0.0,0,-0.012555837257032354,0.003312070657507382
2018-12-12,-0.0017400000000001227,0.0004,-0.0021400000000001227,2,-0.006142358183789054,0.008925296491013368
2018-12-13,0.0,0.0,0.0,0,-0.005600385402866448,0.0005453223460978318
2018-12-14,-0.0025009999999999794,0.0002,-0.002700999999999979,1,-0.013970588235294179,-0.025495064494640673
2018-12-17,-0.000929999999999859,0.0004,-0.001329999999999859,2,-0.017830423940149664,-0.021004225702212276
2018-12-18,-0.0008189999999999713,0.0002,-0.0010189999999999713,1,-0.0014495493792147096,0.005712834835597258
2018-12-19,-0.007622999999999692,0.0006,-0.008222999999999692,3,-0.0218023255813955,-0.023037111840444324
2018-12-20,-0.003968000000000029,0.0004,-0.004368000000000029,2,-0.011026788609975968,-0.014988048323535064
2018-12-21,0.018784999999999913,0.0002,0.01858499999999991,1,-0.03523566712427262,-0.03207188299337571
2018-12-26,0.04413200000000006,0.0002,0.04393200000000006,1,0.050937413840639545,0.06191670149045825
2018-12-27,-0.008975999999999902,0.0006,-0.009575999999999902,3,0.01699980078358454,0.004459893749590105
2018-12-28,-0.0012799999999999272,0.0002,-0.0014799999999999273,1,-0.006168831168831046,-0.0006529546196538671
2018-12-31,0.0,0.0,0.0,0,-0.0015534986083242108,0.007840574975498171
2019-01-02,0.0,0.0,0.0,0,0.02582952513411474,0.0041491085899512115
2019-01-03,-0.007084999999999837,0.0006,-0.007684999999999838,3,-0.019196750311210153,-0.03350765059074179
2019-01-04,0.019824999999999888,0.0002,0.01962499999999989,1,0.027664607701405997,0.04468937875751511
2019-01-07,-0.0016379999999999427,0.0002,-0.0018379999999999428,1,0.009455056538682616,0.010358718588145077
2019-01-08,0.0,0.0,0.0,0,0.0,0.009809505727485623
2019-01-09,0.0,0.0,0.0,0,0.003933812051202024,0.0076460265730760035
2019-01-10,0.0,0.0,0.0,0,0.010213032581453563,0.0027988555790521286
2019-01-11,0.0,0.0,0.0,0,0.002681968440092275,-0.0029150902437511395
2019-01-14,0.0,0.0,0.0,0,-0.00018828845791751814,-0.009081861159492277
2019-01-15,0.0027280000000003382,0.0004,0.0023280000000003385,2,0.015631838929531572,0.019648462021343294
2019-01-16,-0.0020739999999998472,0.0002,-0.0022739999999998473,1,-0.0015372317530590873,-0.0003078249091916785
2019-01-17,0.0,0.0,0.0,0,0.010997837503861518,0.007697992363591588
2019-01-18,0.0,0.0,0.0,0,0.002123142250530785,0.009594817576239034
2019-01-22,0.0026399999999999865,0.0002,0.0024399999999999865,1,-0.012130448034135988,-0.01900726392251806
2019-01-23,0.0,0.0,0.0,0,-0.003563529122634468,0.0007404664938912564
2019-01-24,0.0,0.0,0.0,0,0.0033200122963417122,0.0062276482920211595
2019-01-25,0.0,0.0,0.0,0,0.004681420233463074,0.01262332250750653
2019-01-28,-0.005672999999999868,0.0004,-0.0060729999999998684,2,0.0003680304238484755,-0.013071104387291976
2019-01-29,-0.001829999999999896,0.0002,-0.002029999999999896,1,-0.010355392156862764,-0.009687902385186131
2019-01-30,0.0020130000000000764,0.0002,0.0018130000000000763,1,0.014811187955199312,0.026623738468206426
2019-01-31,0.004919999999999959,0.0002,0.0047199999999999595,1,0.009060906090609055,0.014172848440986652
2019-02-01,0.0,0.0,0.0,0,0.00035848718408315605,-0.0043411037107515815
2019-02-04,0.008201000000000087,0.0002,0.008001000000000088,1,0.011940298507462588,0.012363375739114835
2019-02-05,-0.0006379999999999142,0.0004,-0.0010379999999999142,2,0.0075405007363771315,0.00902654867256647
2019-02-06,-0.0044659999999998945,0.0002,-0.004665999999999894,1,-0.003273705132701976,-0.0030988715430041447
2019-02-07,0.00011800000000006037,0.0002,-8.199999999993964e-05,1,-0.004732607666824373,-0.013255131964809319
2019-02-08,0.0,0.0,0.0,0,0.010615329255127648,0.0016048502139798249
2019-02-11,0.0,0.0,0.0,0,-0.004375073903275295,-0.0006527802504301405
2019-02-12,0.005103999999999974,0.0002,0.0049039999999999735,1,0.007961313911658774,0.014964370546318273
2019-02-13,0.0,0.0,0.0,0,-0.0038454815591679736,0.00029253451907340633
2019-02-14,0.0,0.0,0.0,0,0.004695386782486377,0.0012282856641516737
2019-02-15,0.0,0.0,0.0,0,-0.00341929875398439,0.004556607080266284
2019-02-19,0.0,0.0,0.0,0,0.005134488593266928,0.001802744824377811
2019-02-20,0.0,0.0,0.0,0,-0.000985907324711599,-5.804841237599945e-05
2019-02-21,-5.799999999994725e-05,0.0002,-0.00025799999999994724,1,-0.0010478519035976852,-0.003831417624521105
2019-02-22,-0.000579999999999967,0.0004,-0.000979999999999967,2,0.005291312943365378,0.00751748251748241
2019-02-25,0.0,0.0,0.0,0,-0.00396096440872562,0.0035860952050437156
2019-02-26,0.0,0.0,0.0,0,0.0038719371243645107,0.0011526713157743451
2019-02-27,-0.004047000000000045,0.0002,-0.004247000000000045,1,0.003758963682627847,-0.0008059409360429148
2019-02-28,0.0,0.0,0.0,0,0.0008090614886733238,-0.0022469320735148957
2019-03-01,0.0,0.0,0.0,0,5.7336161917165285e-05,0.0071601801593716985
2019-03-04,-0.004673999999999961,0.0002,-0.004873999999999961,1,-0.005246051206021618,0.00017199862401096055
2019-03-05,-0.0007979999999999223,0.0002,-0.0009979999999999223,1,5.730002292003711e-05,0.00045858412152477435
2019-03-06,0.002451000000000039,0.0002,0.002251000000000039,1,-0.006640714449278606,-0.005786970721365914
2019-03-07,0.002166000000000298,0.0004,0.0017660000000002981,2,-0.009589278493443598,-0.011929460580912932
2019-03-08,0.0,0.0,0.0,0,0.009673233455231856,-0.0015748031496062298
2019-03-11,0.009918000000000047,0.0002,0.009718000000000046,1,0.016876163873370542,0.02079682205865163
2019-03-12,-0.004274999999999838,0.0006,-0.004874999999999838,3,0.0029685448421534755,0.005436648735263727
2019-03-13,-0.0012879999999997835,0.0004,-0.0016879999999997836,2,0.002435018970496694,0.007570151972223771
2019-03-14,0.0,0.0,0.0,0,-0.002258355916892496,-0.001694723760027217
2019-03-15,-0.0002799999999999045,0.0004,-0.0006799999999999045,2,0.004847528324220862,0.00877093707559995
2019-03-18,-0.00016800000000000636,0.0002,-0.00036800000000000634,1,0.0025849957853329997,0.0007853256296628253
2019-03-19,0.0,0.0,0.0,0,-0.0007255678964112056,0.0035311921977467797
2019-03-20,-0.004729999999999918,0.0002,-0.004929999999999919,1,0.0041329237643115135,0.004189008042895459
2019-03-21,0.011880000000000137,0.0002,0.011680000000000138,1,0.01869419642857162,0.015351243116970004
2019-03-22,0.008580000000000013,0.0004,0.008180000000000012,2,-0.01799075704225339,-0.022240482059709632
2019-03-25,-0.00095199999999993,0.0002,-0.00115199999999993,1,0.0016860563142808704,-0.0014566642388930129
2019-03-26,-0.002969999999999956,0.0002,-0.0031699999999999563,1,-0.0029513308831718987,0.004600796723335243
2019-03-27,-0.003739999999999881,0.0002,-0.003939999999999881,1,-0.007084286272103557,-0.005864283719631436
2019-03-28,0.0,0.0,0.0,0,-5.606952621239891e-05,0.0019101123595506309
2019-03-29,0.0,0.0,0.0,0,0.0007795534272507787,0.007794101155096822
2019-04-01,0.0,0.0,0.0,0,0.003913570719876525,0.013353363378400873
