ticker,entry_date,roc_net,roc,credit_pct_of_width,vix_on_entry,max_loss,entry,month,cw
QQQ,2022-10-21,0.11226158038147142,0.11989100817438694,0.18444444444444447,29.69,734.0,2022-10-21,2022-10,0.18444444444444447
QQQ,2022-10-28,0.171141975308642,0.17824074074074073,0.19,25.75,648.0,2022-10-28,2022-10,0.19
QQQ,2022-11-04,0.1964726631393299,0.20634920634920642,0.19000000000000003,24.55,567.0,2022-11-04,2022-11,0.19000000000000003
QQQ,2022-12-16,0.20791878172588832,0.2182741116751269,0.17916666666666667,22.62,492.5,2022-12-16,2022-12,0.17916666666666667
QQQ,2022-12-23,0.13955960516324986,0.14730447987851178,0.176875,20.87,658.5,2022-12-23,2022-12,0.176875
QQQ,2022-12-30,0.1314487632508834,0.13957597173144876,0.19142857142857145,21.67,566.0,2022-12-30,2022-12,0.19142857142857145
QQQ,2023-01-06,0.11103327495621718,0.11908931698774083,0.1842857142857143,21.13,571.0,2023-01-06,2023-01,0.1842857142857143
QQQ,2023-03-10,0.10842886041807147,0.11665542818610924,0.1761111111111111,24.8,741.5,2023-03-10,2023-03,0.1761111111111111
QQQ,2023-10-20,0.12121922626025794,0.12661195779601409,0.14700000000000002,21.71,852.9999999999999,2023-10-20,2023-10,0.14700000000000002
QQQ,2023-10-27,0.09306014540647722,0.09847984137475214,0.15944444444444444,21.27,756.5,2023-10-27,2023-10,0.15944444444444444
QQQ,2024-08-02,0.12846601941747576,0.1378640776699029,0.14166666666666666,23.39,1287.5,2024-08-02,2024-08,0.14166666666666666
QQQ,2024-08-09,0.09192680301399353,0.09903121636167923,0.15545454545454546,20.37,928.9999999999999,2024-08-09,2024-08,0.15545454545454546
QQQ,2024-09-06,0.13800978792822183,0.1446438281674823,0.16409090909090907,22.38,919.5,2024-09-06,2024-09,0.16409090909090907
QQQ,2025-03-07,0.1744783306581059,0.18057784911717492,0.1693333333333333,23.37,1246.0,2025-03-07,2025-03,0.1693333333333333
QQQ,2025-03-14,0.15700404858299596,0.16234817813765182,0.17666666666666667,21.77,1235.0,2025-03-14,2025-03,0.17666666666666667
QQQ,2025-03-28,-0.23951062976333734,-0.23706377858002406,0.169,21.65,1246.5,2025-03-28,2025-03,0.169
QQQ,2025-04-04,0.15140018066847336,0.1653116531165312,0.16975,45.31,1660.5,2025-04-04,2025-04,0.16975
QQQ,2025-04-11,0.11461334901499558,0.12172890326374594,0.14975,37.56,1700.5,2025-04-11,2025-04,0.14975
QQQ,2025-04-25,0.09799921537857981,0.10278540604158491,0.1503333333333333,24.84,1274.5,2025-04-25,2025-04,0.1503333333333333
QQQ,2025-11-21,0.09484232242852939,0.10197465369879166,0.15175,23.43,1696.5,2025-11-21,2025-11,0.15175
SPY,2018-02-09,0.05735767991407088,0.07518796992481203,0.11333333333333333,29.06,931.0,2018-02-09,2018-02,0.11333333333333333
SPY,2018-03-23,0.08374497415278578,0.096496266513498,0.1295,24.87,870.5,2018-03-23,2018-03,0.1295
SPY,2018-04-06,0.09058823529411765,0.10168067226890756,0.15,21.49,595.0,2018-04-06,2018-04,0.15
SPY,2018-10-12,0.08887056883759277,0.10057708161582854,0.1335714285714286,21.31,606.5,2018-10-12,2018-10,0.1335714285714286
SPY,2018-10-26,0.09464861379754998,0.10509348807221147,0.13833333333333334,24.16,775.5,2018-10-26,2018-10,0.13833333333333334
SPY,2018-11-23,0.08180737217598098,0.09631391200951249,0.15899999999999997,21.52,420.5,2018-11-23,2018-11,0.15899999999999997
SPY,2018-12-07,-1.0066532258064516,-1.0,0.17333333333333334,23.23,496.0,2018-12-07,2018-12,0.17333333333333334
SPY,2018-12-14,-0.2438415159345392,-0.23858742463393626,0.17071428571428574,21.63,580.5,2018-12-14,2018-12,0.17071428571428574
SPY,2018-12-21,0.12284023668639057,0.1443786982248521,0.15500000000000003,30.11,422.49999999999994,2018-12-21,2018-12,0.15500000000000003
SPY,2018-12-28,0.08854397634885443,0.09903917220990394,0.154375,28.34,676.5,2018-12-28,2018-12,0.154375
SPY,2019-01-04,0.08669527896995709,0.09871244635193133,0.15272727272727274,21.38,466.0,2019-01-04,2019-01,0.15272727272727274
SPY,2020-02-28,0.13767068273092373,0.14779116465863454,0.16999999999999998,40.11,1245.0,2020-02-28,2020-02,0.16999999999999998
SPY,2020-03-06,-1.0012404961984793,-0.9943977591036415,0.16699999999999998,41.94,1249.5,2020-03-06,2020-03,0.16699999999999998
SPY,2020-03-13,0.20630193905817173,0.22126038781163435,0.19777777777777777,57.83,1444.0,2020-03-13,2020-03,0.19777777777777777
SPY,2020-03-20,0.1228584110075455,0.13981358189081228,0.19535714285714287,66.04,1126.5,2020-03-20,2020-03,0.19535714285714287
SPY,2020-03-27,0.1679056468906362,0.17619728377412439,0.17705882352941177,65.54,1399.0,2020-03-27,2020-03,0.17705882352941177
SPY,2020-04-03,0.13053164556962024,0.13873417721518988,0.17708333333333334,46.8,987.5,2020-04-03,2020-04,0.17708333333333334
SPY,2020-09-18,0.07948220064724919,0.08737864077669903,0.14166666666666666,25.83,772.5,2020-09-18,2020-09,0.14166666666666666
SPY,2020-09-25,0.09081632653061233,0.09863945578231297,0.16,26.38,588.0,2020-09-25,2020-09,0.16
SPY,2020-10-02,0.09607609988109395,0.10820451843043993,0.15899999999999997,27.63,420.5,2020-10-02,2020-10,0.15899999999999997
SPY,2020-10-30,0.1144903581267217,0.12451790633608806,0.17499999999999993,38.02,907.5000000000001,2020-10-30,2020-10,0.17499999999999993
SPY,2021-01-29,0.11061359867330021,0.11691542288557219,0.1385714285714286,33.09,1205.9999999999998,2021-01-29,2021-01,0.1385714285714286
SPY,2021-06-18,0.07679799874921829,0.08317698561601003,0.11166666666666668,20.7,799.5,2021-06-18,2021-06,0.11166666666666668
SPY,2021-09-17,0.06598360655737703,0.0706967213114754,0.11272727272727273,20.81,976.0,2021-09-17,2021-09,0.11272727272727273
SPY,2021-10-01,0.09158878504672897,0.09696261682242992,0.14400000000000002,21.15,856.0,2021-10-01,2021-10,0.14400000000000002
SPY,2022-01-21,0.11249516441005801,0.11798839458413926,0.13833333333333334,28.85,1292.5,2022-01-21,2022-01,0.13833333333333334
SPY,2022-01-28,0.0822549019607843,0.08872549019607842,0.15,27.66,1019.9999999999999,2022-01-28,2022-01,0.15
SPY,2022-02-04,0.09123738714816786,0.09665427509293684,0.1440909090909091,23.22,941.4999999999999,2022-02-04,2022-02,0.1440909090909091
SPY,2022-02-11,0.08792096991468344,0.09609339919173779,0.14346153846153847,27.36,1113.5,2022-02-11,2022-02,0.14346153846153847
SPY,2022-02-18,0.09700544464609803,0.10208711433756809,0.15230769230769234,27.75,1102.0,2022-02-18,2022-02,0.15230769230769234
SPY,2022-02-25,0.16783919597989944,0.17252931323283077,0.1471428571428571,27.59,1194.0000000000002,2022-02-25,2022-02,0.1471428571428571
SPY,2022-03-04,0.13500753390256157,0.14113510798593673,0.1704166666666667,31.98,995.5,2022-03-04,2022-03,0.1704166666666667
SPY,2022-03-11,0.13167058823529418,0.13647058823529415,0.18269230769230768,30.75,1062.5,2022-03-11,2022-03,0.18269230769230768
SPY,2022-04-22,0.0925298804780877,0.09810756972111555,0.16333333333333333,28.21,1003.9999999999999,2022-04-22,2022-04,0.16333333333333333
SPY,2022-04-29,0.12696676482961713,0.1320992848127892,0.15107142857142855,33.4,1188.5,2022-04-29,2022-04,0.15107142857142855
SPY,2022-05-06,0.1981916817359855,0.2055455093429777,0.1705,30.19,829.5,2022-05-06,2022-05,0.1705
SPY,2022-05-13,0.18135686707115278,0.18808604522890238,0.1759090909090909,28.87,906.5,2022-05-13,2022-05,0.1759090909090909
SPY,2022-05-20,0.11565173628585812,0.12179164569703076,0.17208333333333337,29.43,993.4999999999999,2022-05-20,2022-05,0.17208333333333337
SPY,2022-05-27,0.09514679448771723,0.10125823846614743,0.16550000000000004,25.72,834.4999999999999,2022-05-27,2022-05,0.16550000000000004
SPY,2022-06-03,-1.0031506849315068,-1.0,0.1888888888888889,24.79,730.0,2022-06-03,2022-06,0.1888888888888889
SPY,2022-06-10,0.16184379001280413,0.16901408450704222,0.219,27.75,781.0,2022-06-10,2022-06,0.219
SPY,2022-06-17,0.0969230769230769,0.10355029585798817,0.15499999999999997,31.13,844.9999999999999,2022-06-17,2022-06,0.15499999999999997
SPY,2022-06-24,0.12150988615937693,0.12762133013780713,0.16550000000000004,27.23,834.4999999999999,2022-06-24,2022-06,0.16550000000000004
SPY,2022-07-01,0.11736163760424563,0.12509476876421532,0.175625,26.7,659.5,2022-07-01,2022-07,0.175625
SPY,2022-07-08,0.10227576974564921,0.108433734939759,0.16999999999999998,24.64,747.0000000000001,2022-07-08,2022-07,0.16999999999999998
SPY,2022-07-15,0.12645943896891584,0.13419257012888555,0.175625,24.23,659.5,2022-07-15,2022-07,0.175625
SPY,2022-09-02,0.12313296903460841,0.1281117182756527,0.17650000000000002,25.47,823.5,2022-09-02,2022-09,0.17650000000000002
SPY,2022-09-16,0.15367913148371531,0.15922798552472858,0.17099999999999999,26.3,828.9999999999999,2022-09-16,2022-09,0.17099999999999999
