day,entry,K,S_prev,S_t,mid,ba_pct,implied_pct,ratio,gex,vix,long_mid,long_fill,short_fill,short_usd,NEG,half,yr
2012-03-02,2012-03-01,138.0,137.73,137.32,0.825,10.909090909090914,0.5989980396427794,0.8242424242424325,-209661072.5841488,17.260000228881836,-17.575757575756747,-20.976176641486706,13.869537682076396,10.949999999999315,1.0,2010-2017,2012
2012-03-09,2012-03-08,137.0,137.02,137.56,1.1800000000000002,6.779661016949149,0.861188147715662,0.4745762711864425,-1276601109.9515026,17.950000762939453,-52.542372881355746,-53.83347073371787,51.17698343504776,58.6999999999998,1.0,2010-2017,2012
2012-03-23,2012-03-22,139.0,139.18,139.65,1.005,2.9850746268656634,0.7220865066819945,0.6467661691542346,-2965003148.498493,15.569999694824219,-35.32338308457654,-36.61628473915107,33.97663788725183,33.44999999999943,1.0,2010-2017,2012
2012-03-30,2012-03-29,140.0,140.22,140.72,0.925,7.567567567567574,0.659677649408073,0.7783783783783771,-2165454559.0735955,15.479999542236328,-22.16216216216229,-24.64678178963906,19.508105086640708,17.45000000000011,1.0,2010-2017,2012
2012-04-05,2012-04-04,140.0,139.88,139.8,0.765,3.9215686274509767,0.546897340577638,0.26143790849671716,-2902978094.842128,16.440000534057617,-73.85620915032828,-74.53851050286586,73.13633310947097,54.45000000000114,1.0,2010-2017,2012
2012-04-13,2012-04-12,139.0,138.83,137.13,0.9199999999999999,8.695652173913052,0.6626809767341352,2.032608695652179,-2696925556.407601,17.200000762939453,103.26086956521789,96.2224554039879,-110.82299887260483,-98.30000000000047,1.0,2010-2017,2012
2012-04-27,2012-04-26,140.0,140.14,140.43,0.85,4.705882352941174,0.6065363208220351,0.5058823529411846,-1046086095.7122573,16.239999771118164,-49.41176470588155,-50.744558991980895,48.00483675937039,39.699999999999314,1.0,2010-2017,2012
2012-05-04,2012-05-03,139.0,139.29,137.0,1.2200000000000002,6.5573770491803245,0.8758704860363273,1.6393442622950818,-3222857788.347565,17.559999465942383,63.93442622950817,59.61691939345569,-68.49199663016002,-81.29999999999997,1.0,2010-2017,2012
2012-05-11,2012-05-10,136.0,136.02,135.57,1.12,5.357142857142856,0.8234083223055433,0.3839285714285775,-4450105592.491105,18.829999923706055,-61.60714285714225,-62.54355400696804,60.62271062271001,66.19999999999935,1.0,2010-2017,2012
2012-05-25,2012-05-24,133.0,132.5,132.14,0.9850000000000001,3.045685279187808,0.7433962264150944,0.8730964467005213,-1676849760.3918746,21.540000915527344,-12.690355329947861,-14.470412729983732,10.834629341626384,10.44999999999865,1.0,2010-2017,2012
2012-06-01,2012-05-31,131.0,131.53,128.22,1.54,6.493506493506499,1.1708355508249069,1.805194805194806,-3376801793.587495,24.059999465942383,80.5194805194806,76.17237008871999,-85.08655126498007,-127.8000000000001,1.0,2010-2017,2012
2012-06-08,2012-06-07,132.0,132.02,133.09,1.1,7.272727272727273,0.8332070898348735,0.990909090909094,-1699461582.8848822,21.719999313354492,-0.9090909090906071,-3.7952338923209705,-2.155576382380809,-2.300000000000324,1.0,2010-2017,2012
2012-06-22,2012-06-21,132.0,132.46,133.46,1.275,14.901960784313728,0.9625547335044541,1.1450980392156926,-3376078520.7912154,20.079999923706055,14.509803921569258,9.322351179334186,-20.21407986825921,-24.550000000000804,1.0,2010-2017,2012
2012-06-29,2012-06-28,133.0,132.79,136.22,1.27,9.448818897637786,0.9563973190752316,2.535433070866141,-2598569037.0221906,19.709999084472656,153.54330708661408,145.23990860624517,-162.42868785656063,-199.29999999999987,1.0,2010-2017,2012
2012-07-06,2012-07-05,137.0,136.81,135.52,1.185,7.594936708860761,0.8661647540384475,1.2489451476793163,-374015113.75514215,17.5,24.894514767931618,21.26177795985169,-28.75163114397473,-33.04999999999896,1.0,2010-2017,2012
2012-07-13,2012-07-12,133.0,133.59,135.7,1.215,10.699588477366255,0.9094992140130249,2.2222222222222126,-3567205550.2857914,18.329999923706055,122.22222222222128,114.20071400237913,-130.86789226164925,-153.04999999999885,1.0,2010-2017,2012
2012-07-27,2012-07-26,136.0,136.11,138.7,0.995,9.045226130653258,0.7310263757255161,2.7135678391959686,-1409085609.7752202,17.530000686645508,171.35678391959684,162.00873362445304,-181.39656070870126,-174.04999999999887,1.0,2010-2017,2012
2012-08-03,2012-08-02,137.0,136.66,139.35,1.225,5.71428571428571,0.8963851895214401,1.9183673469387708,-2996855063.964766,17.56999969482422,91.83673469387708,87.17642373556306,-96.73503557973999,-115.54999999999941,1.0,2010-2017,2012
2012-08-10,2012-08-09,141.0,140.58,140.84,0.8,9.999999999999991,0.5690709916062029,0.19999999999999574,759592018.5310116,15.279999732971191,-80.00000000000043,-80.79231692677112,79.13950456323381,60.700000000000344,0.0,2010-2017,2012
2012-08-24,2012-08-23,141.0,140.69,141.52,0.7450000000000001,6.711409395973145,0.5295330158504514,0.6979865771812217,-2207484640.077743,15.960000038146973,-30.201342281877828,-32.5113562621661,27.727588603195258,19.94999999999899,1.0,2010-2017,2012
2012-08-31,2012-08-30,140.0,140.47,141.17,1.245,7.228915662650599,0.8863102441802521,0.9397590361445682,-2710988634.5965595,17.829999923706055,-6.024096385543181,-8.629441624366457,3.265812319141194,3.9500000000012747,1.0,2010-2017,2012
2012-09-07,2012-09-06,144.0,143.74,144.33,0.945,5.29100529100529,0.6574370390983719,0.34920634920636245,890232290.5398993,15.600000381469727,-65.07936507936375,-65.99690880989051,64.11092985317973,58.949999999998745,0.0,2010-2017,2012
2012-09-14,2012-09-13,146.0,146.65,147.2,1.04,7.692307692307683,0.7091714967609956,1.1538461538461429,3144642912.134839,14.050000190734863,15.384615384614285,11.835973904938367,-19.165839126116037,-19.299999999998853,0.0,2010-2017,2012
2012-09-28,2012-09-27,144.5,144.69,143.9,0.82,9.756097560975606,0.5667288686156611,0.7317073170731638,-1984720360.9808393,14.84000015258789,-26.829268292683615,-29.660023446659515,23.76111817026755,18.70000000000056,1.0,2010-2017,2012
2012-10-05,2012-10-04,146.0,146.2,146.15,1.1099999999999999,5.405405405405411,0.759233926128591,0.13513513513514028,196615629.14052033,14.550000190734863,-86.48648648648597,-86.8189806678378,86.13678373382572,93.19999999999942,0.0,2010-2017,2012
2012-10-12,2012-10-11,143.5,143.4,142.89,0.825,6.06060606060606,0.5753138075313807,0.7393939393939559,-3759182540.304552,15.59000015258789,-26.060606060604403,-28.277483833037774,23.70231394621468,18.949999999998635,1.0,2010-2017,2012
2012-10-26,2012-10-25,141.5,141.42,141.3,1.165,12.875536480686685,0.8237873002404188,0.1716738197424795,-3132310227.1375303,18.1200008392334,-82.83261802575204,-83.54586589880802,82.05473306415534,91.45000000000114,1.0,2010-2017,2012
2012-11-02,2012-11-01,143.0,142.88,141.54,0.99,8.080808080808083,0.6928891377379619,1.4747474747474827,-1348260841.9859045,16.690000534057617,47.47474747474828,42.71749755620802,-52.56008359456719,-50.3000000000008,1.0,2010-2017,2012
2012-11-09,2012-11-08,138.0,138.04,138.2,1.17,5.128205128205133,0.8475804114749347,0.17094017094016123,-5884160961.625658,18.489999771118164,-82.90598290598388,-83.30550918197089,82.48686514886265,94.20000000000113,1.0,2010-2017,2012
2012-11-30,2012-11-29,142.0,142.14,142.06,0.9099999999999999,6.593406593406588,0.6402138736457014,0.06593406593406843,83245392.66090274,15.0600004196167,-93.40659340659315,-93.60341151385903,93.19727891156437,82.19999999999976,0.0,2010-2017,2012
2012-12-07,2012-12-06,142.0,141.96,142.4,0.94,4.255319148936162,0.6621583544660468,0.4255319148936231,-1640999509.5330348,16.579999923706055,-57.446808510637695,-58.4631360332289,56.379498364230564,51.69999999999943,1.0,2010-2017,2012
2012-12-14,2012-12-13,142.5,142.69,142.11,0.9349999999999999,5.3475935828876935,0.6552666619945335,0.4171122994652261,-1428234947.563657,16.559999465942383,-58.28877005347739,-59.39614783966826,57.11929631665901,51.95000000000136,1.0,2010-2017,2012
2012-12-28,2012-12-27,141.0,141.59,139.95,1.13,5.3097345132743365,0.7980789603785577,0.929203539823019,-2834702934.2574277,19.469999313354492,-7.0796460176981,-9.326424870465317,4.718693284935456,5.199999999998872,1.0,2010-2017,2012
2012-12-31,2012-12-28,139.0,139.95,142.46,2.515,97.4155069582505,1.7970703822793859,1.3757455268389693,-3904203307.085009,22.719999313354492,37.574552683896925,10.17353924534334,-83.11722677957172,-157.05000000000078,1.0,2010-2017,2012
2013-01-04,2013-01-03,145.5,145.77,146.38,0.91,8.791208791208799,0.624271112025794,0.967032967032962,2228719455.288702,14.5600004196167,-3.2967032967037997,-6.6808059384946565,-0.3420752565559237,-0.2999999999995451,0.0,2010-2017,2013
2013-01-11,2013-01-10,147.0,147.07,147.11,0.6950000000000001,12.949640287769787,0.47256408512953024,0.15827338129498364,3412834180.4181495,13.489999771118164,-84.17266187050163,-84.94182067077158,83.32069749810256,54.949999999998646,0.0,2010-2017,2013
