date,exit_date,sym,dec_entry,dec_exit,base,exit_gain,entry_gain
2020-12-22,2020-12-23,SHOP,10.0,10.0,-6.195385216378357,1.4125981550925886,0.1628716938697981
2020-12-22,2020-12-28,ZS,9.0,9.0,-3.58352050771521,-0.41590125516417553,-0.9913932990907155
2020-12-23,2020-12-29,P,3.0,3.0,-5.495867280065769,0.5371865978024507,-1.2396662297629923
2020-12-30,2021-01-11,AG,10.0,10.0,-8.058609798616112,0.14652272558755144,-0.07325420873359476
2020-12-31,2021-01-29,TSLA,10.0,10.0,12.450585757436826,2.941877822952807,-1.954176796018785
2021-01-06,2021-02-03,HQY,1.0,1.0,2.6074395593904676,1.6771472542126864,-0.7337494245715088
2021-01-06,2021-03-04,LAD,8.0,7.0,14.349174442484248,2.4085188953894745,0.0159350977698727
2021-01-07,2021-01-29,TSLA,10.0,10.0,-2.758440641676918,2.543986632161056,-4.896821424712843
2021-01-08,2021-01-27,IONS,2.0,2.0,-3.0308031799975876,1.802100708256282,1.179556372712916
2021-01-08,2021-01-11,TSLA,10.0,10.0,-7.8214117215008265,2.2510849532857584,3.479465864350019
2021-01-11,2021-01-27,PENN,10.0,10.0,-2.6698549297723972,3.1779264083389176,-0.059778033104337484
2021-01-12,2021-01-19,HAL,9.0,9.0,-7.184801246279749,3.840950627608468,0.7229609770048223
2021-01-20,2021-01-26,PODD,4.0,4.0,-2.890292296032082,-1.3137607051044804,-0.8155655171451416
2021-01-20,2021-02-22,TDOC,9.0,9.0,8.924375367686777,-6.983063387670016,0.3769181785951117
2021-01-21,2021-02-02,HQY,1.0,1.0,-4.705882352941182,-0.12941248276654413,1.7294132008272058
2021-01-22,2021-01-27,LAD,8.0,7.0,-5.327936195694727,0.4940310838251525,-0.3786695421939145
2021-01-22,2021-02-22,TDOC,9.0,9.0,2.190117781606471,-6.551334975790161,-0.9467643476711026
2021-01-25,2021-01-27,ALNY,8.0,7.0,-11.554444060371615,1.2009793278107908,0.8765487640285495
2021-01-25,2021-02-03,QLYS,5.0,4.0,-5.151420436304777,1.1946429133303789,-1.3696568839118697
2021-01-25,2021-01-29,UPWK,10.0,10.0,-6.051673240217948,0.9746154025063392,-2.606531173435319
2021-01-26,2021-01-28,HQY,1.0,1.0,-8.526537692653523,0.3296374516163024,2.560160176204555
2021-01-26,2021-02-18,THO,9.0,8.0,-2.7373549038487988,1.1081544301920376,0.9510580160741529
2021-01-27,2021-02-22,BAND,9.0,7.0,-4.391970024613256,-3.051202058976683,0.9324665582566388
2021-02-03,2021-02-25,PINS,9.0,9.0,2.553799891483388,1.4907979452657698,-2.1260038924352287
2021-02-04,2021-02-12,BL,8.0,8.0,-6.592482475458484,0.6368560892969669,-1.378683763117043
2021-02-04,2021-03-04,LAD,8.0,7.0,-0.07258161739192026,2.1047556881406053,-1.889839055162493
2021-02-04,2021-02-23,SHOP,10.0,8.0,3.12245049231612,0.4044782689593516,-0.049175640903459446
2021-02-05,2021-02-22,ARWR,8.0,8.0,-6.046204428978575,-2.4096388590264666,0.9174332042174773
2021-02-05,2021-02-12,BL,8.0,8.0,-10.127260011069838,0.6127558385085573,-2.3500138861047613
2021-02-05,2021-02-19,DBX,6.0,6.0,-5.575685267206176,-1.0265666634468,-1.0064412176501312
2021-02-05,2021-02-22,DT,8.0,8.0,-8.961409102145712,-4.345474012254079,-0.7573061496139974
2021-02-05,2021-02-22,ETSY,9.0,9.0,-7.788162158307954,-4.348385256703119,-0.8740067130222596
2021-02-08,2021-03-18,MPC,7.0,8.0,8.052826908633248,0.429355257133515,0.869034119271594
2021-02-08,2021-02-12,NET,4.0,4.0,-5.684187930754603,-1.2509595347383597,0.04389434514752326
2021-02-09,2021-02-23,SHOP,10.0,8.0,-9.263842922603537,0.3558953804091748,-1.0481573099535386
2021-02-10,2021-02-18,SHOP,10.0,9.0,-5.323370460040344,0.847224720568908,-0.9032966629368843
2021-02-10,2021-02-17,TWLO,7.0,6.0,-4.996536927397466,6.773599568513972,0.9969944445751323
2021-02-16,2021-02-18,CCJ,7.0,7.0,-5.667049143178138,1.2396757551018847,-1.357742761883528
2021-02-16,2021-03-18,MPC,7.0,8.0,2.701128642232753,0.40808992006635697,-0.19431980706003196
2021-02-16,2021-02-17,PINS,9.0,9.0,-3.1968574597206034,-1.1104940843738278,2.3443678424149654
2021-02-17,2021-03-08,EQT,2.0,5.0,-9.389698501536891,-1.3040919677963843,0.5738157222819509
2021-02-17,2021-03-23,EXPE,8.0,9.0,9.335243924803205,0.5063596011490208,2.0773750315001775
2021-02-17,2021-03-04,FCX,10.0,10.0,-4.245965206739111,3.0161137830183424,-0.614938509730998
2021-02-18,2021-03-23,TRIP,8.0,9.0,28.485955135625684,2.4453758454432277,-0.8584855432991476
2021-02-19,2021-02-22,FIVN,7.0,6.0,-12.43765542583053,6.300204716277211,2.199822761880057
2021-02-19,2021-02-22,SNAP,8.0,9.0,-3.2203859947504854,-3.601954718050657,-1.2667916263431642
2021-02-19,2021-03-23,TRIP,8.0,9.0,23.722449035756867,2.354715642591135,-0.5260593907874674
2021-02-19,2021-03-18,VLO,7.0,7.0,3.0337105022850253,0.43339194187244057,-0.1957352816471288
2021-02-22,2021-03-18,DINO,5.0,6.0,-4.139727225878453,0.9053952425044657,-1.5567208530305752
2021-02-22,2021-02-25,FOXA,5.0,4.0,-4.756400283945106,0.31708664400660286,-0.2882725058232418
2021-02-22,2021-03-23,GAP,9.0,9.0,12.879707932758567,1.296084010444324,0.16203740952284468
2021-02-22,2021-02-25,PSKY,7.0,7.0,-5.503468987175008,-0.7559705766064108,-0.6047873439731318
2021-02-22,2021-03-18,VLO,7.0,7.0,-0.740738687103637,0.41751543062468016,-1.6296340109926561
2021-02-23,2021-04-09,BFH,9.0,10.0,20.43208910525527,0.9761246430713978,-0.29611335631943864
2021-02-23,2021-03-18,DINO,5.0,6.0,-6.915068557947857,0.8791822893627342,-0.12810381025163609
2021-02-23,2021-03-18,VLO,7.0,7.0,-2.78327420284874,0.4089238887963136,-0.7782470463933123
2021-02-23,2021-03-23,WYNN,10.0,10.0,-8.301570032777084,0.6081534380506755,-0.07329519220029289
2021-02-24,2021-03-22,CVE,10.0,9.0,2.9302864242050752,-3.2906212795314307,-0.7884285214307533
2021-02-24,2021-02-26,EOG,3.0,3.0,-10.791755486026233,1.2436003477550448,-0.041456245304515686
2021-02-24,2021-03-24,SGI,10.0,10.0,6.996432116432438,-1.4051274994225045,-0.49765700645054173
2021-02-24,2021-03-16,SLB,6.0,7.0,-4.590295957703261,-0.7820460962009489,0.033995665234486404
2021-02-24,2021-02-25,TECK,9.0,9.0,-7.617826846861986,-1.4730733245214451,-0.2525403110855333
2021-02-24,2021-02-26,TRGP,10.0,10.0,-4.976957517822955,2.6113775270854895,-0.21506725771160728
2021-02-24,2021-02-25,TRIP,8.0,8.0,-12.146893242436397,0.7465676384830898,0.12106814291444248
2021-02-24,2021-03-18,VLO,7.0,7.0,-5.706232888874741,0.3966290123449639,-0.9084066463765955
2021-02-26,2021-04-09,BFH,9.0,10.0,13.792747913124792,0.9223115389431993,-2.3212537846753274
2021-03-01,2021-04-09,BFH,9.0,10.0,10.250990750191157,0.8936049336505464,0.32127244569172153
2021-03-01,2021-03-03,FIVN,7.0,7.0,-11.57288041186928,-1.071841442514541,-0.7684940209599097
2021-03-01,2021-03-02,WDC,6.0,6.0,-3.697553309511925,0.2631238293216292,0.3462209211580423
2021-03-02,2021-03-05,CCJ,7.0,7.0,-8.511872635795925,1.5054898843332947,-1.0422624214486351
2021-03-02,2021-03-04,F,10.0,10.0,-4.940257571995765,1.035858093829885,-0.4780648976010864
2021-03-02,2021-03-19,GT,8.0,8.0,-4.861884251760317,-0.5524777459312619,-0.883977038895053
2021-03-03,2021-05-11,CAR,10.0,10.0,34.59327245374646,-1.824162785846967,0.11503270689763609
2021-03-03,2021-03-24,FOX,2.0,2.0,2.910114522901508,-0.027130232666701632,0.05394187589017327
2021-03-03,2021-03-24,FOXA,5.0,4.0,2.5659257785781486,0.17894386222193595,-0.8390492439630766
2021-03-03,2021-03-09,GT,8.0,8.0,-3.938273775470058,0.8515159106772133,-1.0111687996352183
2021-03-03,2021-03-05,NCLH,10.0,10.0,-12.918806364798574,1.9921516031803037,-3.591906394033459
2021-03-03,2021-03-18,OVV,10.0,9.0,-4.986645088611952,0.19573628909263252,-1.5606333992727162
2021-03-03,2021-03-04,SGI,9.0,9.0,-5.162380145854617,1.054695204072979,0.8881621409337893
2021-03-03,2021-03-23,URBN,7.0,8.0,2.5411890882831356,1.1449311133450804,1.396257974938047
