trade_date,expiry,year,short_delta,settle,sp,sc,put_cr,call_cr,net_cr,put_w,call_w,pnl_A,max_loss_A,win_A,pnl_B,win_B,roc_A
2022-02-15,2022-02-16,2022,0.15,4475.009765625,4380.0,4510.0,3.7,3.9500000000000006,7.65,50.0,50.0,7.3500000000000005,42.35,True,7.3500000000000005,True,0.17355371900826447
2022-02-15,2022-02-16,2022,0.2,4475.009765625,4395.0,4500.0,5.074999999999999,5.675000000000001,10.75,50.0,50.0,10.45,39.25,True,10.45,True,0.2662420382165605
2022-02-17,2022-02-18,2022,0.12,4348.8701171875,4300.0,4445.0,4.175,1.425,5.6,50.0,50.0,5.3,44.4,True,5.3,True,0.11936936936936937
2022-02-17,2022-02-18,2022,0.15,4348.8701171875,4315.0,4455.0,5.750000000000001,4.85,10.600000000000001,50.0,50.0,10.3,39.4,True,10.3,True,0.2614213197969543
2022-02-17,2022-02-18,2022,0.2,4348.8701171875,4330.0,4445.0,7.7,5.7,13.4,50.0,50.0,13.1,36.6,True,13.1,True,0.3579234972677595
2022-02-22,2022-02-23,2022,0.1,4225.5,4210.0,4400.0,2.9250000000000003,2.65,5.575,50.0,50.0,5.275,44.425,True,5.275,True,0.11873944850872258
2022-02-22,2022-02-23,2022,0.12,4225.5,4220.0,4390.0,3.750000000000001,3.6,7.350000000000001,50.0,50.0,7.050000000000002,42.65,True,7.050000000000002,True,0.16529894490035174
2022-02-22,2022-02-23,2022,0.15,4225.5,4230.0,4380.0,4.675000000000001,4.7,9.375,50.0,50.0,4.575,40.625,True,4.575,True,0.11261538461538462
2022-02-22,2022-02-23,2022,0.2,4225.5,4245.0,4370.0,6.299999999999999,6.125,12.424999999999999,50.0,50.0,-7.375000000000001,37.575,False,-0.4749999999999989,False,-0.19627411842980705
2022-02-24,2022-02-25,2022,0.1,4384.64990234375,4165.0,4370.0,2.6249999999999996,2.35,4.975,50.0,50.0,-9.974902343750001,45.025,False,-0.025000000000000522,False,-0.22154141796224322
2022-02-24,2022-02-25,2022,0.12,4384.64990234375,4175.0,4360.0,3.275000000000001,3.2,6.475000000000001,50.0,50.0,-18.47490234375,43.525,False,-0.22499999999999892,False,-0.42446645246984493
